game,2010,16,20101225,201012250crd,dal,"Dallas Cowboys",26,crd,"Arizona Cardinals",27
team,201012250crd,dal,First Downs,24,,,,,,
team,201012250crd,crd,First Downs,10,,,,,,
team,201012250crd,dal,Rush-Yds-TDs,34-183-1,,,,,,
team,201012250crd,crd,Rush-Yds-TDs,21-93-0,,,,,,
team,201012250crd,dal,Cmp-Att-Yd-TD-INT,23-37-226-2-2,,,,,,
team,201012250crd,crd,Cmp-Att-Yd-TD-INT,11-25-183-1-0,,,,,,
team,201012250crd,dal,Sacked-Yards,5-27,,,,,,
team,201012250crd,crd,Sacked-Yards,1-5,,,,,,
team,201012250crd,dal,Net Pass Yards,199,,,,,,
team,201012250crd,crd,Net Pass Yards,178,,,,,,
team,201012250crd,dal,Total Yards,382,,,,,,
team,201012250crd,crd,Total Yards,271,,,,,,
team,201012250crd,dal,Fumbles-Lost,4-1,,,,,,
team,201012250crd,crd,Fumbles-Lost,1-0,,,,,,
team,201012250crd,dal,Turnovers,3,,,,,,
team,201012250crd,crd,Turnovers,0,,,,,,
team,201012250crd,dal,Penalties-Yards,7-49,,,,,,
team,201012250crd,crd,Penalties-Yards,6-43,,,,,,
team,201012250crd,dal,Third Down Conv.,8-18,,,,,,
team,201012250crd,crd,Third Down Conv.,2-11,,,,,,
team,201012250crd,dal,Fourth Down Conv.,1-1,,,,,,
team,201012250crd,crd,Fourth Down Conv.,1-1,,,,,,
team,201012250crd,dal,Time of Possession,38:05,,,,,,
team,201012250crd,crd,Time of Possession,21:55,,,,,,
player,201012250crd,dal,KitnJo00,pass_cmp,12,,,,,
player,201012250crd,dal,KitnJo00,pass_att,20,,,,,
player,201012250crd,dal,KitnJo00,pass_yds,115,,,,,
player,201012250crd,dal,KitnJo00,pass_td,1,,,,,
player,201012250crd,dal,KitnJo00,pass_int,2,,,,,
player,201012250crd,dal,KitnJo00,pass_sacked,4,,,,,
player,201012250crd,dal,KitnJo00,pass_sacked_yds,16,,,,,
player,201012250crd,dal,KitnJo00,pass_long,24,,,,,
player,201012250crd,dal,KitnJo00,pass_rating,53.1,,,,,
player,201012250crd,dal,KitnJo00,rush_att,1,,,,,
player,201012250crd,dal,KitnJo00,rush_yds,7,,,,,
player,201012250crd,dal,KitnJo00,rush_td,0,,,,,
player,201012250crd,dal,KitnJo00,rush_long,7,,,,,
player,201012250crd,dal,KitnJo00,targets,0,,,,,
player,201012250crd,dal,KitnJo00,rec,0,,,,,
player,201012250crd,dal,KitnJo00,rec_yds,0,,,,,
player,201012250crd,dal,KitnJo00,rec_td,0,,,,,
player,201012250crd,dal,KitnJo00,rec_long,0,,,,,
player,201012250crd,dal,KitnJo00,fumbles,0,,,,,
player,201012250crd,dal,KitnJo00,fumbles_lost,,,,,,
player,201012250crd,dal,McGeSt00,pass_cmp,11,,,,,
player,201012250crd,dal,McGeSt00,pass_att,17,,,,,
player,201012250crd,dal,McGeSt00,pass_yds,111,,,,,
player,201012250crd,dal,McGeSt00,pass_td,1,,,,,
player,201012250crd,dal,McGeSt00,pass_int,0,,,,,
player,201012250crd,dal,McGeSt00,pass_sacked,1,,,,,
player,201012250crd,dal,McGeSt00,pass_sacked_yds,11,,,,,
player,201012250crd,dal,McGeSt00,pass_long,37,,,,,
player,201012250crd,dal,McGeSt00,pass_rating,102.8,,,,,
player,201012250crd,dal,McGeSt00,rush_att,4,,,,,
player,201012250crd,dal,McGeSt00,rush_yds,19,,,,,
player,201012250crd,dal,McGeSt00,rush_td,0,,,,,
player,201012250crd,dal,McGeSt00,rush_long,11,,,,,
player,201012250crd,dal,McGeSt00,targets,0,,,,,
player,201012250crd,dal,McGeSt00,rec,0,,,,,
player,201012250crd,dal,McGeSt00,rec_yds,0,,,,,
player,201012250crd,dal,McGeSt00,rec_td,0,,,,,
player,201012250crd,dal,McGeSt00,rec_long,0,,,,,
player,201012250crd,dal,McGeSt00,fumbles,1,,,,,
player,201012250crd,dal,McGeSt00,fumbles_lost,0,,,,,
player,201012250crd,dal,JoneFe00,pass_cmp,0,,,,,
player,201012250crd,dal,JoneFe00,pass_att,0,,,,,
player,201012250crd,dal,JoneFe00,pass_yds,0,,,,,
player,201012250crd,dal,JoneFe00,pass_td,0,,,,,
player,201012250crd,dal,JoneFe00,pass_int,0,,,,,
player,201012250crd,dal,JoneFe00,pass_sacked,,,,,,
player,201012250crd,dal,JoneFe00,pass_sacked_yds,,,,,,
player,201012250crd,dal,JoneFe00,pass_long,0,,,,,
player,201012250crd,dal,JoneFe00,pass_rating,,,,,,
player,201012250crd,dal,JoneFe00,rush_att,16,,,,,
player,201012250crd,dal,JoneFe00,rush_yds,77,,,,,
player,201012250crd,dal,JoneFe00,rush_td,0,,,,,
player,201012250crd,dal,JoneFe00,rush_long,14,,,,,
player,201012250crd,dal,JoneFe00,targets,1,,,,,
player,201012250crd,dal,JoneFe00,rec,1,,,,,
player,201012250crd,dal,JoneFe00,rec_yds,11,,,,,
player,201012250crd,dal,JoneFe00,rec_td,0,,,,,
player,201012250crd,dal,JoneFe00,rec_long,11,,,,,
player,201012250crd,dal,JoneFe00,fumbles,0,,,,,
player,201012250crd,dal,JoneFe00,fumbles_lost,,,,,,
player,201012250crd,dal,BarbMa01,pass_cmp,0,,,,,
player,201012250crd,dal,BarbMa01,pass_att,0,,,,,
player,201012250crd,dal,BarbMa01,pass_yds,0,,,,,
player,201012250crd,dal,BarbMa01,pass_td,0,,,,,
player,201012250crd,dal,BarbMa01,pass_int,0,,,,,
player,201012250crd,dal,BarbMa01,pass_sacked,0,,,,,
player,201012250crd,dal,BarbMa01,pass_sacked_yds,,,,,,
player,201012250crd,dal,BarbMa01,pass_long,0,,,,,
player,201012250crd,dal,BarbMa01,pass_rating,,,,,,
player,201012250crd,dal,BarbMa01,rush_att,8,,,,,
player,201012250crd,dal,BarbMa01,rush_yds,58,,,,,
player,201012250crd,dal,BarbMa01,rush_td,1,,,,,
player,201012250crd,dal,BarbMa01,rush_long,25,,,,,
player,201012250crd,dal,BarbMa01,targets,0,,,,,
player,201012250crd,dal,BarbMa01,rec,0,,,,,
player,201012250crd,dal,BarbMa01,rec_yds,0,,,,,
player,201012250crd,dal,BarbMa01,rec_td,0,,,,,
player,201012250crd,dal,BarbMa01,rec_long,0,,,,,
player,201012250crd,dal,BarbMa01,fumbles,0,,,,,
player,201012250crd,dal,BarbMa01,fumbles_lost,,,,,,
player,201012250crd,dal,ChoiTa00,pass_cmp,0,,,,,
player,201012250crd,dal,ChoiTa00,pass_att,0,,,,,
player,201012250crd,dal,ChoiTa00,pass_yds,0,,,,,
player,201012250crd,dal,ChoiTa00,pass_td,0,,,,,
player,201012250crd,dal,ChoiTa00,pass_int,0,,,,,
player,201012250crd,dal,ChoiTa00,pass_sacked,,,,,,
player,201012250crd,dal,ChoiTa00,pass_sacked_yds,,,,,,
player,201012250crd,dal,ChoiTa00,pass_long,0,,,,,
player,201012250crd,dal,ChoiTa00,pass_rating,,,,,,
player,201012250crd,dal,ChoiTa00,rush_att,4,,,,,
player,201012250crd,dal,ChoiTa00,rush_yds,16,,,,,
player,201012250crd,dal,ChoiTa00,rush_td,0,,,,,
player,201012250crd,dal,ChoiTa00,rush_long,9,,,,,
player,201012250crd,dal,ChoiTa00,targets,3,,,,,
player,201012250crd,dal,ChoiTa00,rec,3,,,,,
player,201012250crd,dal,ChoiTa00,rec_yds,16,,,,,
player,201012250crd,dal,ChoiTa00,rec_td,0,,,,,
player,201012250crd,dal,ChoiTa00,rec_long,9,,,,,
player,201012250crd,dal,ChoiTa00,fumbles,0,,,,,
player,201012250crd,dal,ChoiTa00,fumbles_lost,,,,,,
player,201012250crd,dal,AustMi00,pass_cmp,0,,,,,
player,201012250crd,dal,AustMi00,pass_att,0,,,,,
player,201012250crd,dal,AustMi00,pass_yds,0,,,,,
player,201012250crd,dal,AustMi00,pass_td,0,,,,,
player,201012250crd,dal,AustMi00,pass_int,0,,,,,
player,201012250crd,dal,AustMi00,pass_sacked,,,,,,
player,201012250crd,dal,AustMi00,pass_sacked_yds,,,,,,
player,201012250crd,dal,AustMi00,pass_long,0,,,,,
player,201012250crd,dal,AustMi00,pass_rating,,,,,,
player,201012250crd,dal,AustMi00,rush_att,1,,,,,
