game,2010,13,20101205,201012050min,buf,"Buffalo Bills",14,min,"Minnesota Vikings",38
team,201012050min,buf,First Downs,10,,,,,,
team,201012050min,min,First Downs,22,,,,,,
team,201012050min,buf,Rush-Yds-TDs,23-84-0,,,,,,
team,201012050min,min,Rush-Yds-TDs,40-210-3,,,,,,
team,201012050min,buf,Cmp-Att-Yd-TD-INT,15-25-158-1-1,,,,,,
team,201012050min,min,Cmp-Att-Yd-TD-INT,15-23-187-2-4,,,,,,
team,201012050min,buf,Sacked-Yards,1-3,,,,,,
team,201012050min,min,Sacked-Yards,1-10,,,,,,
team,201012050min,buf,Net Pass Yards,155,,,,,,
team,201012050min,min,Net Pass Yards,177,,,,,,
team,201012050min,buf,Total Yards,239,,,,,,
team,201012050min,min,Total Yards,387,,,,,,
team,201012050min,buf,Fumbles-Lost,5-4,,,,,,
team,201012050min,min,Fumbles-Lost,0-0,,,,,,
team,201012050min,buf,Turnovers,5,,,,,,
team,201012050min,min,Turnovers,4,,,,,,
team,201012050min,buf,Penalties-Yards,6-54,,,,,,
team,201012050min,min,Penalties-Yards,4-20,,,,,,
team,201012050min,buf,Third Down Conv.,3-12,,,,,,
team,201012050min,min,Third Down Conv.,4-12,,,,,,
team,201012050min,buf,Fourth Down Conv.,1-1,,,,,,
team,201012050min,min,Fourth Down Conv.,0-0,,,,,,
team,201012050min,buf,Time of Possession,26:03,,,,,,
team,201012050min,min,Time of Possession,33:57,,,,,,
player,201012050min,buf,FitzRy00,pass_cmp,15,,,,,
player,201012050min,buf,FitzRy00,pass_att,25,,,,,
player,201012050min,buf,FitzRy00,pass_yds,158,,,,,
player,201012050min,buf,FitzRy00,pass_td,1,,,,,
player,201012050min,buf,FitzRy00,pass_int,1,,,,,
player,201012050min,buf,FitzRy00,pass_sacked,1,,,,,
player,201012050min,buf,FitzRy00,pass_sacked_yds,3,,,,,
player,201012050min,buf,FitzRy00,pass_long,28,,,,,
player,201012050min,buf,FitzRy00,pass_rating,75.1,,,,,
player,201012050min,buf,FitzRy00,rush_att,4,,,,,
player,201012050min,buf,FitzRy00,rush_yds,5,,,,,
player,201012050min,buf,FitzRy00,rush_td,0,,,,,
player,201012050min,buf,FitzRy00,rush_long,4,,,,,
player,201012050min,buf,FitzRy00,targets,0,,,,,
player,201012050min,buf,FitzRy00,rec,0,,,,,
player,201012050min,buf,FitzRy00,rec_yds,0,,,,,
player,201012050min,buf,FitzRy00,rec_td,0,,,,,
player,201012050min,buf,FitzRy00,rec_long,0,,,,,
player,201012050min,buf,FitzRy00,fumbles,3,,,,,
player,201012050min,buf,FitzRy00,fumbles_lost,2,,,,,
player,201012050min,buf,JackFr02,pass_cmp,0,,,,,
player,201012050min,buf,JackFr02,pass_att,0,,,,,
player,201012050min,buf,JackFr02,pass_yds,0,,,,,
player,201012050min,buf,JackFr02,pass_td,0,,,,,
player,201012050min,buf,JackFr02,pass_int,0,,,,,
player,201012050min,buf,JackFr02,pass_sacked,,,,,,
player,201012050min,buf,JackFr02,pass_sacked_yds,,,,,,
player,201012050min,buf,JackFr02,pass_long,0,,,,,
player,201012050min,buf,JackFr02,pass_rating,,,,,,
player,201012050min,buf,JackFr02,rush_att,11,,,,,
player,201012050min,buf,JackFr02,rush_yds,42,,,,,
player,201012050min,buf,JackFr02,rush_td,0,,,,,
player,201012050min,buf,JackFr02,rush_long,12,,,,,
player,201012050min,buf,JackFr02,targets,1,,,,,
player,201012050min,buf,JackFr02,rec,1,,,,,
player,201012050min,buf,JackFr02,rec_yds,6,,,,,
player,201012050min,buf,JackFr02,rec_td,0,,,,,
player,201012050min,buf,JackFr02,rec_long,6,,,,,
player,201012050min,buf,JackFr02,fumbles,0,,,,,
player,201012050min,buf,JackFr02,fumbles_lost,,,,,,
player,201012050min,buf,SpilC.00,pass_cmp,0,,,,,
player,201012050min,buf,SpilC.00,pass_att,0,,,,,
player,201012050min,buf,SpilC.00,pass_yds,0,,,,,
player,201012050min,buf,SpilC.00,pass_td,0,,,,,
player,201012050min,buf,SpilC.00,pass_int,0,,,,,
