game,2010,4,20101003,201010030sdg,crd,"Arizona Cardinals",10,sdg,"San Diego Chargers",41
team,201010030sdg,crd,First Downs,10,,,,,,
team,201010030sdg,sdg,First Downs,23,,,,,,
team,201010030sdg,crd,Rush-Yds-TDs,14-47-0,,,,,,
team,201010030sdg,sdg,Rush-Yds-TDs,38-180-2,,,,,,
team,201010030sdg,crd,Cmp-Att-Yd-TD-INT,15-28-146-0-2,,,,,,
team,201010030sdg,sdg,Cmp-Att-Yd-TD-INT,16-21-249-2-0,,,,,,
team,201010030sdg,crd,Sacked-Yards,9-59,,,,,,
team,201010030sdg,sdg,Sacked-Yards,1-10,,,,,,
team,201010030sdg,crd,Net Pass Yards,87,,,,,,
team,201010030sdg,sdg,Net Pass Yards,239,,,,,,
team,201010030sdg,crd,Total Yards,134,,,,,,
team,201010030sdg,sdg,Total Yards,419,,,,,,
team,201010030sdg,crd,Fumbles-Lost,1-1,,,,,,
team,201010030sdg,sdg,Fumbles-Lost,1-1,,,,,,
team,201010030sdg,crd,Turnovers,3,,,,,,
team,201010030sdg,sdg,Turnovers,1,,,,,,
team,201010030sdg,crd,Penalties-Yards,5-34,,,,,,
team,201010030sdg,sdg,Penalties-Yards,5-44,,,,,,
team,201010030sdg,crd,Third Down Conv.,4-12,,,,,,
team,201010030sdg,sdg,Third Down Conv.,5-10,,,,,,
team,201010030sdg,crd,Fourth Down Conv.,0-1,,,,,,
team,201010030sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201010030sdg,crd,Time of Possession,25:02,,,,,,
team,201010030sdg,sdg,Time of Possession,34:58,,,,,,
player,201010030sdg,crd,AndeDe00,pass_cmp,7,,,,,
player,201010030sdg,crd,AndeDe00,pass_att,14,,,,,
player,201010030sdg,crd,AndeDe00,pass_yds,64,,,,,
player,201010030sdg,crd,AndeDe00,pass_td,0,,,,,
player,201010030sdg,crd,AndeDe00,pass_int,2,,,,,
player,201010030sdg,crd,AndeDe00,pass_sacked,3,,,,,
player,201010030sdg,crd,AndeDe00,pass_sacked_yds,20,,,,,
player,201010030sdg,crd,AndeDe00,pass_long,16,,,,,
player,201010030sdg,crd,AndeDe00,pass_rating,23.2,,,,,
player,201010030sdg,crd,AndeDe00,rush_att,0,,,,,
player,201010030sdg,crd,AndeDe00,rush_yds,0,,,,,
player,201010030sdg,crd,AndeDe00,rush_td,0,,,,,
player,201010030sdg,crd,AndeDe00,rush_long,0,,,,,
player,201010030sdg,crd,AndeDe00,targets,0,,,,,
player,201010030sdg,crd,AndeDe00,rec,0,,,,,
player,201010030sdg,crd,AndeDe00,rec_yds,0,,,,,
player,201010030sdg,crd,AndeDe00,rec_td,0,,,,,
player,201010030sdg,crd,AndeDe00,rec_long,0,,,,,
player,201010030sdg,crd,AndeDe00,fumbles,0,,,,,
player,201010030sdg,crd,AndeDe00,fumbles_lost,,,,,,
player,201010030sdg,crd,HallMa00,pass_cmp,8,,,,,
player,201010030sdg,crd,HallMa00,pass_att,14,,,,,
player,201010030sdg,crd,HallMa00,pass_yds,82,,,,,
player,201010030sdg,crd,HallMa00,pass_td,0,,,,,
player,201010030sdg,crd,HallMa00,pass_int,0,,,,,
player,201010030sdg,crd,HallMa00,pass_sacked,6,,,,,
player,201010030sdg,crd,HallMa00,pass_sacked_yds,39,,,,,
player,201010030sdg,crd,HallMa00,pass_long,24,,,,,
player,201010030sdg,crd,HallMa00,pass_rating,74.1,,,,,
player,201010030sdg,crd,HallMa00,rush_att,0,,,,,
player,201010030sdg,crd,HallMa00,rush_yds,0,,,,,
player,201010030sdg,crd,HallMa00,rush_td,0,,,,,
player,201010030sdg,crd,HallMa00,rush_long,0,,,,,
player,201010030sdg,crd,HallMa00,targets,0,,,,,
player,201010030sdg,crd,HallMa00,rec,0,,,,,
player,201010030sdg,crd,HallMa00,rec_yds,0,,,,,
player,201010030sdg,crd,HallMa00,rec_td,0,,,,,
player,201010030sdg,crd,HallMa00,rec_long,0,,,,,
player,201010030sdg,crd,HallMa00,fumbles,1,,,,,
player,201010030sdg,crd,HallMa00,fumbles_lost,1,,,,,
player,201010030sdg,crd,HighTi00,pass_cmp,0,,,,,
player,201010030sdg,crd,HighTi00,pass_att,0,,,,,
player,201010030sdg,crd,HighTi00,pass_yds,0,,,,,
player,201010030sdg,crd,HighTi00,pass_td,0,,,,,
player,201010030sdg,crd,HighTi00,pass_int,0,,,,,
player,201010030sdg,crd,HighTi00,pass_sacked,0,,,,,
player,201010030sdg,crd,HighTi00,pass_sacked_yds,0,,,,,
player,201010030sdg,crd,HighTi00,pass_long,0,,,,,
player,201010030sdg,crd,HighTi00,pass_rating,,,,,,
player,201010030sdg,crd,HighTi00,rush_att,7,,,,,
player,201010030sdg,crd,HighTi00,rush_yds,24,,,,,
player,201010030sdg,crd,HighTi00,rush_td,0,,,,,
player,201010030sdg,crd,HighTi00,rush_long,7,,,,,
player,201010030sdg,crd,HighTi00,targets,1,,,,,
player,201010030sdg,crd,HighTi00,rec,0,,,,,
player,201010030sdg,crd,HighTi00,rec_yds,0,,,,,
player,201010030sdg,crd,HighTi00,rec_td,0,,,,,
player,201010030sdg,crd,HighTi00,rec_long,0,,,,,
player,201010030sdg,crd,HighTi00,fumbles,0,,,,,
player,201010030sdg,crd,HighTi00,fumbles_lost,,,,,,
player,201010030sdg,crd,WellCh00,pass_cmp,0,,,,,
player,201010030sdg,crd,WellCh00,pass_att,0,,,,,
player,201010030sdg,crd,WellCh00,pass_yds,0,,,,,
player,201010030sdg,crd,WellCh00,pass_td,0,,,,,
player,201010030sdg,crd,WellCh00,pass_int,0,,,,,
player,201010030sdg,crd,WellCh00,pass_sacked,0,,,,,
