game,2010,4,20101003,201010030jax,clt,"Indianapolis Colts",28,jax,"Jacksonville Jaguars",31
team,201010030jax,clt,First Downs,28,,,,,,
team,201010030jax,jax,First Downs,20,,,,,,
team,201010030jax,clt,Rush-Yds-TDs,19-58-2,,,,,,
team,201010030jax,jax,Rush-Yds-TDs,35-174-2,,,,,,
team,201010030jax,clt,Cmp-Att-Yd-TD-INT,33-46-352-2-1,,,,,,
team,201010030jax,jax,Cmp-Att-Yd-TD-INT,17-22-163-2-0,,,,,,
team,201010030jax,clt,Sacked-Yards,1-4,,,,,,
team,201010030jax,jax,Sacked-Yards,0-0,,,,,,
team,201010030jax,clt,Net Pass Yards,348,,,,,,
team,201010030jax,jax,Net Pass Yards,163,,,,,,
team,201010030jax,clt,Total Yards,406,,,,,,
team,201010030jax,jax,Total Yards,337,,,,,,
team,201010030jax,clt,Fumbles-Lost,2-1,,,,,,
team,201010030jax,jax,Fumbles-Lost,0-0,,,,,,
team,201010030jax,clt,Turnovers,2,,,,,,
team,201010030jax,jax,Turnovers,0,,,,,,
team,201010030jax,clt,Penalties-Yards,3-35,,,,,,
team,201010030jax,jax,Penalties-Yards,7-45,,,,,,
team,201010030jax,clt,Third Down Conv.,7-10,,,,,,
team,201010030jax,jax,Third Down Conv.,9-13,,,,,,
team,201010030jax,clt,Fourth Down Conv.,1-1,,,,,,
team,201010030jax,jax,Fourth Down Conv.,0-0,,,,,,
team,201010030jax,clt,Time of Possession,30:14,,,,,,
team,201010030jax,jax,Time of Possession,29:46,,,,,,
player,201010030jax,clt,MannPe00,pass_cmp,33,,,,,
player,201010030jax,clt,MannPe00,pass_att,46,,,,,
player,201010030jax,clt,MannPe00,pass_yds,352,,,,,
player,201010030jax,clt,MannPe00,pass_td,2,,,,,
player,201010030jax,clt,MannPe00,pass_int,1,,,,,
player,201010030jax,clt,MannPe00,pass_sacked,1,,,,,
player,201010030jax,clt,MannPe00,pass_sacked_yds,4,,,,,
player,201010030jax,clt,MannPe00,pass_long,42,,,,,
player,201010030jax,clt,MannPe00,pass_rating,99.2,,,,,
player,201010030jax,clt,MannPe00,rush_att,1,,,,,
player,201010030jax,clt,MannPe00,rush_yds,-1,,,,,
player,201010030jax,clt,MannPe00,rush_td,0,,,,,
player,201010030jax,clt,MannPe00,rush_long,-1,,,,,
player,201010030jax,clt,MannPe00,targets,0,,,,,
player,201010030jax,clt,MannPe00,rec,0,,,,,
player,201010030jax,clt,MannPe00,rec_yds,0,,,,,
player,201010030jax,clt,MannPe00,rec_td,0,,,,,
player,201010030jax,clt,MannPe00,rec_long,0,,,,,
player,201010030jax,clt,MannPe00,fumbles,0,,,,,
player,201010030jax,clt,MannPe00,fumbles_lost,,,,,,
player,201010030jax,clt,AddaJo00,pass_cmp,0,,,,,
player,201010030jax,clt,AddaJo00,pass_att,0,,,,,
player,201010030jax,clt,AddaJo00,pass_yds,0,,,,,
