game,2010,8,20101031,201010310sdg,oti,"Tennessee Titans",25,sdg,"San Diego Chargers",33
team,201010310sdg,oti,First Downs,15,,,,,,
team,201010310sdg,sdg,First Downs,23,,,,,,
team,201010310sdg,oti,Rush-Yds-TDs,19-65-1,,,,,,
team,201010310sdg,sdg,Rush-Yds-TDs,34-156-2,,,,,,
team,201010310sdg,oti,Cmp-Att-Yd-TD-INT,18-36-305-2-0,,,,,,
team,201010310sdg,sdg,Cmp-Att-Yd-TD-INT,27-36-305-2-1,,,,,,
team,201010310sdg,oti,Sacked-Yards,0-0,,,,,,
team,201010310sdg,sdg,Sacked-Yards,1-5,,,,,,
team,201010310sdg,oti,Net Pass Yards,305,,,,,,
team,201010310sdg,sdg,Net Pass Yards,300,,,,,,
team,201010310sdg,oti,Total Yards,370,,,,,,
team,201010310sdg,sdg,Total Yards,456,,,,,,
team,201010310sdg,oti,Fumbles-Lost,0-0,,,,,,
team,201010310sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201010310sdg,oti,Turnovers,0,,,,,,
team,201010310sdg,sdg,Turnovers,1,,,,,,
team,201010310sdg,oti,Penalties-Yards,10-80,,,,,,
team,201010310sdg,sdg,Penalties-Yards,8-62,,,,,,
team,201010310sdg,oti,Third Down Conv.,4-13,,,,,,
team,201010310sdg,sdg,Third Down Conv.,12-18,,,,,,
team,201010310sdg,oti,Fourth Down Conv.,1-2,,,,,,
team,201010310sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201010310sdg,oti,Time of Possession,22:13,,,,,,
team,201010310sdg,sdg,Time of Possession,37:47,,,,,,
player,201010310sdg,oti,YounVi00,pass_cmp,10,,,,,
player,201010310sdg,oti,YounVi00,pass_att,21,,,,,
player,201010310sdg,oti,YounVi00,pass_yds,253,,,,,
player,201010310sdg,oti,YounVi00,pass_td,2,,,,,
player,201010310sdg,oti,YounVi00,pass_int,0,,,,,
player,201010310sdg,oti,YounVi00,pass_sacked,0,,,,,
player,201010310sdg,oti,YounVi00,pass_sacked_yds,0,,,,,
player,201010310sdg,oti,YounVi00,pass_long,71,,,,,
player,201010310sdg,oti,YounVi00,pass_rating,123.7,,,,,
player,201010310sdg,oti,YounVi00,rush_att,2,,,,,
player,201010310sdg,oti,YounVi00,rush_yds,3,,,,,
player,201010310sdg,oti,YounVi00,rush_td,0,,,,,
player,201010310sdg,oti,YounVi00,rush_long,4,,,,,
player,201010310sdg,oti,YounVi00,targets,0,,,,,
player,201010310sdg,oti,YounVi00,rec,0,,,,,
player,201010310sdg,oti,YounVi00,rec_yds,0,,,,,
player,201010310sdg,oti,YounVi00,rec_td,0,,,,,
player,201010310sdg,oti,YounVi00,rec_long,0,,,,,
player,201010310sdg,oti,YounVi00,fumbles,0,,,,,
player,201010310sdg,oti,YounVi00,fumbles_lost,,,,,,
player,201010310sdg,oti,CollKe00,pass_cmp,8,,,,,
player,201010310sdg,oti,CollKe00,pass_att,15,,,,,
player,201010310sdg,oti,CollKe00,pass_yds,52,,,,,
player,201010310sdg,oti,CollKe00,pass_td,0,,,,,
player,201010310sdg,oti,CollKe00,pass_int,0,,,,,
player,201010310sdg,oti,CollKe00,pass_sacked,0,,,,,
player,201010310sdg,oti,CollKe00,pass_sacked_yds,0,,,,,
player,201010310sdg,oti,CollKe00,pass_long,17,,,,,
player,201010310sdg,oti,CollKe00,pass_rating,61.0,,,,,
player,201010310sdg,oti,CollKe00,rush_att,0,,,,,
player,201010310sdg,oti,CollKe00,rush_yds,0,,,,,
player,201010310sdg,oti,CollKe00,rush_td,0,,,,,
player,201010310sdg,oti,CollKe00,rush_long,0,,,,,
player,201010310sdg,oti,CollKe00,targets,0,,,,,
player,201010310sdg,oti,CollKe00,rec,0,,,,,
player,201010310sdg,oti,CollKe00,rec_yds,0,,,,,
player,201010310sdg,oti,CollKe00,rec_td,0,,,,,
player,201010310sdg,oti,CollKe00,rec_long,0,,,,,
player,201010310sdg,oti,CollKe00,fumbles,0,,,,,
player,201010310sdg,oti,CollKe00,fumbles_lost,,,,,,
player,201010310sdg,oti,JohnCh04,pass_cmp,0,,,,,
player,201010310sdg,oti,JohnCh04,pass_att,0,,,,,
player,201010310sdg,oti,JohnCh04,pass_yds,0,,,,,
player,201010310sdg,oti,JohnCh04,pass_td,0,,,,,
player,201010310sdg,oti,JohnCh04,pass_int,0,,,,,
player,201010310sdg,oti,JohnCh04,pass_sacked,,,,,,
player,201010310sdg,oti,JohnCh04,pass_sacked_yds,,,,,,
player,201010310sdg,oti,JohnCh04,pass_long,0,,,,,
player,201010310sdg,oti,JohnCh04,pass_rating,,,,,,
player,201010310sdg,oti,JohnCh04,rush_att,15,,,,,
player,201010310sdg,oti,JohnCh04,rush_yds,59,,,,,
player,201010310sdg,oti,JohnCh04,rush_td,1,,,,,
player,201010310sdg,oti,JohnCh04,rush_long,29,,,,,
player,201010310sdg,oti,JohnCh04,targets,6,,,,,
player,201010310sdg,oti,JohnCh04,rec,5,,,,,
player,201010310sdg,oti,JohnCh04,rec_yds,24,,,,,
player,201010310sdg,oti,JohnCh04,rec_td,0,,,,,
player,201010310sdg,oti,JohnCh04,rec_long,8,,,,,
player,201010310sdg,oti,JohnCh04,fumbles,0,,,,,
player,201010310sdg,oti,JohnCh04,fumbles_lost,,,,,,
player,201010310sdg,oti,RingJa00,pass_cmp,0,,,,,
