game,2010,6,20101017,201010170min,dal,"Dallas Cowboys",21,min,"Minnesota Vikings",24
team,201010170min,dal,First Downs,16,,,,,,
team,201010170min,min,First Downs,14,,,,,,
team,201010170min,dal,Rush-Yds-TDs,28-94-0,,,,,,
team,201010170min,min,Rush-Yds-TDs,28-95-1,,,,,,
team,201010170min,dal,Cmp-Att-Yd-TD-INT,24-32-220-3-2,,,,,,
team,201010170min,min,Cmp-Att-Yd-TD-INT,14-19-118-1-0,,,,,,
team,201010170min,dal,Sacked-Yards,0-0,,,,,,
team,201010170min,min,Sacked-Yards,3-25,,,,,,
team,201010170min,dal,Net Pass Yards,220,,,,,,
team,201010170min,min,Net Pass Yards,93,,,,,,
team,201010170min,dal,Total Yards,314,,,,,,
team,201010170min,min,Total Yards,188,,,,,,
team,201010170min,dal,Fumbles-Lost,0-0,,,,,,
team,201010170min,min,Fumbles-Lost,1-1,,,,,,
team,201010170min,dal,Turnovers,2,,,,,,
team,201010170min,min,Turnovers,1,,,,,,
team,201010170min,dal,Penalties-Yards,11-91,,,,,,
team,201010170min,min,Penalties-Yards,5-45,,,,,,
team,201010170min,dal,Third Down Conv.,9-17,,,,,,
team,201010170min,min,Third Down Conv.,6-12,,,,,,
team,201010170min,dal,Fourth Down Conv.,1-1,,,,,,
team,201010170min,min,Fourth Down Conv.,0-0,,,,,,
team,201010170min,dal,Time of Possession,32:10,,,,,,
team,201010170min,min,Time of Possession,27:50,,,,,,
player,201010170min,dal,RomoTo00,pass_cmp,24,,,,,
player,201010170min,dal,RomoTo00,pass_att,32,,,,,
player,201010170min,dal,RomoTo00,pass_yds,220,,,,,
player,201010170min,dal,RomoTo00,pass_td,3,,,,,
player,201010170min,dal,RomoTo00,pass_int,2,,,,,
player,201010170min,dal,RomoTo00,pass_sacked,0,,,,,
player,201010170min,dal,RomoTo00,pass_sacked_yds,0,,,,,
player,201010170min,dal,RomoTo00,pass_long,31,,,,,
player,201010170min,dal,RomoTo00,pass_rating,98.4,,,,,
player,201010170min,dal,RomoTo00,rush_att,3,,,,,
player,201010170min,dal,RomoTo00,rush_yds,31,,,,,
player,201010170min,dal,RomoTo00,rush_td,0,,,,,
player,201010170min,dal,RomoTo00,rush_long,14,,,,,
player,201010170min,dal,RomoTo00,targets,0,,,,,
player,201010170min,dal,RomoTo00,rec,0,,,,,
player,201010170min,dal,RomoTo00,rec_yds,11,,,,,
player,201010170min,dal,RomoTo00,rec_td,0,,,,,
player,201010170min,dal,RomoTo00,rec_long,11,,,,,
player,201010170min,dal,RomoTo00,fumbles,0,,,,,
player,201010170min,dal,RomoTo00,fumbles_lost,,,,,,
player,201010170min,dal,JoneFe00,pass_cmp,0,,,,,
player,201010170min,dal,JoneFe00,pass_att,0,,,,,
player,201010170min,dal,JoneFe00,pass_yds,0,,,,,
player,201010170min,dal,JoneFe00,pass_td,0,,,,,
player,201010170min,dal,JoneFe00,pass_int,0,,,,,
player,201010170min,dal,JoneFe00,pass_sacked,,,,,,
player,201010170min,dal,JoneFe00,pass_sacked_yds,,,,,,
player,201010170min,dal,JoneFe00,pass_long,0,,,,,
player,201010170min,dal,JoneFe00,pass_rating,,,,,,
player,201010170min,dal,JoneFe00,rush_att,14,,,,,
player,201010170min,dal,JoneFe00,rush_yds,32,,,,,
player,201010170min,dal,JoneFe00,rush_td,0,,,,,
player,201010170min,dal,JoneFe00,rush_long,6,,,,,
player,201010170min,dal,JoneFe00,targets,10,,,,,
player,201010170min,dal,JoneFe00,rec,10,,,,,
player,201010170min,dal,JoneFe00,rec_yds,61,,,,,
player,201010170min,dal,JoneFe00,rec_td,0,,,,,
player,201010170min,dal,JoneFe00,rec_long,14,,,,,
player,201010170min,dal,JoneFe00,fumbles,0,,,,,
player,201010170min,dal,JoneFe00,fumbles_lost,,,,,,
player,201010170min,dal,BarbMa01,pass_cmp,0,,,,,
player,201010170min,dal,BarbMa01,pass_att,0,,,,,
player,201010170min,dal,BarbMa01,pass_yds,0,,,,,
player,201010170min,dal,BarbMa01,pass_td,0,,,,,
player,201010170min,dal,BarbMa01,pass_int,0,,,,,
player,201010170min,dal,BarbMa01,pass_sacked,0,,,,,
player,201010170min,dal,BarbMa01,pass_sacked_yds,,,,,,
player,201010170min,dal,BarbMa01,pass_long,0,,,,,
player,201010170min,dal,BarbMa01,pass_rating,,,,,,
player,201010170min,dal,BarbMa01,rush_att,10,,,,,
player,201010170min,dal,BarbMa01,rush_yds,31,,,,,
player,201010170min,dal,BarbMa01,rush_td,0,,,,,
player,201010170min,dal,BarbMa01,rush_long,6,,,,,
player,201010170min,dal,BarbMa01,targets,3,,,,,
player,201010170min,dal,BarbMa01,rec,3,,,,,
player,201010170min,dal,BarbMa01,rec_yds,15,,,,,
player,201010170min,dal,BarbMa01,rec_td,0,,,,,
player,201010170min,dal,BarbMa01,rec_long,14,,,,,
player,201010170min,dal,BarbMa01,fumbles,0,,,,,
player,201010170min,dal,BarbMa01,fumbles_lost,,,,,,
player,201010170min,dal,WittJa00,pass_cmp,0,,,,,
player,201010170min,dal,WittJa00,pass_att,0,,,,,
player,201010170min,dal,WittJa00,pass_yds,0,,,,,
player,201010170min,dal,WittJa00,pass_td,0,,,,,
player,201010170min,dal,WittJa00,pass_int,0,,,,,
player,201010170min,dal,WittJa00,pass_sacked,,,,,,
player,201010170min,dal,WittJa00,pass_sacked_yds,,,,,,
player,201010170min,dal,WittJa00,pass_long,0,,,,,
player,201010170min,dal,WittJa00,pass_rating,,,,,,
player,201010170min,dal,WittJa00,rush_att,0,,,,,
player,201010170min,dal,WittJa00,rush_yds,0,,,,,
player,201010170min,dal,WittJa00,rush_td,0,,,,,
player,201010170min,dal,WittJa00,rush_long,0,,,,,
player,201010170min,dal,WittJa00,targets,5,,,,,
player,201010170min,dal,WittJa00,rec,3,,,,,
player,201010170min,dal,WittJa00,rec_yds,52,,,,,
player,201010170min,dal,WittJa00,rec_td,0,,,,,
player,201010170min,dal,WittJa00,rec_long,30,,,,,
player,201010170min,dal,WittJa00,fumbles,0,,,,,
player,201010170min,dal,WittJa00,fumbles_lost,,,,,,
player,201010170min,dal,BryaDe01,pass_cmp,0,,,,,
player,201010170min,dal,BryaDe01,pass_att,0,,,,,
player,201010170min,dal,BryaDe01,pass_yds,0,,,,,
player,201010170min,dal,BryaDe01,pass_td,0,,,,,
player,201010170min,dal,BryaDe01,pass_int,0,,,,,
player,201010170min,dal,BryaDe01,pass_sacked,,,,,,
player,201010170min,dal,BryaDe01,pass_sacked_yds,,,,,,
player,201010170min,dal,BryaDe01,pass_long,0,,,,,
player,201010170min,dal,BryaDe01,pass_rating,,,,,,
player,201010170min,dal,BryaDe01,rush_att,0,,,,,
player,201010170min,dal,BryaDe01,rush_yds,0,,,,,
player,201010170min,dal,BryaDe01,rush_td,0,,,,,
player,201010170min,dal,BryaDe01,rush_long,0,,,,,
player,201010170min,dal,BryaDe01,targets,2,,,,,
player,201010170min,dal,BryaDe01,rec,1,,,,,
player,201010170min,dal,BryaDe01,rec_yds,31,,,,,
player,201010170min,dal,BryaDe01,rec_td,1,,,,,
player,201010170min,dal,BryaDe01,rec_long,31,,,,,
player,201010170min,dal,BryaDe01,fumbles,0,,,,,
player,201010170min,dal,BryaDe01,fumbles_lost,,,,,,
player,201010170min,dal,WillRo04,pass_cmp,0,,,,,
player,201010170min,dal,WillRo04,pass_att,0,,,,,
player,201010170min,dal,WillRo04,pass_yds,0,,,,,
player,201010170min,dal,WillRo04,pass_td,0,,,,,
player,201010170min,dal,WillRo04,pass_int,0,,,,,
player,201010170min,dal,WillRo04,pass_sacked,,,,,,
player,201010170min,dal,WillRo04,pass_sacked_yds,,,,,,
player,201010170min,dal,WillRo04,pass_long,0,,,,,
player,201010170min,dal,WillRo04,pass_rating,,,,,,
player,201010170min,dal,WillRo04,rush_att,0,,,,,
player,201010170min,dal,WillRo04,rush_yds,0,,,,,
player,201010170min,dal,WillRo04,rush_td,0,,,,,
player,201010170min,dal,WillRo04,rush_long,0,,,,,
player,201010170min,dal,WillRo04,targets,3,,,,,
player,201010170min,dal,WillRo04,rec,3,,,,,
player,201010170min,dal,WillRo04,rec_yds,28,,,,,
player,201010170min,dal,WillRo04,rec_td,2,,,,,
player,201010170min,dal,WillRo04,rec_long,19,,,,,
player,201010170min,dal,WillRo04,fumbles,0,,,,,
player,201010170min,dal,WillRo04,fumbles_lost,,,,,,
player,201010170min,dal,AustMi00,pass_cmp,0,,,,,
player,201010170min,dal,AustMi00,pass_att,0,,,,,
player,201010170min,dal,AustMi00,pass_yds,0,,,,,
player,201010170min,dal,AustMi00,pass_td,0,,,,,
player,201010170min,dal,AustMi00,pass_int,0,,,,,
player,201010170min,dal,AustMi00,pass_sacked,,,,,,
player,201010170min,dal,AustMi00,pass_sacked_yds,,,,,,
player,201010170min,dal,AustMi00,pass_long,0,,,,,
player,201010170min,dal,AustMi00,pass_rating,,,,,,
player,201010170min,dal,AustMi00,rush_att,0,,,,,
player,201010170min,dal,AustMi00,rush_yds,0,,,,,
player,201010170min,dal,AustMi00,rush_td,0,,,,,
player,201010170min,dal,AustMi00,rush_long,0,,,,,
player,201010170min,dal,AustMi00,targets,5,,,,,
player,201010170min,dal,AustMi00,rec,2,,,,,
player,201010170min,dal,AustMi00,rec_yds,12,,,,,
player,201010170min,dal,AustMi00,rec_td,0,,,,,
player,201010170min,dal,AustMi00,rec_long,8,,,,,
player,201010170min,dal,AustMi00,fumbles,0,,,,,
player,201010170min,dal,AustMi00,fumbles_lost,,,,,,
player,201010170min,dal,GronCh00,pass_cmp,0,,,,,
player,201010170min,dal,GronCh00,pass_att,0,,,,,
player,201010170min,dal,GronCh00,pass_yds,0,,,,,
player,201010170min,dal,GronCh00,pass_td,0,,,,,
player,201010170min,dal,GronCh00,pass_int,0,,,,,
player,201010170min,dal,GronCh00,pass_sacked,,,,,,
player,201010170min,dal,GronCh00,pass_sacked_yds,,,,,,
player,201010170min,dal,GronCh00,pass_long,0,,,,,
player,201010170min,dal,GronCh00,pass_rating,,,,,,
player,201010170min,dal,GronCh00,rush_att,1,,,,,
player,201010170min,dal,GronCh00,rush_yds,0,,,,,
player,201010170min,dal,GronCh00,rush_td,0,,,,,
player,201010170min,dal,GronCh00,rush_long,0,,,,,
player,201010170min,dal,GronCh00,targets,3,,,,,
player,201010170min,dal,GronCh00,rec,2,,,,,
player,201010170min,dal,GronCh00,rec_yds,10,,,,,
player,201010170min,dal,GronCh00,rec_td,0,,,,,
player,201010170min,dal,GronCh00,rec_long,7,,,,,
player,201010170min,dal,GronCh00,fumbles,0,,,,,
player,201010170min,dal,GronCh00,fumbles_lost,,,,,,
player,201010170min,dal,BennMa00,pass_cmp,,,,,,
player,201010170min,dal,BennMa00,pass_att,,,,,,
player,201010170min,dal,BennMa00,pass_yds,,,,,,
player,201010170min,dal,BennMa00,pass_td,,,,,,
player,201010170min,dal,BennMa00,pass_int,,,,,,
player,201010170min,dal,BennMa00,pass_sacked,,,,,,
player,201010170min,dal,BennMa00,pass_sacked_yds,,,,,,
player,201010170min,dal,BennMa00,pass_long,,,,,,
player,201010170min,dal,BennMa00,pass_rating,,,,,,
player,201010170min,dal,BennMa00,rush_att,,,,,,
player,201010170min,dal,BennMa00,rush_yds,,,,,,
player,201010170min,dal,BennMa00,rush_td,,,,,,
player,201010170min,dal,BennMa00,rush_long,,,,,,
player,201010170min,dal,BennMa00,targets,1,,,,,
player,201010170min,dal,BennMa00,rec,0,,,,,
player,201010170min,dal,BennMa00,rec_yds,0,,,,,
player,201010170min,dal,BennMa00,rec_td,0,,,,,
player,201010170min,dal,BennMa00,rec_long,,,,,,
player,201010170min,dal,BennMa00,fumbles,,,,,,
player,201010170min,dal,BennMa00,fumbles_lost,,,,,,
player,201010170min,min,FavrBr00,pass_cmp,14,,,,,
player,201010170min,min,FavrBr00,pass_att,19,,,,,
player,201010170min,min,FavrBr00,pass_yds,118,,,,,
player,201010170min,min,FavrBr00,pass_td,1,,,,,
player,201010170min,min,FavrBr00,pass_int,0,,,,,
player,201010170min,min,FavrBr00,pass_sacked,3,,,,,
