game,2010,15,20101219,201012190oti,htx,"Houston Texans",17,oti,"Tennessee Titans",31
team,201012190oti,htx,First Downs,26,,,,,,
team,201012190oti,oti,First Downs,19,,,,,,
team,201012190oti,htx,Rush-Yds-TDs,17-30-0,,,,,,
team,201012190oti,oti,Rush-Yds-TDs,30-147-2,,,,,,
team,201012190oti,htx,Cmp-Att-Yd-TD-INT,35-54-325-2-1,,,,,,
team,201012190oti,oti,Cmp-Att-Yd-TD-INT,14-24-237-2-1,,,,,,
team,201012190oti,htx,Sacked-Yards,4-32,,,,,,
team,201012190oti,oti,Sacked-Yards,3-25,,,,,,
team,201012190oti,htx,Net Pass Yards,293,,,,,,
team,201012190oti,oti,Net Pass Yards,212,,,,,,
team,201012190oti,htx,Total Yards,323,,,,,,
team,201012190oti,oti,Total Yards,359,,,,,,
team,201012190oti,htx,Fumbles-Lost,2-0,,,,,,
team,201012190oti,oti,Fumbles-Lost,0-0,,,,,,
team,201012190oti,htx,Turnovers,1,,,,,,
team,201012190oti,oti,Turnovers,1,,,,,,
team,201012190oti,htx,Penalties-Yards,9-66,,,,,,
team,201012190oti,oti,Penalties-Yards,12-76,,,,,,
team,201012190oti,htx,Third Down Conv.,5-13,,,,,,
team,201012190oti,oti,Third Down Conv.,3-11,,,,,,
team,201012190oti,htx,Fourth Down Conv.,1-3,,,,,,
team,201012190oti,oti,Fourth Down Conv.,2-2,,,,,,
team,201012190oti,htx,Time of Possession,32:29,,,,,,
team,201012190oti,oti,Time of Possession,27:31,,,,,,
player,201012190oti,htx,SchaMa00,pass_cmp,35,,,,,
player,201012190oti,htx,SchaMa00,pass_att,54,,,,,
player,201012190oti,htx,SchaMa00,pass_yds,325,,,,,
player,201012190oti,htx,SchaMa00,pass_td,2,,,,,
player,201012190oti,htx,SchaMa00,pass_int,1,,,,,
player,201012190oti,htx,SchaMa00,pass_sacked,4,,,,,
player,201012190oti,htx,SchaMa00,pass_sacked_yds,32,,,,,
player,201012190oti,htx,SchaMa00,pass_long,23,,,,,
player,201012190oti,htx,SchaMa00,pass_rating,85.8,,,,,
player,201012190oti,htx,SchaMa00,rush_att,0,,,,,
player,201012190oti,htx,SchaMa00,rush_yds,0,,,,,
player,201012190oti,htx,SchaMa00,rush_td,0,,,,,
player,201012190oti,htx,SchaMa00,rush_long,0,,,,,
player,201012190oti,htx,SchaMa00,targets,0,,,,,
player,201012190oti,htx,SchaMa00,rec,0,,,,,
player,201012190oti,htx,SchaMa00,rec_yds,0,,,,,
player,201012190oti,htx,SchaMa00,rec_td,0,,,,,
player,201012190oti,htx,SchaMa00,rec_long,0,,,,,
player,201012190oti,htx,SchaMa00,fumbles,1,,,,,
player,201012190oti,htx,SchaMa00,fumbles_lost,0,,,,,
player,201012190oti,htx,FostAr00,pass_cmp,0,,,,,
player,201012190oti,htx,FostAr00,pass_att,0,,,,,
player,201012190oti,htx,FostAr00,pass_yds,0,,,,,
player,201012190oti,htx,FostAr00,pass_td,0,,,,,
player,201012190oti,htx,FostAr00,pass_int,0,,,,,
player,201012190oti,htx,FostAr00,pass_sacked,,,,,,
player,201012190oti,htx,FostAr00,pass_sacked_yds,,,,,,
player,201012190oti,htx,FostAr00,pass_long,0,,,,,
player,201012190oti,htx,FostAr00,pass_rating,,,,,,
player,201012190oti,htx,FostAr00,rush_att,11,,,,,
player,201012190oti,htx,FostAr00,rush_yds,15,,,,,
player,201012190oti,htx,FostAr00,rush_td,0,,,,,
player,201012190oti,htx,FostAr00,rush_long,7,,,,,
