game,2010,12,20101128,201011280chi,phi,"Philadelphia Eagles",26,chi,"Chicago Bears",31
team,201011280chi,phi,First Downs,24,,,,,,
team,201011280chi,chi,First Downs,18,,,,,,
team,201011280chi,phi,Rush-Yds-TDs,22-105-0,,,,,,
team,201011280chi,chi,Rush-Yds-TDs,28-131-0,,,,,,
team,201011280chi,phi,Cmp-Att-Yd-TD-INT,29-44-333-2-1,,,,,,
team,201011280chi,chi,Cmp-Att-Yd-TD-INT,14-21-247-4-0,,,,,,
team,201011280chi,phi,Sacked-Yards,4-40,,,,,,
team,201011280chi,chi,Sacked-Yards,4-29,,,,,,
team,201011280chi,phi,Net Pass Yards,293,,,,,,
team,201011280chi,chi,Net Pass Yards,218,,,,,,
team,201011280chi,phi,Total Yards,398,,,,,,
team,201011280chi,chi,Total Yards,349,,,,,,
team,201011280chi,phi,Fumbles-Lost,4-0,,,,,,
team,201011280chi,chi,Fumbles-Lost,0-0,,,,,,
team,201011280chi,phi,Turnovers,1,,,,,,
team,201011280chi,chi,Turnovers,0,,,,,,
team,201011280chi,phi,Penalties-Yards,3-19,,,,,,
team,201011280chi,chi,Penalties-Yards,6-56,,,,,,
team,201011280chi,phi,Third Down Conv.,4-13,,,,,,
team,201011280chi,chi,Third Down Conv.,3-10,,,,,,
team,201011280chi,phi,Fourth Down Conv.,2-2,,,,,,
team,201011280chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201011280chi,phi,Time of Possession,31:58,,,,,,
team,201011280chi,chi,Time of Possession,28:02,,,,,,
player,201011280chi,phi,VickMi00,pass_cmp,29,,,,,
player,201011280chi,phi,VickMi00,pass_att,44,,,,,
player,201011280chi,phi,VickMi00,pass_yds,333,,,,,
player,201011280chi,phi,VickMi00,pass_td,2,,,,,
player,201011280chi,phi,VickMi00,pass_int,1,,,,,
player,201011280chi,phi,VickMi00,pass_sacked,4,,,,,
player,201011280chi,phi,VickMi00,pass_sacked_yds,40,,,,,
player,201011280chi,phi,VickMi00,pass_long,30,,,,,
player,201011280chi,phi,VickMi00,pass_rating,94.2,,,,,
player,201011280chi,phi,VickMi00,rush_att,9,,,,,
player,201011280chi,phi,VickMi00,rush_yds,44,,,,,
player,201011280chi,phi,VickMi00,rush_td,0,,,,,
player,201011280chi,phi,VickMi00,rush_long,11,,,,,
player,201011280chi,phi,VickMi00,targets,0,,,,,
player,201011280chi,phi,VickMi00,rec,0,,,,,
player,201011280chi,phi,VickMi00,rec_yds,0,,,,,
player,201011280chi,phi,VickMi00,rec_td,0,,,,,
player,201011280chi,phi,VickMi00,rec_long,0,,,,,
player,201011280chi,phi,VickMi00,fumbles,4,,,,,
player,201011280chi,phi,VickMi00,fumbles_lost,0,,,,,
player,201011280chi,phi,McCoLe01,pass_cmp,0,,,,,
player,201011280chi,phi,McCoLe01,pass_att,0,,,,,
player,201011280chi,phi,McCoLe01,pass_yds,0,,,,,
player,201011280chi,phi,McCoLe01,pass_td,0,,,,,
player,201011280chi,phi,McCoLe01,pass_int,0,,,,,
player,201011280chi,phi,McCoLe01,pass_sacked,,,,,,
player,201011280chi,phi,McCoLe01,pass_sacked_yds,,,,,,
player,201011280chi,phi,McCoLe01,pass_long,0,,,,,
player,201011280chi,phi,McCoLe01,pass_rating,,,,,,
player,201011280chi,phi,McCoLe01,rush_att,10,,,,,
player,201011280chi,phi,McCoLe01,rush_yds,53,,,,,
player,201011280chi,phi,McCoLe01,rush_td,0,,,,,
player,201011280chi,phi,McCoLe01,rush_long,18,,,,,
player,201011280chi,phi,McCoLe01,targets,9,,,,,
player,201011280chi,phi,McCoLe01,rec,8,,,,,
player,201011280chi,phi,McCoLe01,rec_yds,67,,,,,
player,201011280chi,phi,McCoLe01,rec_td,0,,,,,
player,201011280chi,phi,McCoLe01,rec_long,21,,,,,
player,201011280chi,phi,McCoLe01,fumbles,0,,,,,
player,201011280chi,phi,McCoLe01,fumbles_lost,,,,,,
player,201011280chi,phi,JackDe00,pass_cmp,0,,,,,
player,201011280chi,phi,JackDe00,pass_att,0,,,,,
player,201011280chi,phi,JackDe00,pass_yds,0,,,,,
player,201011280chi,phi,JackDe00,pass_td,0,,,,,
player,201011280chi,phi,JackDe00,pass_int,0,,,,,
player,201011280chi,phi,JackDe00,pass_sacked,,,,,,
player,201011280chi,phi,JackDe00,pass_sacked_yds,,,,,,
player,201011280chi,phi,JackDe00,pass_long,0,,,,,
player,201011280chi,phi,JackDe00,pass_rating,,,,,,
player,201011280chi,phi,JackDe00,rush_att,1,,,,,
player,201011280chi,phi,JackDe00,rush_yds,3,,,,,
player,201011280chi,phi,JackDe00,rush_td,0,,,,,
player,201011280chi,phi,JackDe00,rush_long,3,,,,,
player,201011280chi,phi,JackDe00,targets,5,,,,,
player,201011280chi,phi,JackDe00,rec,2,,,,,
player,201011280chi,phi,JackDe00,rec_yds,26,,,,,
player,201011280chi,phi,JackDe00,rec_td,0,,,,,
player,201011280chi,phi,JackDe00,rec_long,21,,,,,
player,201011280chi,phi,JackDe00,fumbles,0,,,,,
player,201011280chi,phi,JackDe00,fumbles_lost,,,,,,
player,201011280chi,phi,BuckEl00,pass_cmp,0,,,,,
player,201011280chi,phi,BuckEl00,pass_att,0,,,,,
player,201011280chi,phi,BuckEl00,pass_yds,0,,,,,
player,201011280chi,phi,BuckEl00,pass_td,0,,,,,
player,201011280chi,phi,BuckEl00,pass_int,0,,,,,
player,201011280chi,phi,BuckEl00,pass_sacked,,,,,,
player,201011280chi,phi,BuckEl00,pass_sacked_yds,,,,,,
player,201011280chi,phi,BuckEl00,pass_long,0,,,,,
player,201011280chi,phi,BuckEl00,pass_rating,,,,,,
player,201011280chi,phi,BuckEl00,rush_att,1,,,,,
player,201011280chi,phi,BuckEl00,rush_yds,3,,,,,
player,201011280chi,phi,BuckEl00,rush_td,0,,,,,
player,201011280chi,phi,BuckEl00,rush_long,3,,,,,
player,201011280chi,phi,BuckEl00,targets,0,,,,,
player,201011280chi,phi,BuckEl00,rec,0,,,,,
