game,2010,17,20110102,201101020cle,pit,"Pittsburgh Steelers",41,cle,"Cleveland Browns",9
team,201101020cle,pit,First Downs,24,,,,,,
team,201101020cle,cle,First Downs,17,,,,,,
team,201101020cle,pit,Rush-Yds-TDs,30-100-2,,,,,,
team,201101020cle,cle,Rush-Yds-TDs,17-43-0,,,,,,
team,201101020cle,pit,Cmp-Att-Yd-TD-INT,21-30-325-3-0,,,,,,
team,201101020cle,cle,Cmp-Att-Yd-TD-INT,21-43-210-1-3,,,,,,
team,201101020cle,pit,Sacked-Yards,2-7,,,,,,
team,201101020cle,cle,Sacked-Yards,4-28,,,,,,
team,201101020cle,pit,Net Pass Yards,318,,,,,,
team,201101020cle,cle,Net Pass Yards,182,,,,,,
team,201101020cle,pit,Total Yards,418,,,,,,
team,201101020cle,cle,Total Yards,225,,,,,,
team,201101020cle,pit,Fumbles-Lost,0-0,,,,,,
team,201101020cle,cle,Fumbles-Lost,2-0,,,,,,
team,201101020cle,pit,Turnovers,0,,,,,,
team,201101020cle,cle,Turnovers,3,,,,,,
team,201101020cle,pit,Penalties-Yards,3-25,,,,,,
team,201101020cle,cle,Penalties-Yards,6-46,,,,,,
team,201101020cle,pit,Third Down Conv.,8-13,,,,,,
team,201101020cle,cle,Third Down Conv.,6-17,,,,,,
team,201101020cle,pit,Fourth Down Conv.,1-1,,,,,,
team,201101020cle,cle,Fourth Down Conv.,3-3,,,,,,
team,201101020cle,pit,Time of Possession,33:14,,,,,,
team,201101020cle,cle,Time of Possession,26:46,,,,,,
player,201101020cle,pit,RoetBe00,pass_cmp,15,,,,,
player,201101020cle,pit,RoetBe00,pass_att,22,,,,,
player,201101020cle,pit,RoetBe00,pass_yds,280,,,,,
player,201101020cle,pit,RoetBe00,pass_td,2,,,,,
player,201101020cle,pit,RoetBe00,pass_int,0,,,,,
player,201101020cle,pit,RoetBe00,pass_sacked,0,,,,,
player,201101020cle,pit,RoetBe00,pass_sacked_yds,0,,,,,
player,201101020cle,pit,RoetBe00,pass_long,56,,,,,
player,201101020cle,pit,RoetBe00,pass_rating,141.3,,,,,
player,201101020cle,pit,RoetBe00,rush_att,4,,,,,
player,201101020cle,pit,RoetBe00,rush_yds,24,,,,,
player,201101020cle,pit,RoetBe00,rush_td,0,,,,,
player,201101020cle,pit,RoetBe00,rush_long,10,,,,,
player,201101020cle,pit,RoetBe00,targets,0,,,,,
player,201101020cle,pit,RoetBe00,rec,0,,,,,
player,201101020cle,pit,RoetBe00,rec_yds,0,,,,,
player,201101020cle,pit,RoetBe00,rec_td,0,,,,,
player,201101020cle,pit,RoetBe00,rec_long,0,,,,,
player,201101020cle,pit,RoetBe00,fumbles,0,,,,,
player,201101020cle,pit,RoetBe00,fumbles_lost,,,,,,
player,201101020cle,pit,LeftBy00,pass_cmp,5,,,,,
player,201101020cle,pit,LeftBy00,pass_att,7,,,,,
player,201101020cle,pit,LeftBy00,pass_yds,42,,,,,
player,201101020cle,pit,LeftBy00,pass_td,0,,,,,
player,201101020cle,pit,LeftBy00,pass_int,0,,,,,
player,201101020cle,pit,LeftBy00,pass_sacked,2,,,,,
player,201101020cle,pit,LeftBy00,pass_sacked_yds,7,,,,,
player,201101020cle,pit,LeftBy00,pass_long,14,,,,,
player,201101020cle,pit,LeftBy00,pass_rating,86.6,,,,,
player,201101020cle,pit,LeftBy00,rush_att,0,,,,,
player,201101020cle,pit,LeftBy00,rush_yds,0,,,,,
player,201101020cle,pit,LeftBy00,rush_td,0,,,,,
player,201101020cle,pit,LeftBy00,rush_long,0,,,,,
player,201101020cle,pit,LeftBy00,targets,0,,,,,
player,201101020cle,pit,LeftBy00,rec,0,,,,,
player,201101020cle,pit,LeftBy00,rec_yds,0,,,,,
player,201101020cle,pit,LeftBy00,rec_td,0,,,,,
player,201101020cle,pit,LeftBy00,rec_long,0,,,,,
player,201101020cle,pit,LeftBy00,fumbles,0,,,,,
player,201101020cle,pit,LeftBy00,fumbles_lost,,,,,,
player,201101020cle,pit,RandAn00,pass_cmp,1,,,,,
player,201101020cle,pit,RandAn00,pass_att,1,,,,,
player,201101020cle,pit,RandAn00,pass_yds,3,,,,,
player,201101020cle,pit,RandAn00,pass_td,1,,,,,
player,201101020cle,pit,RandAn00,pass_int,0,,,,,
player,201101020cle,pit,RandAn00,pass_sacked,0,,,,,
player,201101020cle,pit,RandAn00,pass_sacked_yds,0,,,,,
