game,2010,9,20101107,201011070buf,chi,"Chicago Bears",22,buf,"Buffalo Bills",19
team,201011070buf,chi,First Downs,19,,,,,,
team,201011070buf,buf,First Downs,22,,,,,,
team,201011070buf,chi,Rush-Yds-TDs,31-105-1,,,,,,
team,201011070buf,buf,Rush-Yds-TDs,18-46-2,,,,,,
team,201011070buf,chi,Cmp-Att-Yd-TD-INT,17-30-188-2-0,,,,,,
team,201011070buf,buf,Cmp-Att-Yd-TD-INT,31-51-299-1-2,,,,,,
team,201011070buf,chi,Sacked-Yards,1-10,,,,,,
team,201011070buf,buf,Sacked-Yards,1-5,,,,,,
team,201011070buf,chi,Net Pass Yards,178,,,,,,
team,201011070buf,buf,Net Pass Yards,294,,,,,,
team,201011070buf,chi,Total Yards,283,,,,,,
team,201011070buf,buf,Total Yards,340,,,,,,
team,201011070buf,chi,Fumbles-Lost,1-1,,,,,,
team,201011070buf,buf,Fumbles-Lost,1-1,,,,,,
team,201011070buf,chi,Turnovers,1,,,,,,
team,201011070buf,buf,Turnovers,3,,,,,,
team,201011070buf,chi,Penalties-Yards,7-45,,,,,,
team,201011070buf,buf,Penalties-Yards,4-33,,,,,,
team,201011070buf,chi,Third Down Conv.,7-12,,,,,,
team,201011070buf,buf,Third Down Conv.,10-16,,,,,,
team,201011070buf,chi,Fourth Down Conv.,0-0,,,,,,
team,201011070buf,buf,Fourth Down Conv.,1-2,,,,,,
team,201011070buf,chi,Time of Possession,31:13,,,,,,
team,201011070buf,buf,Time of Possession,28:47,,,,,,
player,201011070buf,chi,CutlJa00,pass_cmp,17,,,,,
player,201011070buf,chi,CutlJa00,pass_att,30,,,,,
player,201011070buf,chi,CutlJa00,pass_yds,188,,,,,
player,201011070buf,chi,CutlJa00,pass_td,2,,,,,
player,201011070buf,chi,CutlJa00,pass_int,0,,,,,
player,201011070buf,chi,CutlJa00,pass_sacked,1,,,,,
player,201011070buf,chi,CutlJa00,pass_sacked_yds,10,,,,,
player,201011070buf,chi,CutlJa00,pass_long,26,,,,,
player,201011070buf,chi,CutlJa00,pass_rating,97.6,,,,,
player,201011070buf,chi,CutlJa00,rush_att,5,,,,,
player,201011070buf,chi,CutlJa00,rush_yds,39,,,,,
player,201011070buf,chi,CutlJa00,rush_td,0,,,,,
player,201011070buf,chi,CutlJa00,rush_long,18,,,,,
player,201011070buf,chi,CutlJa00,targets,0,,,,,
player,201011070buf,chi,CutlJa00,rec,0,,,,,
player,201011070buf,chi,CutlJa00,rec_yds,0,,,,,
player,201011070buf,chi,CutlJa00,rec_td,0,,,,,
player,201011070buf,chi,CutlJa00,rec_long,0,,,,,
player,201011070buf,chi,CutlJa00,fumbles,1,,,,,
player,201011070buf,chi,CutlJa00,fumbles_lost,1,,,,,
player,201011070buf,chi,FortMa00,pass_cmp,0,,,,,
player,201011070buf,chi,FortMa00,pass_att,0,,,,,
player,201011070buf,chi,FortMa00,pass_yds,0,,,,,
player,201011070buf,chi,FortMa00,pass_td,0,,,,,
player,201011070buf,chi,FortMa00,pass_int,0,,,,,
player,201011070buf,chi,FortMa00,pass_sacked,,,,,,
player,201011070buf,chi,FortMa00,pass_sacked_yds,,,,,,
player,201011070buf,chi,FortMa00,pass_long,0,,,,,
player,201011070buf,chi,FortMa00,pass_rating,,,,,,
player,201011070buf,chi,FortMa00,rush_att,14,,,,,
player,201011070buf,chi,FortMa00,rush_yds,49,,,,,
player,201011070buf,chi,FortMa00,rush_td,0,,,,,
player,201011070buf,chi,FortMa00,rush_long,22,,,,,
player,201011070buf,chi,FortMa00,targets,5,,,,,
player,201011070buf,chi,FortMa00,rec,3,,,,,
player,201011070buf,chi,FortMa00,rec_yds,12,,,,,
player,201011070buf,chi,FortMa00,rec_td,0,,,,,
player,201011070buf,chi,FortMa00,rec_long,6,,,,,
player,201011070buf,chi,FortMa00,fumbles,0,,,,,
player,201011070buf,chi,FortMa00,fumbles_lost,,,,,,
player,201011070buf,chi,TaylCh01,pass_cmp,0,,,,,
player,201011070buf,chi,TaylCh01,pass_att,0,,,,,
player,201011070buf,chi,TaylCh01,pass_yds,0,,,,,
player,201011070buf,chi,TaylCh01,pass_td,0,,,,,
player,201011070buf,chi,TaylCh01,pass_int,0,,,,,
player,201011070buf,chi,TaylCh01,pass_sacked,,,,,,
player,201011070buf,chi,TaylCh01,pass_sacked_yds,,,,,,
player,201011070buf,chi,TaylCh01,pass_long,0,,,,,
player,201011070buf,chi,TaylCh01,pass_rating,,,,,,
player,201011070buf,chi,TaylCh01,rush_att,10,,,,,
player,201011070buf,chi,TaylCh01,rush_yds,13,,,,,
player,201011070buf,chi,TaylCh01,rush_td,1,,,,,
player,201011070buf,chi,TaylCh01,rush_long,4,,,,,
player,201011070buf,chi,TaylCh01,targets,1,,,,,
player,201011070buf,chi,TaylCh01,rec,1,,,,,
player,201011070buf,chi,TaylCh01,rec_yds,14,,,,,
player,201011070buf,chi,TaylCh01,rec_td,0,,,,,
player,201011070buf,chi,TaylCh01,rec_long,14,,,,,
player,201011070buf,chi,TaylCh01,fumbles,0,,,,,
player,201011070buf,chi,TaylCh01,fumbles_lost,,,,,,
player,201011070buf,chi,BennEa00,pass_cmp,0,,,,,
player,201011070buf,chi,BennEa00,pass_att,0,,,,,
player,201011070buf,chi,BennEa00,pass_yds,0,,,,,
player,201011070buf,chi,BennEa00,pass_td,0,,,,,
player,201011070buf,chi,BennEa00,pass_int,0,,,,,
player,201011070buf,chi,BennEa00,pass_sacked,,,,,,
player,201011070buf,chi,BennEa00,pass_sacked_yds,,,,,,
player,201011070buf,chi,BennEa00,pass_long,0,,,,,
player,201011070buf,chi,BennEa00,pass_rating,,,,,,
player,201011070buf,chi,BennEa00,rush_att,1,,,,,
player,201011070buf,chi,BennEa00,rush_yds,5,,,,,
player,201011070buf,chi,BennEa00,rush_td,0,,,,,
player,201011070buf,chi,BennEa00,rush_long,5,,,,,
player,201011070buf,chi,BennEa00,targets,5,,,,,
player,201011070buf,chi,BennEa00,rec,4,,,,,
player,201011070buf,chi,BennEa00,rec_yds,52,,,,,
player,201011070buf,chi,BennEa00,rec_td,1,,,,,
player,201011070buf,chi,BennEa00,rec_long,26,,,,,
player,201011070buf,chi,BennEa00,fumbles,0,,,,,
player,201011070buf,chi,BennEa00,fumbles_lost,,,,,,
player,201011070buf,chi,KnoxJo00,pass_cmp,0,,,,,
player,201011070buf,chi,KnoxJo00,pass_att,0,,,,,
player,201011070buf,chi,KnoxJo00,pass_yds,0,,,,,
player,201011070buf,chi,KnoxJo00,pass_td,0,,,,,
player,201011070buf,chi,KnoxJo00,pass_int,0,,,,,
player,201011070buf,chi,KnoxJo00,pass_sacked,,,,,,
player,201011070buf,chi,KnoxJo00,pass_sacked_yds,,,,,,
player,201011070buf,chi,KnoxJo00,pass_long,0,,,,,
player,201011070buf,chi,KnoxJo00,pass_rating,,,,,,
player,201011070buf,chi,KnoxJo00,rush_att,0,,,,,
player,201011070buf,chi,KnoxJo00,rush_yds,0,,,,,
player,201011070buf,chi,KnoxJo00,rush_td,0,,,,,
player,201011070buf,chi,KnoxJo00,rush_long,0,,,,,
player,201011070buf,chi,KnoxJo00,targets,5,,,,,
player,201011070buf,chi,KnoxJo00,rec,3,,,,,
player,201011070buf,chi,KnoxJo00,rec_yds,49,,,,,
player,201011070buf,chi,KnoxJo00,rec_td,0,,,,,
player,201011070buf,chi,KnoxJo00,rec_long,24,,,,,
player,201011070buf,chi,KnoxJo00,fumbles,0,,,,,
player,201011070buf,chi,KnoxJo00,fumbles_lost,,,,,,
player,201011070buf,chi,OlseGr00,pass_cmp,0,,,,,
