game,2010,13,20101205,201012050clt,dal,"Dallas Cowboys",38,clt,"Indianapolis Colts",35
team,201012050clt,dal,First Downs,24,,,,,,
team,201012050clt,clt,First Downs,24,,,,,,
team,201012050clt,dal,Rush-Yds-TDs,46-217-1,,,,,,
team,201012050clt,clt,Rush-Yds-TDs,17-40-2,,,,,,
team,201012050clt,dal,Cmp-Att-Yd-TD-INT,18-26-167-1-0,,,,,,
team,201012050clt,clt,Cmp-Att-Yd-TD-INT,36-48-365-2-4,,,,,,
team,201012050clt,dal,Sacked-Yards,2-16,,,,,,
team,201012050clt,clt,Sacked-Yards,0-0,,,,,,
team,201012050clt,dal,Net Pass Yards,151,,,,,,
team,201012050clt,clt,Net Pass Yards,365,,,,,,
team,201012050clt,dal,Total Yards,368,,,,,,
team,201012050clt,clt,Total Yards,405,,,,,,
team,201012050clt,dal,Fumbles-Lost,2-0,,,,,,
team,201012050clt,clt,Fumbles-Lost,0-0,,,,,,
team,201012050clt,dal,Turnovers,0,,,,,,
team,201012050clt,clt,Turnovers,4,,,,,,
team,201012050clt,dal,Penalties-Yards,5-35,,,,,,
team,201012050clt,clt,Penalties-Yards,3-28,,,,,,
team,201012050clt,dal,Third Down Conv.,8-15,,,,,,
team,201012050clt,clt,Third Down Conv.,6-11,,,,,,
team,201012050clt,dal,Fourth Down Conv.,0-0,,,,,,
team,201012050clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201012050clt,dal,Time of Possession,40:00,,,,,,
team,201012050clt,clt,Time of Possession,27:05,,,,,,
player,201012050clt,dal,KitnJo00,pass_cmp,18,,,,,
player,201012050clt,dal,KitnJo00,pass_att,26,,,,,
player,201012050clt,dal,KitnJo00,pass_yds,167,,,,,
player,201012050clt,dal,KitnJo00,pass_td,1,,,,,
player,201012050clt,dal,KitnJo00,pass_int,0,,,,,
player,201012050clt,dal,KitnJo00,pass_sacked,2,,,,,
player,201012050clt,dal,KitnJo00,pass_sacked_yds,16,,,,,
player,201012050clt,dal,KitnJo00,pass_long,22,,,,,
player,201012050clt,dal,KitnJo00,pass_rating,99.4,,,,,
player,201012050clt,dal,KitnJo00,rush_att,4,,,,,
player,201012050clt,dal,KitnJo00,rush_yds,28,,,,,
player,201012050clt,dal,KitnJo00,rush_td,0,,,,,
player,201012050clt,dal,KitnJo00,rush_long,19,,,,,
player,201012050clt,dal,KitnJo00,targets,0,,,,,
player,201012050clt,dal,KitnJo00,rec,0,,,,,
player,201012050clt,dal,KitnJo00,rec_yds,0,,,,,
player,201012050clt,dal,KitnJo00,rec_td,0,,,,,
player,201012050clt,dal,KitnJo00,rec_long,0,,,,,
player,201012050clt,dal,KitnJo00,fumbles,1,,,,,
player,201012050clt,dal,KitnJo00,fumbles_lost,0,,,,,
player,201012050clt,dal,ChoiTa00,pass_cmp,0,,,,,
player,201012050clt,dal,ChoiTa00,pass_att,0,,,,,
player,201012050clt,dal,ChoiTa00,pass_yds,0,,,,,
player,201012050clt,dal,ChoiTa00,pass_td,0,,,,,
player,201012050clt,dal,ChoiTa00,pass_int,0,,,,,
player,201012050clt,dal,ChoiTa00,pass_sacked,,,,,,
player,201012050clt,dal,ChoiTa00,pass_sacked_yds,,,,,,
player,201012050clt,dal,ChoiTa00,pass_long,0,,,,,
player,201012050clt,dal,ChoiTa00,pass_rating,,,,,,
player,201012050clt,dal,ChoiTa00,rush_att,19,,,,,
player,201012050clt,dal,ChoiTa00,rush_yds,100,,,,,
player,201012050clt,dal,ChoiTa00,rush_td,1,,,,,
player,201012050clt,dal,ChoiTa00,rush_long,26,,,,,
player,201012050clt,dal,ChoiTa00,targets,0,,,,,
player,201012050clt,dal,ChoiTa00,rec,0,,,,,
player,201012050clt,dal,ChoiTa00,rec_yds,0,,,,,
player,201012050clt,dal,ChoiTa00,rec_td,0,,,,,
player,201012050clt,dal,ChoiTa00,rec_long,0,,,,,
player,201012050clt,dal,ChoiTa00,fumbles,0,,,,,
player,201012050clt,dal,ChoiTa00,fumbles_lost,,,,,,
player,201012050clt,dal,JoneFe00,pass_cmp,0,,,,,
player,201012050clt,dal,JoneFe00,pass_att,0,,,,,
player,201012050clt,dal,JoneFe00,pass_yds,0,,,,,
player,201012050clt,dal,JoneFe00,pass_td,0,,,,,
player,201012050clt,dal,JoneFe00,pass_int,0,,,,,
player,201012050clt,dal,JoneFe00,pass_sacked,,,,,,
player,201012050clt,dal,JoneFe00,pass_sacked_yds,,,,,,
player,201012050clt,dal,JoneFe00,pass_long,0,,,,,
player,201012050clt,dal,JoneFe00,pass_rating,,,,,,
player,201012050clt,dal,JoneFe00,rush_att,22,,,,,
player,201012050clt,dal,JoneFe00,rush_yds,83,,,,,
player,201012050clt,dal,JoneFe00,rush_td,0,,,,,
player,201012050clt,dal,JoneFe00,rush_long,11,,,,,
player,201012050clt,dal,JoneFe00,targets,3,,,,,
player,201012050clt,dal,JoneFe00,rec,3,,,,,
player,201012050clt,dal,JoneFe00,rec_yds,8,,,,,
player,201012050clt,dal,JoneFe00,rec_td,0,,,,,
player,201012050clt,dal,JoneFe00,rec_long,6,,,,,
player,201012050clt,dal,JoneFe00,fumbles,0,,,,,
player,201012050clt,dal,JoneFe00,fumbles_lost,,,,,,
player,201012050clt,dal,AustMi00,pass_cmp,0,,,,,
player,201012050clt,dal,AustMi00,pass_att,0,,,,,
player,201012050clt,dal,AustMi00,pass_yds,0,,,,,
player,201012050clt,dal,AustMi00,pass_td,0,,,,,
player,201012050clt,dal,AustMi00,pass_int,0,,,,,
player,201012050clt,dal,AustMi00,pass_sacked,,,,,,
