game,2010,6,20101017,201010170htx,kan,"Kansas City Chiefs",31,htx,"Houston Texans",35
team,201010170htx,kan,First Downs,25,,,,,,
team,201010170htx,htx,First Downs,23,,,,,,
team,201010170htx,kan,Rush-Yds-TDs,38-228-1,,,,,,
team,201010170htx,htx,Rush-Yds-TDs,22-132-3,,,,,,
team,201010170htx,kan,Cmp-Att-Yd-TD-INT,20-29-201-3-0,,,,,,
team,201010170htx,htx,Cmp-Att-Yd-TD-INT,25-33-305-2-0,,,,,,
team,201010170htx,kan,Sacked-Yards,1-12,,,,,,
team,201010170htx,htx,Sacked-Yards,2-16,,,,,,
team,201010170htx,kan,Net Pass Yards,189,,,,,,
team,201010170htx,htx,Net Pass Yards,289,,,,,,
team,201010170htx,kan,Total Yards,417,,,,,,
team,201010170htx,htx,Total Yards,421,,,,,,
team,201010170htx,kan,Fumbles-Lost,0-0,,,,,,
team,201010170htx,htx,Fumbles-Lost,0-0,,,,,,
team,201010170htx,kan,Turnovers,0,,,,,,
team,201010170htx,htx,Turnovers,0,,,,,,
team,201010170htx,kan,Penalties-Yards,5-35,,,,,,
team,201010170htx,htx,Penalties-Yards,5-53,,,,,,
team,201010170htx,kan,Third Down Conv.,9-16,,,,,,
team,201010170htx,htx,Third Down Conv.,5-10,,,,,,
team,201010170htx,kan,Fourth Down Conv.,1-1,,,,,,
team,201010170htx,htx,Fourth Down Conv.,1-1,,,,,,
team,201010170htx,kan,Time of Possession,33:28,,,,,,
team,201010170htx,htx,Time of Possession,26:32,,,,,,
player,201010170htx,kan,CassMa00,pass_cmp,20,,,,,
player,201010170htx,kan,CassMa00,pass_att,29,,,,,
player,201010170htx,kan,CassMa00,pass_yds,201,,,,,
player,201010170htx,kan,CassMa00,pass_td,3,,,,,
player,201010170htx,kan,CassMa00,pass_int,0,,,,,
player,201010170htx,kan,CassMa00,pass_sacked,1,,,,,
player,201010170htx,kan,CassMa00,pass_sacked_yds,12,,,,,
player,201010170htx,kan,CassMa00,pass_long,42,,,,,
player,201010170htx,kan,CassMa00,pass_rating,122.9,,,,,
player,201010170htx,kan,CassMa00,rush_att,1,,,,,
player,201010170htx,kan,CassMa00,rush_yds,8,,,,,
player,201010170htx,kan,CassMa00,rush_td,0,,,,,
player,201010170htx,kan,CassMa00,rush_long,8,,,,,
player,201010170htx,kan,CassMa00,targets,0,,,,,
player,201010170htx,kan,CassMa00,rec,0,,,,,
player,201010170htx,kan,CassMa00,rec_yds,0,,,,,
player,201010170htx,kan,CassMa00,rec_td,0,,,,,
player,201010170htx,kan,CassMa00,rec_long,0,,,,,
player,201010170htx,kan,CassMa00,fumbles,0,,,,,
player,201010170htx,kan,CassMa00,fumbles_lost,,,,,,
player,201010170htx,kan,JoneTh00,pass_cmp,0,,,,,
player,201010170htx,kan,JoneTh00,pass_att,0,,,,,
player,201010170htx,kan,JoneTh00,pass_yds,0,,,,,
player,201010170htx,kan,JoneTh00,pass_td,0,,,,,
player,201010170htx,kan,JoneTh00,pass_int,0,,,,,
player,201010170htx,kan,JoneTh00,pass_sacked,,,,,,
player,201010170htx,kan,JoneTh00,pass_sacked_yds,,,,,,
player,201010170htx,kan,JoneTh00,pass_long,0,,,,,
player,201010170htx,kan,JoneTh00,pass_rating,,,,,,
player,201010170htx,kan,JoneTh00,rush_att,19,,,,,
player,201010170htx,kan,JoneTh00,rush_yds,100,,,,,
player,201010170htx,kan,JoneTh00,rush_td,1,,,,,
player,201010170htx,kan,JoneTh00,rush_long,19,,,,,
player,201010170htx,kan,JoneTh00,targets,2,,,,,
player,201010170htx,kan,JoneTh00,rec,1,,,,,
player,201010170htx,kan,JoneTh00,rec_yds,10,,,,,
player,201010170htx,kan,JoneTh00,rec_td,0,,,,,
player,201010170htx,kan,JoneTh00,rec_long,10,,,,,
player,201010170htx,kan,JoneTh00,fumbles,0,,,,,
player,201010170htx,kan,JoneTh00,fumbles_lost,,,,,,
player,201010170htx,kan,CharJa00,pass_cmp,0,,,,,
player,201010170htx,kan,CharJa00,pass_att,0,,,,,
player,201010170htx,kan,CharJa00,pass_yds,0,,,,,
player,201010170htx,kan,CharJa00,pass_td,0,,,,,
player,201010170htx,kan,CharJa00,pass_int,0,,,,,
player,201010170htx,kan,CharJa00,pass_sacked,,,,,,
player,201010170htx,kan,CharJa00,pass_sacked_yds,,,,,,
player,201010170htx,kan,CharJa00,pass_long,0,,,,,
player,201010170htx,kan,CharJa00,pass_rating,,,,,,
player,201010170htx,kan,CharJa00,rush_att,16,,,,,
player,201010170htx,kan,CharJa00,rush_yds,93,,,,,
player,201010170htx,kan,CharJa00,rush_td,0,,,,,
player,201010170htx,kan,CharJa00,rush_long,16,,,,,
player,201010170htx,kan,CharJa00,targets,4,,,,,
player,201010170htx,kan,CharJa00,rec,4,,,,,
player,201010170htx,kan,CharJa00,rec_yds,24,,,,,
player,201010170htx,kan,CharJa00,rec_td,0,,,,,
player,201010170htx,kan,CharJa00,rec_long,23,,,,,
player,201010170htx,kan,CharJa00,fumbles,0,,,,,
player,201010170htx,kan,CharJa00,fumbles_lost,,,,,,
player,201010170htx,kan,McClDe00,pass_cmp,0,,,,,
player,201010170htx,kan,McClDe00,pass_att,0,,,,,
player,201010170htx,kan,McClDe00,pass_yds,0,,,,,
