game,2010,14,20101212,201012120sdg,kan,"Kansas City Chiefs",0,sdg,"San Diego Chargers",31
team,201012120sdg,kan,First Downs,5,,,,,,
team,201012120sdg,sdg,First Downs,25,,,,,,
team,201012120sdg,kan,Rush-Yds-TDs,17-48-0,,,,,,
team,201012120sdg,sdg,Rush-Yds-TDs,43-207-2,,,,,,
team,201012120sdg,kan,Cmp-Att-Yd-TD-INT,9-20-48-0-0,,,,,,
team,201012120sdg,sdg,Cmp-Att-Yd-TD-INT,18-24-226-2-1,,,,,,
team,201012120sdg,kan,Sacked-Yards,4-29,,,,,,
team,201012120sdg,sdg,Sacked-Yards,2-7,,,,,,
team,201012120sdg,kan,Net Pass Yards,19,,,,,,
team,201012120sdg,sdg,Net Pass Yards,219,,,,,,
team,201012120sdg,kan,Total Yards,67,,,,,,
team,201012120sdg,sdg,Total Yards,426,,,,,,
team,201012120sdg,kan,Fumbles-Lost,0-0,,,,,,
team,201012120sdg,sdg,Fumbles-Lost,2-1,,,,,,
team,201012120sdg,kan,Turnovers,0,,,,,,
team,201012120sdg,sdg,Turnovers,2,,,,,,
team,201012120sdg,kan,Penalties-Yards,2-15,,,,,,
team,201012120sdg,sdg,Penalties-Yards,6-47,,,,,,
team,201012120sdg,kan,Third Down Conv.,0-11,,,,,,
team,201012120sdg,sdg,Third Down Conv.,11-15,,,,,,
team,201012120sdg,kan,Fourth Down Conv.,1-1,,,,,,
team,201012120sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201012120sdg,kan,Time of Possession,19:50,,,,,,
team,201012120sdg,sdg,Time of Possession,40:10,,,,,,
player,201012120sdg,kan,CroyBr00,pass_cmp,7,,,,,
player,201012120sdg,kan,CroyBr00,pass_att,17,,,,,
player,201012120sdg,kan,CroyBr00,pass_yds,40,,,,,
player,201012120sdg,kan,CroyBr00,pass_td,0,,,,,
player,201012120sdg,kan,CroyBr00,pass_int,0,,,,,
player,201012120sdg,kan,CroyBr00,pass_sacked,4,,,,,
player,201012120sdg,kan,CroyBr00,pass_sacked_yds,29,,,,,
player,201012120sdg,kan,CroyBr00,pass_long,16,,,,,
player,201012120sdg,kan,CroyBr00,pass_rating,48.9,,,,,
player,201012120sdg,kan,CroyBr00,rush_att,0,,,,,
player,201012120sdg,kan,CroyBr00,rush_yds,0,,,,,
player,201012120sdg,kan,CroyBr00,rush_td,0,,,,,
player,201012120sdg,kan,CroyBr00,rush_long,0,,,,,
player,201012120sdg,kan,CroyBr00,targets,0,,,,,
player,201012120sdg,kan,CroyBr00,rec,0,,,,,
player,201012120sdg,kan,CroyBr00,rec_yds,0,,,,,
player,201012120sdg,kan,CroyBr00,rec_td,0,,,,,
player,201012120sdg,kan,CroyBr00,rec_long,0,,,,,
player,201012120sdg,kan,CroyBr00,fumbles,0,,,,,
