game,2010,15,20101220,201012200min,chi,"Chicago Bears",40,min,"Minnesota Vikings",14
team,201012200min,chi,First Downs,17,,,,,,
team,201012200min,min,First Downs,16,,,,,,
team,201012200min,chi,Rush-Yds-TDs,33-104-0,,,,,,
team,201012200min,min,Rush-Yds-TDs,24-114-1,,,,,,
team,201012200min,chi,Cmp-Att-Yd-TD-INT,14-24-194-3-1,,,,,,
team,201012200min,min,Cmp-Att-Yd-TD-INT,20-33-192-1-3,,,,,,
team,201012200min,chi,Sacked-Yards,1-5,,,,,,
team,201012200min,min,Sacked-Yards,4-33,,,,,,
team,201012200min,chi,Net Pass Yards,189,,,,,,
team,201012200min,min,Net Pass Yards,159,,,,,,
team,201012200min,chi,Total Yards,293,,,,,,
team,201012200min,min,Total Yards,273,,,,,,
team,201012200min,chi,Fumbles-Lost,1-0,,,,,,
team,201012200min,min,Fumbles-Lost,4-2,,,,,,
team,201012200min,chi,Turnovers,1,,,,,,
team,201012200min,min,Turnovers,5,,,,,,
team,201012200min,chi,Penalties-Yards,5-72,,,,,,
team,201012200min,min,Penalties-Yards,6-55,,,,,,
team,201012200min,chi,Third Down Conv.,2-10,,,,,,
team,201012200min,min,Third Down Conv.,3-11,,,,,,
team,201012200min,chi,Fourth Down Conv.,0-1,,,,,,
team,201012200min,min,Fourth Down Conv.,0-1,,,,,,
team,201012200min,chi,Time of Possession,31:30,,,,,,
team,201012200min,min,Time of Possession,28:30,,,,,,
player,201012200min,chi,CutlJa00,pass_cmp,14,,,,,
player,201012200min,chi,CutlJa00,pass_att,24,,,,,
player,201012200min,chi,CutlJa00,pass_yds,194,,,,,
player,201012200min,chi,CutlJa00,pass_td,3,,,,,
player,201012200min,chi,CutlJa00,pass_int,1,,,,,
player,201012200min,chi,CutlJa00,pass_sacked,1,,,,,
player,201012200min,chi,CutlJa00,pass_sacked_yds,5,,,,,
player,201012200min,chi,CutlJa00,pass_long,67,,,,,
player,201012200min,chi,CutlJa00,pass_rating,106.6,,,,,
player,201012200min,chi,CutlJa00,rush_att,1,,,,,
player,201012200min,chi,CutlJa00,rush_yds,-1,,,,,
player,201012200min,chi,CutlJa00,rush_td,0,,,,,
player,201012200min,chi,CutlJa00,rush_long,-1,,,,,
player,201012200min,chi,CutlJa00,targets,0,,,,,
player,201012200min,chi,CutlJa00,rec,0,,,,,
player,201012200min,chi,CutlJa00,rec_yds,0,,,,,
player,201012200min,chi,CutlJa00,rec_td,0,,,,,
player,201012200min,chi,CutlJa00,rec_long,0,,,,,
player,201012200min,chi,CutlJa00,fumbles,0,,,,,
player,201012200min,chi,CutlJa00,fumbles_lost,,,,,,
player,201012200min,chi,FortMa00,pass_cmp,0,,,,,
player,201012200min,chi,FortMa00,pass_att,0,,,,,
player,201012200min,chi,FortMa00,pass_yds,0,,,,,
player,201012200min,chi,FortMa00,pass_td,0,,,,,
player,201012200min,chi,FortMa00,pass_int,0,,,,,
player,201012200min,chi,FortMa00,pass_sacked,,,,,,
player,201012200min,chi,FortMa00,pass_sacked_yds,,,,,,
player,201012200min,chi,FortMa00,pass_long,0,,,,,
player,201012200min,chi,FortMa00,pass_rating,,,,,,
player,201012200min,chi,FortMa00,rush_att,17,,,,,
player,201012200min,chi,FortMa00,rush_yds,92,,,,,
player,201012200min,chi,FortMa00,rush_td,0,,,,,
player,201012200min,chi,FortMa00,rush_long,14,,,,,
player,201012200min,chi,FortMa00,targets,1,,,,,
player,201012200min,chi,FortMa00,rec,1,,,,,
player,201012200min,chi,FortMa00,rec_yds,6,,,,,
player,201012200min,chi,FortMa00,rec_td,0,,,,,
player,201012200min,chi,FortMa00,rec_long,6,,,,,
player,201012200min,chi,FortMa00,fumbles,0,,,,,
player,201012200min,chi,FortMa00,fumbles_lost,,,,,,
player,201012200min,chi,WolfGa00,pass_cmp,0,,,,,
player,201012200min,chi,WolfGa00,pass_att,0,,,,,
player,201012200min,chi,WolfGa00,pass_yds,0,,,,,
player,201012200min,chi,WolfGa00,pass_td,0,,,,,
player,201012200min,chi,WolfGa00,pass_int,0,,,,,
player,201012200min,chi,WolfGa00,pass_sacked,,,,,,
player,201012200min,chi,WolfGa00,pass_sacked_yds,,,,,,
player,201012200min,chi,WolfGa00,pass_long,0,,,,,
player,201012200min,chi,WolfGa00,pass_rating,,,,,,
player,201012200min,chi,WolfGa00,rush_att,4,,,,,
player,201012200min,chi,WolfGa00,rush_yds,8,,,,,
player,201012200min,chi,WolfGa00,rush_td,0,,,,,
player,201012200min,chi,WolfGa00,rush_long,7,,,,,
player,201012200min,chi,WolfGa00,targets,0,,,,,
player,201012200min,chi,WolfGa00,rec,0,,,,,
player,201012200min,chi,WolfGa00,rec_yds,0,,,,,
player,201012200min,chi,WolfGa00,rec_td,0,,,,,
player,201012200min,chi,WolfGa00,rec_long,0,,,,,
player,201012200min,chi,WolfGa00,fumbles,0,,,,,
player,201012200min,chi,WolfGa00,fumbles_lost,,,,,,
player,201012200min,chi,TaylCh01,pass_cmp,0,,,,,
player,201012200min,chi,TaylCh01,pass_att,0,,,,,
player,201012200min,chi,TaylCh01,pass_yds,0,,,,,
player,201012200min,chi,TaylCh01,pass_td,0,,,,,
player,201012200min,chi,TaylCh01,pass_int,0,,,,,
player,201012200min,chi,TaylCh01,pass_sacked,,,,,,
player,201012200min,chi,TaylCh01,pass_sacked_yds,,,,,,
player,201012200min,chi,TaylCh01,pass_long,0,,,,,
player,201012200min,chi,TaylCh01,pass_rating,,,,,,
player,201012200min,chi,TaylCh01,rush_att,11,,,,,
player,201012200min,chi,TaylCh01,rush_yds,5,,,,,
player,201012200min,chi,TaylCh01,rush_td,0,,,,,
player,201012200min,chi,TaylCh01,rush_long,5,,,,,
player,201012200min,chi,TaylCh01,targets,0,,,,,
player,201012200min,chi,TaylCh01,rec,0,,,,,
player,201012200min,chi,TaylCh01,rec_yds,0,,,,,
player,201012200min,chi,TaylCh01,rec_td,0,,,,,
player,201012200min,chi,TaylCh01,rec_long,0,,,,,
player,201012200min,chi,TaylCh01,fumbles,0,,,,,
player,201012200min,chi,TaylCh01,fumbles_lost,,,,,,
player,201012200min,chi,KnoxJo00,pass_cmp,0,,,,,
player,201012200min,chi,KnoxJo00,pass_att,0,,,,,
player,201012200min,chi,KnoxJo00,pass_yds,0,,,,,
player,201012200min,chi,KnoxJo00,pass_td,0,,,,,
player,201012200min,chi,KnoxJo00,pass_int,0,,,,,
player,201012200min,chi,KnoxJo00,pass_sacked,,,,,,
player,201012200min,chi,KnoxJo00,pass_sacked_yds,,,,,,
player,201012200min,chi,KnoxJo00,pass_long,0,,,,,
player,201012200min,chi,KnoxJo00,pass_rating,,,,,,
player,201012200min,chi,KnoxJo00,rush_att,0,,,,,
player,201012200min,chi,KnoxJo00,rush_yds,0,,,,,
player,201012200min,chi,KnoxJo00,rush_td,0,,,,,
player,201012200min,chi,KnoxJo00,rush_long,0,,,,,
player,201012200min,chi,KnoxJo00,targets,7,,,,,
player,201012200min,chi,KnoxJo00,rec,2,,,,,
player,201012200min,chi,KnoxJo00,rec_yds,78,,,,,
player,201012200min,chi,KnoxJo00,rec_td,1,,,,,
player,201012200min,chi,KnoxJo00,rec_long,67,,,,,
player,201012200min,chi,KnoxJo00,fumbles,0,,,,,
player,201012200min,chi,KnoxJo00,fumbles_lost,,,,,,
player,201012200min,chi,BennEa00,pass_cmp,0,,,,,
player,201012200min,chi,BennEa00,pass_att,0,,,,,
player,201012200min,chi,BennEa00,pass_yds,0,,,,,
player,201012200min,chi,BennEa00,pass_td,0,,,,,
player,201012200min,chi,BennEa00,pass_int,0,,,,,
player,201012200min,chi,BennEa00,pass_sacked,,,,,,
player,201012200min,chi,BennEa00,pass_sacked_yds,,,,,,
player,201012200min,chi,BennEa00,pass_long,0,,,,,
player,201012200min,chi,BennEa00,pass_rating,,,,,,
player,201012200min,chi,BennEa00,rush_att,0,,,,,
player,201012200min,chi,BennEa00,rush_yds,0,,,,,
player,201012200min,chi,BennEa00,rush_td,0,,,,,
player,201012200min,chi,BennEa00,rush_long,0,,,,,
player,201012200min,chi,BennEa00,targets,4,,,,,
player,201012200min,chi,BennEa00,rec,3,,,,,
player,201012200min,chi,BennEa00,rec_yds,37,,,,,
player,201012200min,chi,BennEa00,rec_td,0,,,,,
player,201012200min,chi,BennEa00,rec_long,23,,,,,
player,201012200min,chi,BennEa00,fumbles,1,,,,,
player,201012200min,chi,BennEa00,fumbles_lost,0,,,,,
player,201012200min,chi,OlseGr00,pass_cmp,0,,,,,
player,201012200min,chi,OlseGr00,pass_att,0,,,,,
player,201012200min,chi,OlseGr00,pass_yds,0,,,,,
player,201012200min,chi,OlseGr00,pass_td,0,,,,,
player,201012200min,chi,OlseGr00,pass_int,0,,,,,
player,201012200min,chi,OlseGr00,pass_sacked,,,,,,
player,201012200min,chi,OlseGr00,pass_sacked_yds,,,,,,
player,201012200min,chi,OlseGr00,pass_long,0,,,,,
player,201012200min,chi,OlseGr00,pass_rating,,,,,,
player,201012200min,chi,OlseGr00,rush_att,0,,,,,
player,201012200min,chi,OlseGr00,rush_yds,0,,,,,
player,201012200min,chi,OlseGr00,rush_td,0,,,,,
player,201012200min,chi,OlseGr00,rush_long,0,,,,,
player,201012200min,chi,OlseGr00,targets,4,,,,,
player,201012200min,chi,OlseGr00,rec,4,,,,,
player,201012200min,chi,OlseGr00,rec_yds,28,,,,,
player,201012200min,chi,OlseGr00,rec_td,0,,,,,
player,201012200min,chi,OlseGr00,rec_long,11,,,,,
player,201012200min,chi,OlseGr00,fumbles,0,,,,,
player,201012200min,chi,OlseGr00,fumbles_lost,,,,,,
player,201012200min,chi,HestDe99,pass_cmp,0,,,,,
player,201012200min,chi,HestDe99,pass_att,0,,,,,
player,201012200min,chi,HestDe99,pass_yds,0,,,,,
player,201012200min,chi,HestDe99,pass_td,0,,,,,
player,201012200min,chi,HestDe99,pass_int,0,,,,,
player,201012200min,chi,HestDe99,pass_sacked,,,,,,
player,201012200min,chi,HestDe99,pass_sacked_yds,,,,,,
player,201012200min,chi,HestDe99,pass_long,0,,,,,
player,201012200min,chi,HestDe99,pass_rating,,,,,,
player,201012200min,chi,HestDe99,rush_att,0,,,,,
player,201012200min,chi,HestDe99,rush_yds,0,,,,,
player,201012200min,chi,HestDe99,rush_td,0,,,,,
player,201012200min,chi,HestDe99,rush_long,0,,,,,
player,201012200min,chi,HestDe99,targets,3,,,,,
player,201012200min,chi,HestDe99,rec,2,,,,,
player,201012200min,chi,HestDe99,rec_yds,23,,,,,
player,201012200min,chi,HestDe99,rec_td,1,,,,,
player,201012200min,chi,HestDe99,rec_long,15,,,,,
player,201012200min,chi,HestDe99,fumbles,0,,,,,
player,201012200min,chi,HestDe99,fumbles_lost,,,,,,
player,201012200min,chi,AromDe00,pass_cmp,0,,,,,
player,201012200min,chi,AromDe00,pass_att,0,,,,,
player,201012200min,chi,AromDe00,pass_yds,0,,,,,
player,201012200min,chi,AromDe00,pass_td,0,,,,,
player,201012200min,chi,AromDe00,pass_int,0,,,,,
player,201012200min,chi,AromDe00,pass_sacked,,,,,,
player,201012200min,chi,AromDe00,pass_sacked_yds,,,,,,
player,201012200min,chi,AromDe00,pass_long,0,,,,,
player,201012200min,chi,AromDe00,pass_rating,,,,,,
player,201012200min,chi,AromDe00,rush_att,0,,,,,
player,201012200min,chi,AromDe00,rush_yds,0,,,,,
player,201012200min,chi,AromDe00,rush_td,0,,,,,
player,201012200min,chi,AromDe00,rush_long,0,,,,,
player,201012200min,chi,AromDe00,targets,1,,,,,
player,201012200min,chi,AromDe00,rec,1,,,,,
player,201012200min,chi,AromDe00,rec_yds,13,,,,,
player,201012200min,chi,AromDe00,rec_td,0,,,,,
player,201012200min,chi,AromDe00,rec_long,13,,,,,
player,201012200min,chi,AromDe00,fumbles,0,,,,,
player,201012200min,chi,AromDe00,fumbles_lost,,,,,,
player,201012200min,chi,DaviRa00,pass_cmp,0,,,,,
player,201012200min,chi,DaviRa00,pass_att,0,,,,,
player,201012200min,chi,DaviRa00,pass_yds,0,,,,,
player,201012200min,chi,DaviRa00,pass_td,0,,,,,
player,201012200min,chi,DaviRa00,pass_int,0,,,,,
player,201012200min,chi,DaviRa00,pass_sacked,,,,,,
player,201012200min,chi,DaviRa00,pass_sacked_yds,,,,,,
player,201012200min,chi,DaviRa00,pass_long,0,,,,,
player,201012200min,chi,DaviRa00,pass_rating,,,,,,
player,201012200min,chi,DaviRa00,rush_att,0,,,,,
player,201012200min,chi,DaviRa00,rush_yds,0,,,,,
player,201012200min,chi,DaviRa00,rush_td,0,,,,,
player,201012200min,chi,DaviRa00,rush_long,0,,,,,
player,201012200min,chi,DaviRa00,targets,2,,,,,
player,201012200min,chi,DaviRa00,rec,1,,,,,
player,201012200min,chi,DaviRa00,rec_yds,9,,,,,
player,201012200min,chi,DaviRa00,rec_td,1,,,,,
player,201012200min,chi,DaviRa00,rec_long,9,,,,,
player,201012200min,chi,DaviRa00,fumbles,0,,,,,
player,201012200min,chi,DaviRa00,fumbles_lost,,,,,,
player,201012200min,min,WebbJo00,pass_cmp,15,,,,,
player,201012200min,min,WebbJo00,pass_att,26,,,,,
player,201012200min,min,WebbJo00,pass_yds,129,,,,,
player,201012200min,min,WebbJo00,pass_td,0,,,,,
player,201012200min,min,WebbJo00,pass_int,2,,,,,
player,201012200min,min,WebbJo00,pass_sacked,3,,,,,
player,201012200min,min,WebbJo00,pass_sacked_yds,21,,,,,
player,201012200min,min,WebbJo00,pass_long,18,,,,,
player,201012200min,min,WebbJo00,pass_rating,38.8,,,,,
player,201012200min,min,WebbJo00,rush_att,6,,,,,
player,201012200min,min,WebbJo00,rush_yds,38,,,,,
player,201012200min,min,WebbJo00,rush_td,1,,,,,
player,201012200min,min,WebbJo00,rush_long,13,,,,,
player,201012200min,min,WebbJo00,targets,0,,,,,
player,201012200min,min,WebbJo00,rec,0,,,,,
player,201012200min,min,WebbJo00,rec_yds,0,,,,,
player,201012200min,min,WebbJo00,rec_td,0,,,,,
player,201012200min,min,WebbJo00,rec_long,0,,,,,
player,201012200min,min,WebbJo00,fumbles,1,,,,,
player,201012200min,min,WebbJo00,fumbles_lost,0,,,,,
player,201012200min,min,FavrBr00,pass_cmp,5,,,,,
player,201012200min,min,FavrBr00,pass_att,7,,,,,
player,201012200min,min,FavrBr00,pass_yds,63,,,,,
player,201012200min,min,FavrBr00,pass_td,1,,,,,
player,201012200min,min,FavrBr00,pass_int,1,,,,,
player,201012200min,min,FavrBr00,pass_sacked,1,,,,,
player,201012200min,min,FavrBr00,pass_sacked_yds,12,,,,,
player,201012200min,min,FavrBr00,pass_long,23,,,,,
player,201012200min,min,FavrBr00,pass_rating,99.1,,,,,
player,201012200min,min,FavrBr00,rush_att,1,,,,,
player,201012200min,min,FavrBr00,rush_yds,0,,,,,
player,201012200min,min,FavrBr00,rush_td,0,,,,,
player,201012200min,min,FavrBr00,rush_long,0,,,,,
player,201012200min,min,FavrBr00,targets,0,,,,,
player,201012200min,min,FavrBr00,rec,0,,,,,
player,201012200min,min,FavrBr00,rec_yds,0,,,,,
player,201012200min,min,FavrBr00,rec_td,0,,,,,
player,201012200min,min,FavrBr00,rec_long,0,,,,,
player,201012200min,min,FavrBr00,fumbles,1,,,,,
player,201012200min,min,FavrBr00,fumbles_lost,0,,,,,
player,201012200min,min,GerhTo00,pass_cmp,0,,,,,
player,201012200min,min,GerhTo00,pass_att,0,,,,,
player,201012200min,min,GerhTo00,pass_yds,0,,,,,
player,201012200min,min,GerhTo00,pass_td,0,,,,,
player,201012200min,min,GerhTo00,pass_int,0,,,,,
player,201012200min,min,GerhTo00,pass_sacked,,,,,,
player,201012200min,min,GerhTo00,pass_sacked_yds,,,,,,
player,201012200min,min,GerhTo00,pass_long,0,,,,,
player,201012200min,min,GerhTo00,pass_rating,,,,,,
player,201012200min,min,GerhTo00,rush_att,16,,,,,
player,201012200min,min,GerhTo00,rush_yds,77,,,,,
player,201012200min,min,GerhTo00,rush_td,0,,,,,
player,201012200min,min,GerhTo00,rush_long,21,,,,,
player,201012200min,min,GerhTo00,targets,4,,,,,
player,201012200min,min,GerhTo00,rec,3,,,,,
player,201012200min,min,GerhTo00,rec_yds,18,,,,,
player,201012200min,min,GerhTo00,rec_td,0,,,,,
player,201012200min,min,GerhTo00,rec_long,12,,,,,
player,201012200min,min,GerhTo00,fumbles,1,,,,,
player,201012200min,min,GerhTo00,fumbles_lost,1,,,,,
player,201012200min,min,ShiaVi00,pass_cmp,0,,,,,
player,201012200min,min,ShiaVi00,pass_att,0,,,,,
player,201012200min,min,ShiaVi00,pass_yds,0,,,,,
player,201012200min,min,ShiaVi00,pass_td,0,,,,,
player,201012200min,min,ShiaVi00,pass_int,0,,,,,
player,201012200min,min,ShiaVi00,pass_sacked,,,,,,
player,201012200min,min,ShiaVi00,pass_sacked_yds,,,,,,
player,201012200min,min,ShiaVi00,pass_long,0,,,,,
player,201012200min,min,ShiaVi00,pass_rating,,,,,,
player,201012200min,min,ShiaVi00,rush_att,0,,,,,
