game,2010,4,20101003,201010030nyg,chi,"Chicago Bears",3,nyg,"New York Giants",17
team,201010030nyg,chi,First Downs,6,,,,,,
team,201010030nyg,nyg,First Downs,18,,,,,,
team,201010030nyg,chi,Rush-Yds-TDs,16-59-0,,,,,,
team,201010030nyg,nyg,Rush-Yds-TDs,32-189-2,,,,,,
team,201010030nyg,chi,Cmp-Att-Yd-TD-INT,15-26-114-0-2,,,,,,
team,201010030nyg,nyg,Cmp-Att-Yd-TD-INT,18-30-195-0-0,,,,,,
team,201010030nyg,chi,Sacked-Yards,10-63,,,,,,
team,201010030nyg,nyg,Sacked-Yards,2-12,,,,,,
team,201010030nyg,chi,Net Pass Yards,51,,,,,,
team,201010030nyg,nyg,Net Pass Yards,183,,,,,,
team,201010030nyg,chi,Total Yards,110,,,,,,
team,201010030nyg,nyg,Total Yards,372,,,,,,
team,201010030nyg,chi,Fumbles-Lost,3-1,,,,,,
team,201010030nyg,nyg,Fumbles-Lost,3-3,,,,,,
team,201010030nyg,chi,Turnovers,3,,,,,,
team,201010030nyg,nyg,Turnovers,3,,,,,,
team,201010030nyg,chi,Penalties-Yards,8-40,,,,,,
team,201010030nyg,nyg,Penalties-Yards,6-44,,,,,,
team,201010030nyg,chi,Third Down Conv.,0-13,,,,,,
team,201010030nyg,nyg,Third Down Conv.,3-12,,,,,,
team,201010030nyg,chi,Fourth Down Conv.,0-1,,,,,,
team,201010030nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201010030nyg,chi,Time of Possession,26:35,,,,,,
team,201010030nyg,nyg,Time of Possession,33:25,,,,,,
player,201010030nyg,chi,CollTo00,pass_cmp,4,,,,,
player,201010030nyg,chi,CollTo00,pass_att,11,,,,,
player,201010030nyg,chi,CollTo00,pass_yds,36,,,,,
player,201010030nyg,chi,CollTo00,pass_td,0,,,,,
player,201010030nyg,chi,CollTo00,pass_int,1,,,,,
player,201010030nyg,chi,CollTo00,pass_sacked,0,,,,,
player,201010030nyg,chi,CollTo00,pass_sacked_yds,0,,,,,
player,201010030nyg,chi,CollTo00,pass_long,19,,,,,
player,201010030nyg,chi,CollTo00,pass_rating,8.1,,,,,
player,201010030nyg,chi,CollTo00,rush_att,0,,,,,
player,201010030nyg,chi,CollTo00,rush_yds,0,,,,,
player,201010030nyg,chi,CollTo00,rush_td,0,,,,,
player,201010030nyg,chi,CollTo00,rush_long,0,,,,,
player,201010030nyg,chi,CollTo00,targets,0,,,,,
player,201010030nyg,chi,CollTo00,rec,0,,,,,
player,201010030nyg,chi,CollTo00,rec_yds,0,,,,,
player,201010030nyg,chi,CollTo00,rec_td,0,,,,,
player,201010030nyg,chi,CollTo00,rec_long,0,,,,,
player,201010030nyg,chi,CollTo00,fumbles,0,,,,,
player,201010030nyg,chi,CollTo00,fumbles_lost,,,,,,
player,201010030nyg,chi,CutlJa00,pass_cmp,8,,,,,
player,201010030nyg,chi,CutlJa00,pass_att,11,,,,,
player,201010030nyg,chi,CutlJa00,pass_yds,42,,,,,
player,201010030nyg,chi,CutlJa00,pass_td,0,,,,,
player,201010030nyg,chi,CutlJa00,pass_int,1,,,,,
player,201010030nyg,chi,CutlJa00,pass_sacked,9,,,,,
player,201010030nyg,chi,CutlJa00,pass_sacked_yds,55,,,,,
player,201010030nyg,chi,CutlJa00,pass_long,9,,,,,
player,201010030nyg,chi,CutlJa00,pass_rating,40.7,,,,,
player,201010030nyg,chi,CutlJa00,rush_att,0,,,,,
player,201010030nyg,chi,CutlJa00,rush_yds,0,,,,,
player,201010030nyg,chi,CutlJa00,rush_td,0,,,,,
player,201010030nyg,chi,CutlJa00,rush_long,0,,,,,
player,201010030nyg,chi,CutlJa00,targets,0,,,,,
player,201010030nyg,chi,CutlJa00,rec,0,,,,,
player,201010030nyg,chi,CutlJa00,rec_yds,0,,,,,
player,201010030nyg,chi,CutlJa00,rec_td,0,,,,,
player,201010030nyg,chi,CutlJa00,rec_long,0,,,,,
player,201010030nyg,chi,CutlJa00,fumbles,3,,,,,
player,201010030nyg,chi,CutlJa00,fumbles_lost,1,,,,,
player,201010030nyg,chi,HaniCa00,pass_cmp,3,,,,,
player,201010030nyg,chi,HaniCa00,pass_att,4,,,,,
player,201010030nyg,chi,HaniCa00,pass_yds,36,,,,,
player,201010030nyg,chi,HaniCa00,pass_td,0,,,,,
player,201010030nyg,chi,HaniCa00,pass_int,0,,,,,
player,201010030nyg,chi,HaniCa00,pass_sacked,1,,,,,
player,201010030nyg,chi,HaniCa00,pass_sacked_yds,8,,,,,
