game,2010,1,20100912,201009120nyg,car,"Carolina Panthers",18,nyg,"New York Giants",31
team,201009120nyg,car,First Downs,14,,,,,,
team,201009120nyg,nyg,First Downs,21,,,,,,
team,201009120nyg,car,Rush-Yds-TDs,24-89-0,,,,,,
team,201009120nyg,nyg,Rush-Yds-TDs,36-118-1,,,,,,
team,201009120nyg,car,Cmp-Att-Yd-TD-INT,14-35-182-1-3,,,,,,
team,201009120nyg,nyg,Cmp-Att-Yd-TD-INT,20-30-263-3-3,,,,,,
team,201009120nyg,car,Sacked-Yards,4-34,,,,,,
team,201009120nyg,nyg,Sacked-Yards,1-5,,,,,,
team,201009120nyg,car,Net Pass Yards,148,,,,,,
team,201009120nyg,nyg,Net Pass Yards,258,,,,,,
team,201009120nyg,car,Total Yards,237,,,,,,
team,201009120nyg,nyg,Total Yards,376,,,,,,
team,201009120nyg,car,Fumbles-Lost,3-2,,,,,,
team,201009120nyg,nyg,Fumbles-Lost,1-1,,,,,,
team,201009120nyg,car,Turnovers,5,,,,,,
team,201009120nyg,nyg,Turnovers,4,,,,,,
team,201009120nyg,car,Penalties-Yards,7-63,,,,,,
team,201009120nyg,nyg,Penalties-Yards,9-95,,,,,,
team,201009120nyg,car,Third Down Conv.,8-17,,,,,,
team,201009120nyg,nyg,Third Down Conv.,5-14,,,,,,
team,201009120nyg,car,Fourth Down Conv.,0-1,,,,,,
team,201009120nyg,nyg,Fourth Down Conv.,1-1,,,,,,
team,201009120nyg,car,Time of Possession,25:21,,,,,,
team,201009120nyg,nyg,Time of Possession,34:39,,,,,,
player,201009120nyg,car,MoorMa01,pass_cmp,14,,,,,
player,201009120nyg,car,MoorMa01,pass_att,33,,,,,
player,201009120nyg,car,MoorMa01,pass_yds,182,,,,,
player,201009120nyg,car,MoorMa01,pass_td,1,,,,,
player,201009120nyg,car,MoorMa01,pass_int,3,,,,,
player,201009120nyg,car,MoorMa01,pass_sacked,4,,,,,
player,201009120nyg,car,MoorMa01,pass_sacked_yds,34,,,,,
player,201009120nyg,car,MoorMa01,pass_long,27,,,,,
player,201009120nyg,car,MoorMa01,pass_rating,32.6,,,,,
player,201009120nyg,car,MoorMa01,rush_att,2,,,,,
player,201009120nyg,car,MoorMa01,rush_yds,15,,,,,
player,201009120nyg,car,MoorMa01,rush_td,0,,,,,
player,201009120nyg,car,MoorMa01,rush_long,8,,,,,
player,201009120nyg,car,MoorMa01,targets,0,,,,,
player,201009120nyg,car,MoorMa01,rec,0,,,,,
player,201009120nyg,car,MoorMa01,rec_yds,0,,,,,
player,201009120nyg,car,MoorMa01,rec_td,0,,,,,
player,201009120nyg,car,MoorMa01,rec_long,0,,,,,
player,201009120nyg,car,MoorMa01,fumbles,2,,,,,
player,201009120nyg,car,MoorMa01,fumbles_lost,1,,,,,
player,201009120nyg,car,ClauJi00,pass_cmp,0,,,,,
player,201009120nyg,car,ClauJi00,pass_att,2,,,,,
player,201009120nyg,car,ClauJi00,pass_yds,0,,,,,
player,201009120nyg,car,ClauJi00,pass_td,0,,,,,
player,201009120nyg,car,ClauJi00,pass_int,0,,,,,
