game,2010,15,20101219,201012190cin,cle,"Cleveland Browns",17,cin,"Cincinnati Bengals",19
player,201012190cin,cle,RoyaRo00,pass_cmp,0,,,,,
player,201012190cin,cle,RoyaRo00,pass_att,0,,,,,
player,201012190cin,cle,RoyaRo00,pass_yds,0,,,,,
player,201012190cin,cle,RoyaRo00,pass_td,0,,,,,
player,201012190cin,cle,RoyaRo00,pass_int,0,,,,,
player,201012190cin,cle,RoyaRo00,pass_sacked,,,,,,
player,201012190cin,cle,RoyaRo00,pass_sacked_yds,,,,,,
player,201012190cin,cle,RoyaRo00,pass_long,0,,,,,
player,201012190cin,cle,RoyaRo00,pass_rating,,,,,,
player,201012190cin,cle,RoyaRo00,rush_att,0,,,,,
player,201012190cin,cle,RoyaRo00,rush_yds,0,,,,,
player,201012190cin,cle,RoyaRo00,rush_td,0,,,,,
player,201012190cin,cle,RoyaRo00,rush_long,0,,,,,
player,201012190cin,cle,RoyaRo00,targets,2,,,,,
player,201012190cin,cle,RoyaRo00,rec,2,,,,,
player,201012190cin,cle,RoyaRo00,rec_yds,29,,,,,
player,201012190cin,cle,RoyaRo00,rec_td,1,,,,,
player,201012190cin,cle,RoyaRo00,rec_long,20,,,,,
player,201012190cin,cle,RoyaRo00,fumbles,0,,,,,
player,201012190cin,cle,RoyaRo00,fumbles_lost,,,,,,
player,201012190cin,cle,MassMo00,pass_cmp,0,,,,,
player,201012190cin,cle,MassMo00,pass_att,0,,,,,
player,201012190cin,cle,MassMo00,pass_yds,0,,,,,
player,201012190cin,cle,MassMo00,pass_td,0,,,,,
player,201012190cin,cle,MassMo00,pass_int,0,,,,,
player,201012190cin,cle,MassMo00,pass_sacked,0,,,,,
player,201012190cin,cle,MassMo00,pass_sacked_yds,,,,,,
player,201012190cin,cle,MassMo00,pass_long,0,,,,,
player,201012190cin,cle,MassMo00,pass_rating,,,,,,
player,201012190cin,cle,MassMo00,rush_att,0,,,,,
player,201012190cin,cle,MassMo00,rush_yds,0,,,,,
player,201012190cin,cle,MassMo00,rush_td,0,,,,,
player,201012190cin,cle,MassMo00,rush_long,0,,,,,
player,201012190cin,cle,MassMo00,targets,3,,,,,
player,201012190cin,cle,MassMo00,rec,1,,,,,
player,201012190cin,cle,MassMo00,rec_yds,11,,,,,
player,201012190cin,cle,MassMo00,rec_td,0,,,,,
player,201012190cin,cle,MassMo00,rec_long,11,,,,,
player,201012190cin,cle,MassMo00,fumbles,0,,,,,
player,201012190cin,cle,MassMo00,fumbles_lost,,,,,,
player,201012190cin,cle,CribJo01,pass_cmp,0,,,,,
player,201012190cin,cle,CribJo01,pass_att,0,,,,,
player,201012190cin,cle,CribJo01,pass_yds,0,,,,,
player,201012190cin,cle,CribJo01,pass_td,0,,,,,
player,201012190cin,cle,CribJo01,pass_int,0,,,,,
player,201012190cin,cle,CribJo01,pass_sacked,0,,,,,
player,201012190cin,cle,CribJo01,pass_sacked_yds,,,,,,
player,201012190cin,cle,CribJo01,pass_long,0,,,,,
player,201012190cin,cle,CribJo01,pass_rating,,,,,,
player,201012190cin,cle,CribJo01,rush_att,0,,,,,
player,201012190cin,cle,CribJo01,rush_yds,0,,,,,
player,201012190cin,cle,CribJo01,rush_td,0,,,,,
player,201012190cin,cle,CribJo01,rush_long,0,,,,,
player,201012190cin,cle,CribJo01,targets,2,,,,,
player,201012190cin,cle,CribJo01,rec,1,,,,,
player,201012190cin,cle,CribJo01,rec_yds,4,,,,,
player,201012190cin,cle,CribJo01,rec_td,0,,,,,
player,201012190cin,cle,CribJo01,rec_long,4,,,,,
player,201012190cin,cle,CribJo01,fumbles,1,,,,,
player,201012190cin,cle,CribJo01,fumbles_lost,0,,,,,
player,201012190cin,cle,StucCh20,pass_cmp,0,,,,,
player,201012190cin,cle,StucCh20,pass_att,0,,,,,
player,201012190cin,cle,StucCh20,pass_yds,0,,,,,
player,201012190cin,cle,StucCh20,pass_td,0,,,,,
player,201012190cin,cle,StucCh20,pass_int,0,,,,,
player,201012190cin,cle,StucCh20,pass_sacked,,,,,,
player,201012190cin,cle,StucCh20,pass_sacked_yds,,,,,,
player,201012190cin,cle,StucCh20,pass_long,0,,,,,
player,201012190cin,cle,StucCh20,pass_rating,,,,,,
player,201012190cin,cle,StucCh20,rush_att,0,,,,,
player,201012190cin,cle,StucCh20,rush_yds,0,,,,,
player,201012190cin,cle,StucCh20,rush_td,0,,,,,
player,201012190cin,cle,StucCh20,rush_long,0,,,,,
player,201012190cin,cle,StucCh20,targets,2,,,,,
player,201012190cin,cle,StucCh20,rec,1,,,,,
player,201012190cin,cle,StucCh20,rec_yds,2,,,,,
player,201012190cin,cle,StucCh20,rec_td,0,,,,,
player,201012190cin,cle,StucCh20,rec_long,2,,,,,
player,201012190cin,cle,StucCh20,fumbles,0,,,,,
player,201012190cin,cle,StucCh20,fumbles_lost,,,,,,
player,201012190cin,cin,PalmCa00,pass_cmp,14,,,,,
player,201012190cin,cin,PalmCa00,pass_att,23,,,,,
player,201012190cin,cin,PalmCa00,pass_yds,209,,,,,
player,201012190cin,cin,PalmCa00,pass_td,0,,,,,
player,201012190cin,cin,PalmCa00,pass_int,0,,,,,
player,201012190cin,cin,PalmCa00,pass_sacked,0,,,,,
player,201012190cin,cin,PalmCa00,pass_sacked_yds,0,,,,,
player,201012190cin,cin,PalmCa00,pass_long,53,,,,,
player,201012190cin,cin,PalmCa00,pass_rating,90.7,,,,,
player,201012190cin,cin,PalmCa00,rush_att,5,,,,,
player,201012190cin,cin,PalmCa00,rush_yds,-1,,,,,
player,201012190cin,cin,PalmCa00,rush_td,0,,,,,
player,201012190cin,cin,PalmCa00,rush_long,2,,,,,
player,201012190cin,cin,PalmCa00,targets,0,,,,,
player,201012190cin,cin,PalmCa00,rec,0,,,,,
player,201012190cin,cin,PalmCa00,rec_yds,0,,,,,
