game,2010,2,20100919,201009190was,htx,"Houston Texans",30,was,"Washington Redskins",27
team,201009190was,htx,First Downs,29,,,,,,
team,201009190was,was,First Downs,21,,,,,,
team,201009190was,htx,Rush-Yds-TDs,24-58-0,,,,,,
team,201009190was,was,Rush-Yds-TDs,17-18-2,,,,,,
team,201009190was,htx,Cmp-Att-Yd-TD-INT,38-52-497-3-1,,,,,,
team,201009190was,was,Cmp-Att-Yd-TD-INT,28-38-426-1-0,,,,,,
team,201009190was,htx,Sacked-Yards,5-29,,,,,,
team,201009190was,was,Sacked-Yards,3-23,,,,,,
team,201009190was,htx,Net Pass Yards,468,,,,,,
team,201009190was,was,Net Pass Yards,403,,,,,,
team,201009190was,htx,Total Yards,526,,,,,,
team,201009190was,was,Total Yards,421,,,,,,
team,201009190was,htx,Fumbles-Lost,0-0,,,,,,
team,201009190was,was,Fumbles-Lost,0-0,,,,,,
team,201009190was,htx,Turnovers,1,,,,,,
team,201009190was,was,Turnovers,0,,,,,,
team,201009190was,htx,Penalties-Yards,5-45,,,,,,
team,201009190was,was,Penalties-Yards,7-58,,,,,,
team,201009190was,htx,Third Down Conv.,6-14,,,,,,
team,201009190was,was,Third Down Conv.,2-10,,,,,,
team,201009190was,htx,Fourth Down Conv.,1-2,,,,,,
team,201009190was,was,Fourth Down Conv.,0-0,,,,,,
team,201009190was,htx,Time of Possession,39:49,,,,,,
team,201009190was,was,Time of Possession,31:47,,,,,,
player,201009190was,htx,SchaMa00,pass_cmp,38,,,,,
player,201009190was,htx,SchaMa00,pass_att,52,,,,,
player,201009190was,htx,SchaMa00,pass_yds,497,,,,,
player,201009190was,htx,SchaMa00,pass_td,3,,,,,
player,201009190was,htx,SchaMa00,pass_int,1,,,,,
player,201009190was,htx,SchaMa00,pass_sacked,5,,,,,
player,201009190was,htx,SchaMa00,pass_sacked_yds,29,,,,,
player,201009190was,htx,SchaMa00,pass_long,50,,,,,
player,201009190was,htx,SchaMa00,pass_rating,114.0,,,,,
