game,2010,14,20101212,201012120crd,den,"Denver Broncos",13,crd,"Arizona Cardinals",43
player,201012120crd,den,GrahDa00,pass_td,0,,,,,
player,201012120crd,den,GrahDa00,pass_int,0,,,,,
player,201012120crd,den,GrahDa00,pass_sacked,,,,,,
player,201012120crd,den,GrahDa00,pass_sacked_yds,,,,,,
player,201012120crd,den,GrahDa00,pass_long,0,,,,,
player,201012120crd,den,GrahDa00,pass_rating,,,,,,
player,201012120crd,den,GrahDa00,rush_att,0,,,,,
player,201012120crd,den,GrahDa00,rush_yds,0,,,,,
player,201012120crd,den,GrahDa00,rush_td,0,,,,,
player,201012120crd,den,GrahDa00,rush_long,0,,,,,
player,201012120crd,den,GrahDa00,targets,5,,,,,
player,201012120crd,den,GrahDa00,rec,1,,,,,
player,201012120crd,den,GrahDa00,rec_yds,3,,,,,
player,201012120crd,den,GrahDa00,rec_td,0,,,,,
player,201012120crd,den,GrahDa00,rec_long,3,,,,,
player,201012120crd,den,GrahDa00,fumbles,0,,,,,
player,201012120crd,den,GrahDa00,fumbles_lost,,,,,,
player,201012120crd,den,BuckCo00,pass_cmp,0,,,,,
player,201012120crd,den,BuckCo00,pass_att,0,,,,,
player,201012120crd,den,BuckCo00,pass_yds,0,,,,,
player,201012120crd,den,BuckCo00,pass_td,0,,,,,
player,201012120crd,den,BuckCo00,pass_int,0,,,,,
player,201012120crd,den,BuckCo00,pass_sacked,,,,,,
player,201012120crd,den,BuckCo00,pass_sacked_yds,,,,,,
player,201012120crd,den,BuckCo00,pass_long,0,,,,,
player,201012120crd,den,BuckCo00,pass_rating,,,,,,
player,201012120crd,den,BuckCo00,rush_att,0,,,,,
player,201012120crd,den,BuckCo00,rush_yds,0,,,,,
player,201012120crd,den,BuckCo00,rush_td,0,,,,,
player,201012120crd,den,BuckCo00,rush_long,0,,,,,
player,201012120crd,den,BuckCo00,targets,2,,,,,
player,201012120crd,den,BuckCo00,rec,1,,,,,
player,201012120crd,den,BuckCo00,rec_yds,0,,,,,
player,201012120crd,den,BuckCo00,rec_td,0,,,,,
player,201012120crd,den,BuckCo00,rec_long,0,,,,,
player,201012120crd,den,BuckCo00,fumbles,0,,,,,
player,201012120crd,den,BuckCo00,fumbles_lost,,,,,,
player,201012120crd,crd,SkelJo00,pass_cmp,15,,,,,
player,201012120crd,crd,SkelJo00,pass_att,37,,,,,
player,201012120crd,crd,SkelJo00,pass_yds,146,,,,,
player,201012120crd,crd,SkelJo00,pass_td,0,,,,,
player,201012120crd,crd,SkelJo00,pass_int,0,,,,,
player,201012120crd,crd,SkelJo00,pass_sacked,0,,,,,
player,201012120crd,crd,SkelJo00,pass_sacked_yds,0,,,,,
player,201012120crd,crd,SkelJo00,pass_long,25,,,,,
player,201012120crd,crd,SkelJo00,pass_rating,52.3,,,,,
player,201012120crd,crd,SkelJo00,rush_att,3,,,,,
player,201012120crd,crd,SkelJo00,rush_yds,9,,,,,
player,201012120crd,crd,SkelJo00,rush_td,0,,,,,
player,201012120crd,crd,SkelJo00,rush_long,9,,,,,
player,201012120crd,crd,SkelJo00,targets,0,,,,,
player,201012120crd,crd,SkelJo00,rec,0,,,,,
player,201012120crd,crd,SkelJo00,rec_yds,0,,,,,
player,201012120crd,crd,SkelJo00,rec_td,0,,,,,
player,201012120crd,crd,SkelJo00,rec_long,0,,,,,
player,201012120crd,crd,SkelJo00,fumbles,0,,,,,
player,201012120crd,crd,SkelJo00,fumbles_lost,0,,,,,
player,201012120crd,crd,BreaSt00,pass_cmp,0,,,,,
player,201012120crd,crd,BreaSt00,pass_att,1,,,,,
player,201012120crd,crd,BreaSt00,pass_yds,0,,,,,
player,201012120crd,crd,BreaSt00,pass_td,0,,,,,
player,201012120crd,crd,BreaSt00,pass_int,0,,,,,
player,201012120crd,crd,BreaSt00,pass_sacked,0,,,,,
player,201012120crd,crd,BreaSt00,pass_sacked_yds,0,,,,,
player,201012120crd,crd,BreaSt00,pass_long,0,,,,,
player,201012120crd,crd,BreaSt00,pass_rating,39.6,,,,,
player,201012120crd,crd,BreaSt00,rush_att,1,,,,,
player,201012120crd,crd,BreaSt00,rush_yds,17,,,,,
player,201012120crd,crd,BreaSt00,rush_td,0,,,,,
player,201012120crd,crd,BreaSt00,rush_long,17,,,,,
player,201012120crd,crd,BreaSt00,targets,6,,,,,
player,201012120crd,crd,BreaSt00,rec,2,,,,,
player,201012120crd,crd,BreaSt00,rec_yds,18,,,,,
player,201012120crd,crd,BreaSt00,rec_td,0,,,,,
player,201012120crd,crd,BreaSt00,rec_long,16,,,,,
player,201012120crd,crd,BreaSt00,fumbles,0,,,,,
player,201012120crd,crd,BreaSt00,fumbles_lost,,,,,,
player,201012120crd,crd,HighTi00,pass_cmp,0,,,,,
player,201012120crd,crd,HighTi00,pass_att,0,,,,,
player,201012120crd,crd,HighTi00,pass_yds,0,,,,,
player,201012120crd,crd,HighTi00,pass_td,0,,,,,
player,201012120crd,crd,HighTi00,pass_int,0,,,,,
player,201012120crd,crd,HighTi00,pass_sacked,0,,,,,
player,201012120crd,crd,HighTi00,pass_sacked_yds,0,,,,,
player,201012120crd,crd,HighTi00,pass_long,0,,,,,
player,201012120crd,crd,HighTi00,pass_rating,,,,,,
player,201012120crd,crd,HighTi00,rush_att,18,,,,,
player,201012120crd,crd,HighTi00,rush_yds,148,,,,,
player,201012120crd,crd,HighTi00,rush_td,2,,,,,
player,201012120crd,crd,HighTi00,rush_long,41,,,,,
player,201012120crd,crd,HighTi00,targets,2,,,,,
player,201012120crd,crd,HighTi00,rec,0,,,,,
player,201012120crd,crd,HighTi00,rec_yds,0,,,,,
player,201012120crd,crd,HighTi00,rec_td,0,,,,,
player,201012120crd,crd,HighTi00,rec_long,0,,,,,
player,201012120crd,crd,HighTi00,fumbles,1,,,,,
player,201012120crd,crd,HighTi00,fumbles_lost,1,,,,,
player,201012120crd,crd,WellCh00,pass_cmp,0,,,,,
player,201012120crd,crd,WellCh00,pass_att,0,,,,,
player,201012120crd,crd,WellCh00,pass_yds,0,,,,,
player,201012120crd,crd,WellCh00,pass_td,0,,,,,
player,201012120crd,crd,WellCh00,pass_int,0,,,,,
player,201012120crd,crd,WellCh00,pass_sacked,0,,,,,
player,201012120crd,crd,WellCh00,pass_sacked_yds,0,,,,,
player,201012120crd,crd,WellCh00,pass_long,0,,,,,
player,201012120crd,crd,WellCh00,pass_rating,,,,,,
player,201012120crd,crd,WellCh00,rush_att,6,,,,,
player,201012120crd,crd,WellCh00,rush_yds,16,,,,,
player,201012120crd,crd,WellCh00,rush_td,0,,,,,
player,201012120crd,crd,WellCh00,rush_long,6,,,,,
player,201012120crd,crd,WellCh00,targets,0,,,,,
player,201012120crd,crd,WellCh00,rec,0,,,,,
player,201012120crd,crd,WellCh00,rec_yds,0,,,,,
player,201012120crd,crd,WellCh00,rec_td,0,,,,,
player,201012120crd,crd,WellCh00,rec_long,0,,,,,
player,201012120crd,crd,WellCh00,fumbles,0,,,,,
player,201012120crd,crd,WellCh00,fumbles_lost,,,,,,
player,201012120crd,crd,StepLa00,pass_cmp,0,,,,,
player,201012120crd,crd,StepLa00,pass_att,0,,,,,
player,201012120crd,crd,StepLa00,pass_yds,0,,,,,
player,201012120crd,crd,StepLa00,pass_td,0,,,,,
player,201012120crd,crd,StepLa00,pass_int,0,,,,,
player,201012120crd,crd,StepLa00,pass_sacked,0,,,,,
player,201012120crd,crd,StepLa00,pass_sacked_yds,0,,,,,
player,201012120crd,crd,StepLa00,pass_long,0,,,,,
player,201012120crd,crd,StepLa00,pass_rating,,,,,,
player,201012120crd,crd,StepLa00,rush_att,4,,,,,
player,201012120crd,crd,StepLa00,rush_yds,13,,,,,
player,201012120crd,crd,StepLa00,rush_td,0,,,,,
player,201012120crd,crd,StepLa00,rush_long,8,,,,,
player,201012120crd,crd,StepLa00,targets,2,,,,,
player,201012120crd,crd,StepLa00,rec,2,,,,,
player,201012120crd,crd,StepLa00,rec_yds,11,,,,,
player,201012120crd,crd,StepLa00,rec_td,0,,,,,
player,201012120crd,crd,StepLa00,rec_long,6,,,,,
