game,2010,16,20101226,201012260den,htx,"Houston Texans",23,den,"Denver Broncos",24
player,201012260den,htx,WardDe01,fumbles,0,,,,,
player,201012260den,htx,WardDe01,fumbles_lost,,,,,,
player,201012260den,htx,DaniOw00,pass_cmp,0,,,,,
player,201012260den,htx,DaniOw00,pass_att,0,,,,,
player,201012260den,htx,DaniOw00,pass_yds,0,,,,,
player,201012260den,htx,DaniOw00,pass_td,0,,,,,
player,201012260den,htx,DaniOw00,pass_int,0,,,,,
player,201012260den,htx,DaniOw00,pass_sacked,,,,,,
player,201012260den,htx,DaniOw00,pass_sacked_yds,,,,,,
player,201012260den,htx,DaniOw00,pass_long,0,,,,,
player,201012260den,htx,DaniOw00,pass_rating,,,,,,
player,201012260den,htx,DaniOw00,rush_att,0,,,,,
player,201012260den,htx,DaniOw00,rush_yds,0,,,,,
player,201012260den,htx,DaniOw00,rush_td,0,,,,,
player,201012260den,htx,DaniOw00,rush_long,0,,,,,
player,201012260den,htx,DaniOw00,targets,14,,,,,
player,201012260den,htx,DaniOw00,rec,8,,,,,
player,201012260den,htx,DaniOw00,rec_yds,73,,,,,
player,201012260den,htx,DaniOw00,rec_td,1,,,,,
player,201012260den,htx,DaniOw00,rec_long,31,,,,,
player,201012260den,htx,DaniOw00,fumbles,0,,,,,
player,201012260den,htx,DaniOw00,fumbles_lost,,,,,,
player,201012260den,htx,DreeJo00,pass_cmp,0,,,,,
player,201012260den,htx,DreeJo00,pass_att,0,,,,,
player,201012260den,htx,DreeJo00,pass_yds,0,,,,,
player,201012260den,htx,DreeJo00,pass_td,0,,,,,
player,201012260den,htx,DreeJo00,pass_int,0,,,,,
player,201012260den,htx,DreeJo00,pass_sacked,,,,,,
player,201012260den,htx,DreeJo00,pass_sacked_yds,,,,,,
player,201012260den,htx,DreeJo00,pass_long,0,,,,,
player,201012260den,htx,DreeJo00,pass_rating,,,,,,
player,201012260den,htx,DreeJo00,rush_att,0,,,,,
player,201012260den,htx,DreeJo00,rush_yds,0,,,,,
player,201012260den,htx,DreeJo00,rush_td,0,,,,,
player,201012260den,htx,DreeJo00,rush_long,0,,,,,
player,201012260den,htx,DreeJo00,targets,3,,,,,
player,201012260den,htx,DreeJo00,rec,3,,,,,
player,201012260den,htx,DreeJo00,rec_yds,33,,,,,
player,201012260den,htx,DreeJo00,rec_td,0,,,,,
player,201012260den,htx,DreeJo00,rec_long,15,,,,,
player,201012260den,htx,DreeJo00,fumbles,0,,,,,
player,201012260den,htx,DreeJo00,fumbles_lost,,,,,,
player,201012260den,htx,CaseJa00,pass_cmp,0,,,,,
player,201012260den,htx,CaseJa00,pass_att,0,,,,,
player,201012260den,htx,CaseJa00,pass_yds,0,,,,,
player,201012260den,htx,CaseJa00,pass_td,0,,,,,
player,201012260den,htx,CaseJa00,pass_int,0,,,,,
player,201012260den,htx,CaseJa00,pass_sacked,,,,,,
player,201012260den,htx,CaseJa00,pass_sacked_yds,,,,,,
player,201012260den,htx,CaseJa00,pass_long,0,,,,,
player,201012260den,htx,CaseJa00,pass_rating,,,,,,
player,201012260den,htx,CaseJa00,rush_att,0,,,,,
player,201012260den,htx,CaseJa00,rush_yds,0,,,,,
player,201012260den,htx,CaseJa00,rush_td,0,,,,,
player,201012260den,htx,CaseJa00,rush_long,0,,,,,
player,201012260den,htx,CaseJa00,targets,1,,,,,
player,201012260den,htx,CaseJa00,rec,1,,,,,
player,201012260den,htx,CaseJa00,rec_yds,21,,,,,
player,201012260den,htx,CaseJa00,rec_td,0,,,,,
player,201012260den,htx,CaseJa00,rec_long,21,,,,,
player,201012260den,htx,CaseJa00,fumbles,0,,,,,
player,201012260den,htx,CaseJa00,fumbles_lost,,,,,,
player,201012260den,htx,WaltKe00,pass_cmp,0,,,,,
player,201012260den,htx,WaltKe00,pass_att,0,,,,,
player,201012260den,htx,WaltKe00,pass_yds,0,,,,,
player,201012260den,htx,WaltKe00,pass_td,0,,,,,
player,201012260den,htx,WaltKe00,pass_int,0,,,,,
player,201012260den,htx,WaltKe00,pass_sacked,,,,,,
player,201012260den,htx,WaltKe00,pass_sacked_yds,,,,,,
player,201012260den,htx,WaltKe00,pass_long,0,,,,,
player,201012260den,htx,WaltKe00,pass_rating,,,,,,
player,201012260den,htx,WaltKe00,rush_att,0,,,,,
player,201012260den,htx,WaltKe00,rush_yds,0,,,,,
player,201012260den,htx,WaltKe00,rush_td,0,,,,,
player,201012260den,htx,WaltKe00,rush_long,0,,,,,
player,201012260den,htx,WaltKe00,targets,2,,,,,
player,201012260den,htx,WaltKe00,rec,1,,,,,
player,201012260den,htx,WaltKe00,rec_yds,14,,,,,
player,201012260den,htx,WaltKe00,rec_td,0,,,,,
player,201012260den,htx,WaltKe00,rec_long,14,,,,,
player,201012260den,htx,WaltKe00,fumbles,0,,,,,
player,201012260den,htx,WaltKe00,fumbles_lost,,,,,,
player,201012260den,htx,JoneJa03,pass_cmp,0,,,,,
player,201012260den,htx,JoneJa03,pass_att,0,,,,,
