game,2010,13,20101205,201012050sdg,rai,"Oakland Raiders",28,sdg,"San Diego Chargers",13
team,201012050sdg,rai,First Downs,22,,,,,,
team,201012050sdg,sdg,First Downs,18,,,,,,
team,201012050sdg,rai,Rush-Yds-TDs,52-251-3,,,,,,
team,201012050sdg,sdg,Rush-Yds-TDs,8-21-0,,,,,,
team,201012050sdg,rai,Cmp-Att-Yd-TD-INT,10-16-117-1-0,,,,,,
team,201012050sdg,sdg,Cmp-Att-Yd-TD-INT,23-39-280-1-1,,,,,,
team,201012050sdg,rai,Sacked-Yards,1-0,,,,,,
team,201012050sdg,sdg,Sacked-Yards,4-15,,,,,,
team,201012050sdg,rai,Net Pass Yards,117,,,,,,
team,201012050sdg,sdg,Net Pass Yards,265,,,,,,
team,201012050sdg,rai,Total Yards,368,,,,,,
team,201012050sdg,sdg,Total Yards,286,,,,,,
team,201012050sdg,rai,Fumbles-Lost,1-1,,,,,,
team,201012050sdg,sdg,Fumbles-Lost,1-1,,,,,,
team,201012050sdg,rai,Turnovers,1,,,,,,
team,201012050sdg,sdg,Turnovers,2,,,,,,
team,201012050sdg,rai,Penalties-Yards,13-105,,,,,,
team,201012050sdg,sdg,Penalties-Yards,3-19,,,,,,
team,201012050sdg,rai,Third Down Conv.,8-15,,,,,,
team,201012050sdg,sdg,Third Down Conv.,3-10,,,,,,
team,201012050sdg,rai,Fourth Down Conv.,2-2,,,,,,
team,201012050sdg,sdg,Fourth Down Conv.,0-2,,,,,,
team,201012050sdg,rai,Time of Possession,38:39,,,,,,
team,201012050sdg,sdg,Time of Possession,21:21,,,,,,
player,201012050sdg,rai,CampJa00,pass_cmp,10,,,,,
player,201012050sdg,rai,CampJa00,pass_att,16,,,,,
player,201012050sdg,rai,CampJa00,pass_yds,117,,,,,
player,201012050sdg,rai,CampJa00,pass_td,1,,,,,
player,201012050sdg,rai,CampJa00,pass_int,0,,,,,
player,201012050sdg,rai,CampJa00,pass_sacked,1,,,,,
player,201012050sdg,rai,CampJa00,pass_sacked_yds,0,,,,,
player,201012050sdg,rai,CampJa00,pass_long,37,,,,,
player,201012050sdg,rai,CampJa00,pass_rating,105.5,,,,,
player,201012050sdg,rai,CampJa00,rush_att,7,,,,,
player,201012050sdg,rai,CampJa00,rush_yds,37,,,,,
player,201012050sdg,rai,CampJa00,rush_td,1,,,,,
player,201012050sdg,rai,CampJa00,rush_long,12,,,,,
