game,2010,13,20101205,201012050oti,jax,"Jacksonville Jaguars",17,oti,"Tennessee Titans",6
team,201012050oti,jax,First Downs,23,,,,,,
team,201012050oti,oti,First Downs,11,,,,,,
team,201012050oti,jax,Rush-Yds-TDs,53-258-2,,,,,,
team,201012050oti,oti,Rush-Yds-TDs,14-57-0,,,,,,
team,201012050oti,jax,Cmp-Att-Yd-TD-INT,14-19-126-0-0,,,,,,
team,201012050oti,oti,Cmp-Att-Yd-TD-INT,14-32-169-0-2,,,,,,
team,201012050oti,jax,Sacked-Yards,1-7,,,,,,
team,201012050oti,oti,Sacked-Yards,1-6,,,,,,
team,201012050oti,jax,Net Pass Yards,119,,,,,,
team,201012050oti,oti,Net Pass Yards,163,,,,,,
team,201012050oti,jax,Total Yards,377,,,,,,
team,201012050oti,oti,Total Yards,220,,,,,,
team,201012050oti,jax,Fumbles-Lost,1-0,,,,,,
team,201012050oti,oti,Fumbles-Lost,0-0,,,,,,
team,201012050oti,jax,Turnovers,0,,,,,,
team,201012050oti,oti,Turnovers,2,,,,,,
team,201012050oti,jax,Penalties-Yards,4-31,,,,,,
team,201012050oti,oti,Penalties-Yards,4-30,,,,,,
team,201012050oti,jax,Third Down Conv.,6-15,,,,,,
team,201012050oti,oti,Third Down Conv.,2-11,,,,,,
team,201012050oti,jax,Fourth Down Conv.,2-3,,,,,,
team,201012050oti,oti,Fourth Down Conv.,1-3,,,,,,
team,201012050oti,jax,Time of Possession,39:54,,,,,,
team,201012050oti,oti,Time of Possession,20:06,,,,,,
player,201012050oti,jax,GarrDa00,pass_cmp,14,,,,,
player,201012050oti,jax,GarrDa00,pass_att,19,,,,,
player,201012050oti,jax,GarrDa00,pass_yds,126,,,,,
player,201012050oti,jax,GarrDa00,pass_td,0,,,,,
player,201012050oti,jax,GarrDa00,pass_int,0,,,,,
player,201012050oti,jax,GarrDa00,pass_sacked,1,,,,,
player,201012050oti,jax,GarrDa00,pass_sacked_yds,7,,,,,
player,201012050oti,jax,GarrDa00,pass_long,20,,,,,
player,201012050oti,jax,GarrDa00,pass_rating,91.1,,,,,
player,201012050oti,jax,GarrDa00,rush_att,10,,,,,
player,201012050oti,jax,GarrDa00,rush_yds,19,,,,,
player,201012050oti,jax,GarrDa00,rush_td,1,,,,,
player,201012050oti,jax,GarrDa00,rush_long,7,,,,,
player,201012050oti,jax,GarrDa00,targets,0,,,,,
player,201012050oti,jax,GarrDa00,rec,0,,,,,
player,201012050oti,jax,GarrDa00,rec_yds,0,,,,,
player,201012050oti,jax,GarrDa00,rec_td,0,,,,,
player,201012050oti,jax,GarrDa00,rec_long,0,,,,,
player,201012050oti,jax,GarrDa00,fumbles,0,,,,,
player,201012050oti,jax,GarrDa00,fumbles_lost,,,,,,
player,201012050oti,jax,DrewMa00,pass_cmp,0,,,,,
player,201012050oti,jax,DrewMa00,pass_att,0,,,,,
player,201012050oti,jax,DrewMa00,pass_yds,0,,,,,
player,201012050oti,jax,DrewMa00,pass_td,0,,,,,
player,201012050oti,jax,DrewMa00,pass_int,0,,,,,
player,201012050oti,jax,DrewMa00,pass_sacked,0,,,,,
player,201012050oti,jax,DrewMa00,pass_sacked_yds,,,,,,
player,201012050oti,jax,DrewMa00,pass_long,0,,,,,
player,201012050oti,jax,DrewMa00,pass_rating,,,,,,
player,201012050oti,jax,DrewMa00,rush_att,31,,,,,
player,201012050oti,jax,DrewMa00,rush_yds,186,,,,,
player,201012050oti,jax,DrewMa00,rush_td,0,,,,,
player,201012050oti,jax,DrewMa00,rush_long,37,,,,,
player,201012050oti,jax,DrewMa00,targets,1,,,,,
player,201012050oti,jax,DrewMa00,rec,1,,,,,
player,201012050oti,jax,DrewMa00,rec_yds,4,,,,,
player,201012050oti,jax,DrewMa00,rec_td,0,,,,,
player,201012050oti,jax,DrewMa00,rec_long,4,,,,,
player,201012050oti,jax,DrewMa00,fumbles,0,,,,,
player,201012050oti,jax,DrewMa00,fumbles_lost,,,,,,
player,201012050oti,jax,JennRa00,pass_cmp,0,,,,,
player,201012050oti,jax,JennRa00,pass_att,0,,,,,
player,201012050oti,jax,JennRa00,pass_yds,0,,,,,
player,201012050oti,jax,JennRa00,pass_td,0,,,,,
player,201012050oti,jax,JennRa00,pass_int,0,,,,,
player,201012050oti,jax,JennRa00,pass_sacked,,,,,,
player,201012050oti,jax,JennRa00,pass_sacked_yds,,,,,,
player,201012050oti,jax,JennRa00,pass_long,0,,,,,
player,201012050oti,jax,JennRa00,pass_rating,,,,,,
player,201012050oti,jax,JennRa00,rush_att,10,,,,,
player,201012050oti,jax,JennRa00,rush_yds,44,,,,,
player,201012050oti,jax,JennRa00,rush_td,1,,,,,
player,201012050oti,jax,JennRa00,rush_long,11,,,,,
player,201012050oti,jax,JennRa00,targets,2,,,,,
player,201012050oti,jax,JennRa00,rec,2,,,,,
player,201012050oti,jax,JennRa00,rec_yds,10,,,,,
player,201012050oti,jax,JennRa00,rec_td,0,,,,,
player,201012050oti,jax,JennRa00,rec_long,5,,,,,
player,201012050oti,jax,JennRa00,fumbles,0,,,,,
player,201012050oti,jax,JennRa00,fumbles_lost,,,,,,
player,201012050oti,jax,MillZa02,pass_cmp,0,,,,,
player,201012050oti,jax,MillZa02,pass_att,0,,,,,
player,201012050oti,jax,MillZa02,pass_yds,0,,,,,
player,201012050oti,jax,MillZa02,pass_td,0,,,,,
player,201012050oti,jax,MillZa02,pass_int,0,,,,,
player,201012050oti,jax,MillZa02,pass_sacked,,,,,,
player,201012050oti,jax,MillZa02,pass_sacked_yds,,,,,,
