game,2010,14,20101212,201012120nyj,mia,"Miami Dolphins",10,nyj,"New York Jets",6
team,201012120nyj,mia,First Downs,6,,,,,,
team,201012120nyj,nyj,First Downs,14,,,,,,
team,201012120nyj,mia,Rush-Yds-TDs,32-101-0,,,,,,
team,201012120nyj,nyj,Rush-Yds-TDs,31-87-0,,,,,,
team,201012120nyj,mia,Cmp-Att-Yd-TD-INT,5-19-55-1-0,,,,,,
team,201012120nyj,nyj,Cmp-Att-Yd-TD-INT,17-44-216-0-1,,,,,,
team,201012120nyj,mia,Sacked-Yards,5-25,,,,,,
team,201012120nyj,nyj,Sacked-Yards,6-23,,,,,,
team,201012120nyj,mia,Net Pass Yards,30,,,,,,
team,201012120nyj,nyj,Net Pass Yards,193,,,,,,
team,201012120nyj,mia,Total Yards,131,,,,,,
team,201012120nyj,nyj,Total Yards,280,,,,,,
team,201012120nyj,mia,Fumbles-Lost,3-3,,,,,,
team,201012120nyj,nyj,Fumbles-Lost,4-1,,,,,,
team,201012120nyj,mia,Turnovers,3,,,,,,
team,201012120nyj,nyj,Turnovers,2,,,,,,
team,201012120nyj,mia,Penalties-Yards,5-36,,,,,,
team,201012120nyj,nyj,Penalties-Yards,6-50,,,,,,
team,201012120nyj,mia,Third Down Conv.,3-15,,,,,,
team,201012120nyj,nyj,Third Down Conv.,6-21,,,,,,
team,201012120nyj,mia,Fourth Down Conv.,0-0,,,,,,
team,201012120nyj,nyj,Fourth Down Conv.,0-3,,,,,,
team,201012120nyj,mia,Time of Possession,26:12,,,,,,
team,201012120nyj,nyj,Time of Possession,33:48,,,,,,
player,201012120nyj,mia,HennCh01,pass_cmp,5,,,,,
player,201012120nyj,mia,HennCh01,pass_att,18,,,,,
player,201012120nyj,mia,HennCh01,pass_yds,55,,,,,
player,201012120nyj,mia,HennCh01,pass_td,1,,,,,
player,201012120nyj,mia,HennCh01,pass_int,0,,,,,
player,201012120nyj,mia,HennCh01,pass_sacked,5,,,,,
player,201012120nyj,mia,HennCh01,pass_sacked_yds,25,,,,,
player,201012120nyj,mia,HennCh01,pass_long,28,,,,,
player,201012120nyj,mia,HennCh01,pass_rating,58.3,,,,,
player,201012120nyj,mia,HennCh01,rush_att,4,,,,,
player,201012120nyj,mia,HennCh01,rush_yds,7,,,,,
player,201012120nyj,mia,HennCh01,rush_td,0,,,,,
player,201012120nyj,mia,HennCh01,rush_long,10,,,,,
player,201012120nyj,mia,HennCh01,targets,0,,,,,
player,201012120nyj,mia,HennCh01,rec,0,,,,,
player,201012120nyj,mia,HennCh01,rec_yds,0,,,,,
player,201012120nyj,mia,HennCh01,rec_td,0,,,,,
player,201012120nyj,mia,HennCh01,rec_long,0,,,,,
player,201012120nyj,mia,HennCh01,fumbles,2,,,,,
player,201012120nyj,mia,HennCh01,fumbles_lost,2,,,,,
player,201012120nyj,mia,BrowRo05,pass_cmp,0,,,,,
player,201012120nyj,mia,BrowRo05,pass_att,1,,,,,
player,201012120nyj,mia,BrowRo05,pass_yds,0,,,,,
player,201012120nyj,mia,BrowRo05,pass_td,0,,,,,
player,201012120nyj,mia,BrowRo05,pass_int,0,,,,,
player,201012120nyj,mia,BrowRo05,pass_sacked,0,,,,,
player,201012120nyj,mia,BrowRo05,pass_sacked_yds,0,,,,,
player,201012120nyj,mia,BrowRo05,pass_long,0,,,,,
player,201012120nyj,mia,BrowRo05,pass_rating,39.6,,,,,
player,201012120nyj,mia,BrowRo05,rush_att,16,,,,,
player,201012120nyj,mia,BrowRo05,rush_yds,55,,,,,
player,201012120nyj,mia,BrowRo05,rush_td,0,,,,,
player,201012120nyj,mia,BrowRo05,rush_long,10,,,,,
player,201012120nyj,mia,BrowRo05,targets,2,,,,,
player,201012120nyj,mia,BrowRo05,rec,0,,,,,
player,201012120nyj,mia,BrowRo05,rec_yds,0,,,,,
player,201012120nyj,mia,BrowRo05,rec_td,0,,,,,
player,201012120nyj,mia,BrowRo05,rec_long,0,,,,,
player,201012120nyj,mia,BrowRo05,fumbles,1,,,,,
player,201012120nyj,mia,BrowRo05,fumbles_lost,1,,,,,
player,201012120nyj,mia,WillRi00,pass_cmp,0,,,,,
player,201012120nyj,mia,WillRi00,pass_att,0,,,,,
player,201012120nyj,mia,WillRi00,pass_yds,0,,,,,
player,201012120nyj,mia,WillRi00,pass_td,0,,,,,
player,201012120nyj,mia,WillRi00,pass_int,0,,,,,
player,201012120nyj,mia,WillRi00,pass_sacked,,,,,,
player,201012120nyj,mia,WillRi00,pass_sacked_yds,,,,,,
player,201012120nyj,mia,WillRi00,pass_long,0,,,,,
player,201012120nyj,mia,WillRi00,pass_rating,,,,,,
player,201012120nyj,mia,WillRi00,rush_att,10,,,,,
player,201012120nyj,mia,WillRi00,rush_yds,34,,,,,
player,201012120nyj,mia,WillRi00,rush_td,0,,,,,
player,201012120nyj,mia,WillRi00,rush_long,8,,,,,
player,201012120nyj,mia,WillRi00,targets,1,,,,,
player,201012120nyj,mia,WillRi00,rec,0,,,,,
player,201012120nyj,mia,WillRi00,rec_yds,0,,,,,
player,201012120nyj,mia,WillRi00,rec_td,0,,,,,
player,201012120nyj,mia,WillRi00,rec_long,0,,,,,
player,201012120nyj,mia,WillRi00,fumbles,0,,,,,
player,201012120nyj,mia,WillRi00,fumbles_lost,,,,,,
player,201012120nyj,mia,PoliLo00,pass_cmp,0,,,,,
player,201012120nyj,mia,PoliLo00,pass_att,0,,,,,
player,201012120nyj,mia,PoliLo00,pass_yds,0,,,,,
player,201012120nyj,mia,PoliLo00,pass_td,0,,,,,
player,201012120nyj,mia,PoliLo00,pass_int,0,,,,,
player,201012120nyj,mia,PoliLo00,pass_sacked,,,,,,
player,201012120nyj,mia,PoliLo00,pass_sacked_yds,,,,,,
player,201012120nyj,mia,PoliLo00,pass_long,0,,,,,
player,201012120nyj,mia,PoliLo00,pass_rating,,,,,,
player,201012120nyj,mia,PoliLo00,rush_att,2,,,,,
player,201012120nyj,mia,PoliLo00,rush_yds,5,,,,,
player,201012120nyj,mia,PoliLo00,rush_td,0,,,,,
player,201012120nyj,mia,PoliLo00,rush_long,3,,,,,
player,201012120nyj,mia,PoliLo00,targets,0,,,,,
player,201012120nyj,mia,PoliLo00,rec,0,,,,,
player,201012120nyj,mia,PoliLo00,rec_yds,0,,,,,
player,201012120nyj,mia,PoliLo00,rec_td,0,,,,,
player,201012120nyj,mia,PoliLo00,rec_long,0,,,,,
player,201012120nyj,mia,PoliLo00,fumbles,0,,,,,
player,201012120nyj,mia,PoliLo00,fumbles_lost,,,,,,
player,201012120nyj,mia,FasaAn00,pass_cmp,0,,,,,
player,201012120nyj,mia,FasaAn00,pass_att,0,,,,,
player,201012120nyj,mia,FasaAn00,pass_yds,0,,,,,
player,201012120nyj,mia,FasaAn00,pass_td,0,,,,,
player,201012120nyj,mia,FasaAn00,pass_int,0,,,,,
player,201012120nyj,mia,FasaAn00,pass_sacked,,,,,,
