game,2010,15,20101219,201012190ram,kan,"Kansas City Chiefs",27,ram,"St. Louis Rams",13
team,201012190ram,kan,First Downs,21,,,,,,
team,201012190ram,ram,First Downs,14,,,,,,
team,201012190ram,kan,Rush-Yds-TDs,42-210-2,,,,,,
team,201012190ram,ram,Rush-Yds-TDs,21-69-1,,,,,,
team,201012190ram,kan,Cmp-Att-Yd-TD-INT,15-29-184-1-1,,,,,,
team,201012190ram,ram,Cmp-Att-Yd-TD-INT,21-43-181-0-2,,,,,,
team,201012190ram,kan,Sacked-Yards,3-11,,,,,,
team,201012190ram,ram,Sacked-Yards,3-26,,,,,,
team,201012190ram,kan,Net Pass Yards,173,,,,,,
team,201012190ram,ram,Net Pass Yards,155,,,,,,
team,201012190ram,kan,Total Yards,383,,,,,,
team,201012190ram,ram,Total Yards,224,,,,,,
team,201012190ram,kan,Fumbles-Lost,0-0,,,,,,
team,201012190ram,ram,Fumbles-Lost,1-0,,,,,,
team,201012190ram,kan,Turnovers,1,,,,,,
team,201012190ram,ram,Turnovers,2,,,,,,
team,201012190ram,kan,Penalties-Yards,5-40,,,,,,
team,201012190ram,ram,Penalties-Yards,9-60,,,,,,
team,201012190ram,kan,Third Down Conv.,5-17,,,,,,
team,201012190ram,ram,Third Down Conv.,6-17,,,,,,
team,201012190ram,kan,Fourth Down Conv.,1-2,,,,,,
team,201012190ram,ram,Fourth Down Conv.,0-1,,,,,,
team,201012190ram,kan,Time of Possession,31:44,,,,,,
team,201012190ram,ram,Time of Possession,28:16,,,,,,
player,201012190ram,kan,CassMa00,pass_cmp,15,,,,,
player,201012190ram,kan,CassMa00,pass_att,29,,,,,
player,201012190ram,kan,CassMa00,pass_yds,184,,,,,
player,201012190ram,kan,CassMa00,pass_td,1,,,,,
player,201012190ram,kan,CassMa00,pass_int,1,,,,,
player,201012190ram,kan,CassMa00,pass_sacked,3,,,,,
player,201012190ram,kan,CassMa00,pass_sacked_yds,11,,,,,
player,201012190ram,kan,CassMa00,pass_long,28,,,,,
player,201012190ram,kan,CassMa00,pass_rating,68.8,,,,,
player,201012190ram,kan,CassMa00,rush_att,6,,,,,
player,201012190ram,kan,CassMa00,rush_yds,17,,,,,
player,201012190ram,kan,CassMa00,rush_td,0,,,,,
player,201012190ram,kan,CassMa00,rush_long,13,,,,,
player,201012190ram,kan,CassMa00,targets,0,,,,,
player,201012190ram,kan,CassMa00,rec,0,,,,,
