game,2010,6,20101018,201010180jax,oti,"Tennessee Titans",30,jax,"Jacksonville Jaguars",3
team,201010180jax,oti,First Downs,20,,,,,,
team,201010180jax,jax,First Downs,17,,,,,,
team,201010180jax,oti,Rush-Yds-TDs,39-153-1,,,,,,
team,201010180jax,jax,Rush-Yds-TDs,25-76-0,,,,,,
team,201010180jax,oti,Cmp-Att-Yd-TD-INT,14-21-171-2-0,,,,,,
team,201010180jax,jax,Cmp-Att-Yd-TD-INT,21-36-189-0-3,,,,,,
team,201010180jax,oti,Sacked-Yards,0-0,,,,,,
team,201010180jax,jax,Sacked-Yards,2-16,,,,,,
team,201010180jax,oti,Net Pass Yards,171,,,,,,
team,201010180jax,jax,Net Pass Yards,173,,,,,,
team,201010180jax,oti,Total Yards,324,,,,,,
team,201010180jax,jax,Total Yards,249,,,,,,
team,201010180jax,oti,Fumbles-Lost,1-0,,,,,,
team,201010180jax,jax,Fumbles-Lost,1-1,,,,,,
team,201010180jax,oti,Turnovers,0,,,,,,
team,201010180jax,jax,Turnovers,4,,,,,,
team,201010180jax,oti,Penalties-Yards,8-57,,,,,,
team,201010180jax,jax,Penalties-Yards,7-55,,,,,,
team,201010180jax,oti,Third Down Conv.,8-14,,,,,,
team,201010180jax,jax,Third Down Conv.,3-13,,,,,,
team,201010180jax,oti,Fourth Down Conv.,1-1,,,,,,
team,201010180jax,jax,Fourth Down Conv.,2-4,,,,,,
team,201010180jax,oti,Time of Possession,32:45,,,,,,
team,201010180jax,jax,Time of Possession,27:15,,,,,,
player,201010180jax,oti,CollKe00,pass_cmp,11,,,,,
player,201010180jax,oti,CollKe00,pass_att,16,,,,,
player,201010180jax,oti,CollKe00,pass_yds,110,,,,,
player,201010180jax,oti,CollKe00,pass_td,1,,,,,
player,201010180jax,oti,CollKe00,pass_int,0,,,,,
player,201010180jax,oti,CollKe00,pass_sacked,0,,,,,
player,201010180jax,oti,CollKe00,pass_sacked_yds,0,,,,,
player,201010180jax,oti,CollKe00,pass_long,20,,,,,
player,201010180jax,oti,CollKe00,pass_rating,108.9,,,,,
player,201010180jax,oti,CollKe00,rush_att,1,,,,,
player,201010180jax,oti,CollKe00,rush_yds,-1,,,,,
player,201010180jax,oti,CollKe00,rush_td,0,,,,,
player,201010180jax,oti,CollKe00,rush_long,-1,,,,,
player,201010180jax,oti,CollKe00,targets,0,,,,,
player,201010180jax,oti,CollKe00,rec,0,,,,,
player,201010180jax,oti,CollKe00,rec_yds,0,,,,,
player,201010180jax,oti,CollKe00,rec_td,0,,,,,
player,201010180jax,oti,CollKe00,rec_long,0,,,,,
player,201010180jax,oti,CollKe00,fumbles,0,,,,,
player,201010180jax,oti,CollKe00,fumbles_lost,,,,,,
player,201010180jax,oti,YounVi00,pass_cmp,3,,,,,
player,201010180jax,oti,YounVi00,pass_att,5,,,,,
player,201010180jax,oti,YounVi00,pass_yds,61,,,,,
player,201010180jax,oti,YounVi00,pass_td,1,,,,,
player,201010180jax,oti,YounVi00,pass_int,0,,,,,
player,201010180jax,oti,YounVi00,pass_sacked,0,,,,,
player,201010180jax,oti,YounVi00,pass_sacked_yds,0,,,,,
player,201010180jax,oti,YounVi00,pass_long,28,,,,,
player,201010180jax,oti,YounVi00,pass_rating,142.5,,,,,
player,201010180jax,oti,YounVi00,rush_att,1,,,,,
player,201010180jax,oti,YounVi00,rush_yds,0,,,,,
player,201010180jax,oti,YounVi00,rush_td,0,,,,,
player,201010180jax,oti,YounVi00,rush_long,0,,,,,
player,201010180jax,oti,YounVi00,targets,0,,,,,
