game,2010,11,20101121,201011210jax,cle,"Cleveland Browns",20,jax,"Jacksonville Jaguars",24
player,201011210jax,cle,HillPe00,rush_long,6,,,,,
player,201011210jax,cle,HillPe00,targets,8,,,,,
player,201011210jax,cle,HillPe00,rec,6,,,,,
player,201011210jax,cle,HillPe00,rec_yds,95,,,,,
player,201011210jax,cle,HillPe00,rec_td,1,,,,,
player,201011210jax,cle,HillPe00,rec_long,47,,,,,
player,201011210jax,cle,HillPe00,fumbles,0,,,,,
player,201011210jax,cle,HillPe00,fumbles_lost,,,,,,
player,201011210jax,cle,BellMi00,pass_cmp,0,,,,,
player,201011210jax,cle,BellMi00,pass_att,0,,,,,
player,201011210jax,cle,BellMi00,pass_yds,0,,,,,
player,201011210jax,cle,BellMi00,pass_td,0,,,,,
player,201011210jax,cle,BellMi00,pass_int,0,,,,,
player,201011210jax,cle,BellMi00,pass_sacked,,,,,,
player,201011210jax,cle,BellMi00,pass_sacked_yds,,,,,,
player,201011210jax,cle,BellMi00,pass_long,0,,,,,
player,201011210jax,cle,BellMi00,pass_rating,,,,,,
player,201011210jax,cle,BellMi00,rush_att,1,,,,,
player,201011210jax,cle,BellMi00,rush_yds,1,,,,,
player,201011210jax,cle,BellMi00,rush_td,0,,,,,
player,201011210jax,cle,BellMi00,rush_long,1,,,,,
player,201011210jax,cle,BellMi00,targets,0,,,,,
player,201011210jax,cle,BellMi00,rec,0,,,,,
player,201011210jax,cle,BellMi00,rec_yds,0,,,,,
player,201011210jax,cle,BellMi00,rec_td,0,,,,,
player,201011210jax,cle,BellMi00,rec_long,0,,,,,
player,201011210jax,cle,BellMi00,fumbles,0,,,,,
player,201011210jax,cle,BellMi00,fumbles_lost,,,,,,
player,201011210jax,cle,MoorEv00,pass_cmp,0,,,,,
player,201011210jax,cle,MoorEv00,pass_att,0,,,,,
player,201011210jax,cle,MoorEv00,pass_yds,0,,,,,
player,201011210jax,cle,MoorEv00,pass_td,0,,,,,
player,201011210jax,cle,MoorEv00,pass_int,0,,,,,
player,201011210jax,cle,MoorEv00,pass_sacked,,,,,,
player,201011210jax,cle,MoorEv00,pass_sacked_yds,,,,,,
player,201011210jax,cle,MoorEv00,pass_long,0,,,,,
