game,2010,2,20100919,201009190den,sea,"Seattle Seahawks",14,den,"Denver Broncos",31
team,201009190den,sea,First Downs,17,,,,,,
team,201009190den,den,First Downs,23,,,,,,
team,201009190den,sea,Rush-Yds-TDs,20-109-1,,,,,,
team,201009190den,den,Rush-Yds-TDs,38-65-2,,,,,,
team,201009190den,sea,Cmp-Att-Yd-TD-INT,20-35-233-1-3,,,,,,
team,201009190den,den,Cmp-Att-Yd-TD-INT,25-35-307-2-0,,,,,,
team,201009190den,sea,Sacked-Yards,1-3,,,,,,
team,201009190den,den,Sacked-Yards,1-3,,,,,,
team,201009190den,sea,Net Pass Yards,230,,,,,,
team,201009190den,den,Net Pass Yards,304,,,,,,
team,201009190den,sea,Total Yards,339,,,,,,
team,201009190den,den,Total Yards,369,,,,,,
team,201009190den,sea,Fumbles-Lost,1-1,,,,,,
team,201009190den,den,Fumbles-Lost,1-0,,,,,,
team,201009190den,sea,Turnovers,4,,,,,,
team,201009190den,den,Turnovers,0,,,,,,
team,201009190den,sea,Penalties-Yards,7-64,,,,,,
team,201009190den,den,Penalties-Yards,3-35,,,,,,
team,201009190den,sea,Third Down Conv.,7-11,,,,,,
team,201009190den,den,Third Down Conv.,14-20,,,,,,
team,201009190den,sea,Fourth Down Conv.,1-2,,,,,,
team,201009190den,den,Fourth Down Conv.,0-0,,,,,,
team,201009190den,sea,Time of Possession,22:33,,,,,,
team,201009190den,den,Time of Possession,37:27,,,,,,
player,201009190den,sea,HassMa00,pass_cmp,20,,,,,
player,201009190den,sea,HassMa00,pass_att,35,,,,,
player,201009190den,sea,HassMa00,pass_yds,233,,,,,
player,201009190den,sea,HassMa00,pass_td,1,,,,,
player,201009190den,sea,HassMa00,pass_int,3,,,,,
player,201009190den,sea,HassMa00,pass_sacked,1,,,,,
player,201009190den,sea,HassMa00,pass_sacked_yds,3,,,,,
player,201009190den,sea,HassMa00,pass_long,52,,,,,
player,201009190den,sea,HassMa00,pass_rating,51.3,,,,,
player,201009190den,sea,HassMa00,rush_att,3,,,,,
player,201009190den,sea,HassMa00,rush_yds,21,,,,,
player,201009190den,sea,HassMa00,rush_td,1,,,,,
player,201009190den,sea,HassMa00,rush_long,20,,,,,
player,201009190den,sea,HassMa00,targets,0,,,,,
player,201009190den,sea,HassMa00,rec,0,,,,,
player,201009190den,sea,HassMa00,rec_yds,0,,,,,
player,201009190den,sea,HassMa00,rec_td,0,,,,,
player,201009190den,sea,HassMa00,rec_long,0,,,,,
player,201009190den,sea,HassMa00,fumbles,0,,,,,
player,201009190den,sea,HassMa00,fumbles_lost,,,,,,
player,201009190den,sea,ForsJu00,pass_cmp,0,,,,,
player,201009190den,sea,ForsJu00,pass_att,0,,,,,
player,201009190den,sea,ForsJu00,pass_yds,0,,,,,
player,201009190den,sea,ForsJu00,pass_td,0,,,,,
player,201009190den,sea,ForsJu00,pass_int,0,,,,,
player,201009190den,sea,ForsJu00,pass_sacked,,,,,,
player,201009190den,sea,ForsJu00,pass_sacked_yds,,,,,,
player,201009190den,sea,ForsJu00,pass_long,0,,,,,
player,201009190den,sea,ForsJu00,pass_rating,,,,,,
player,201009190den,sea,ForsJu00,rush_att,8,,,,,
player,201009190den,sea,ForsJu00,rush_yds,44,,,,,
player,201009190den,sea,ForsJu00,rush_td,0,,,,,
player,201009190den,sea,ForsJu00,rush_long,19,,,,,
player,201009190den,sea,ForsJu00,targets,1,,,,,
player,201009190den,sea,ForsJu00,rec,1,,,,,
player,201009190den,sea,ForsJu00,rec_yds,8,,,,,
player,201009190den,sea,ForsJu00,rec_td,0,,,,,
player,201009190den,sea,ForsJu00,rec_long,8,,,,,
player,201009190den,sea,ForsJu00,fumbles,0,,,,,
player,201009190den,sea,ForsJu00,fumbles_lost,,,,,,
player,201009190den,sea,WashLe00,pass_cmp,0,,,,,
player,201009190den,sea,WashLe00,pass_att,0,,,,,
player,201009190den,sea,WashLe00,pass_yds,0,,,,,
player,201009190den,sea,WashLe00,pass_td,0,,,,,
player,201009190den,sea,WashLe00,pass_int,0,,,,,
player,201009190den,sea,WashLe00,pass_sacked,0,,,,,
player,201009190den,sea,WashLe00,pass_sacked_yds,,,,,,
player,201009190den,sea,WashLe00,pass_long,0,,,,,
player,201009190den,sea,WashLe00,pass_rating,,,,,,
player,201009190den,sea,WashLe00,rush_att,4,,,,,
player,201009190den,sea,WashLe00,rush_yds,17,,,,,
player,201009190den,sea,WashLe00,rush_td,0,,,,,
player,201009190den,sea,WashLe00,rush_long,7,,,,,
player,201009190den,sea,WashLe00,targets,0,,,,,
player,201009190den,sea,WashLe00,rec,0,,,,,
player,201009190den,sea,WashLe00,rec_yds,0,,,,,
player,201009190den,sea,WashLe00,rec_td,0,,,,,
player,201009190den,sea,WashLe00,rec_long,0,,,,,
player,201009190den,sea,WashLe00,fumbles,0,,,,,
player,201009190den,sea,WashLe00,fumbles_lost,,,,,,
player,201009190den,sea,RobiMi00,pass_cmp,0,,,,,
player,201009190den,sea,RobiMi00,pass_att,0,,,,,
player,201009190den,sea,RobiMi00,pass_yds,0,,,,,
player,201009190den,sea,RobiMi00,pass_td,0,,,,,
player,201009190den,sea,RobiMi00,pass_int,0,,,,,
player,201009190den,sea,RobiMi00,pass_sacked,0,,,,,
player,201009190den,sea,RobiMi00,pass_sacked_yds,,,,,,
player,201009190den,sea,RobiMi00,pass_long,0,,,,,
player,201009190den,sea,RobiMi00,pass_rating,,,,,,
player,201009190den,sea,RobiMi00,rush_att,1,,,,,
player,201009190den,sea,RobiMi00,rush_yds,15,,,,,
player,201009190den,sea,RobiMi00,rush_td,0,,,,,
player,201009190den,sea,RobiMi00,rush_long,15,,,,,
player,201009190den,sea,RobiMi00,targets,1,,,,,
player,201009190den,sea,RobiMi00,rec,1,,,,,
player,201009190den,sea,RobiMi00,rec_yds,7,,,,,
player,201009190den,sea,RobiMi00,rec_td,0,,,,,
player,201009190den,sea,RobiMi00,rec_long,7,,,,,
player,201009190den,sea,RobiMi00,fumbles,0,,,,,
player,201009190den,sea,RobiMi00,fumbles_lost,,,,,,
player,201009190den,sea,JoneJu01,pass_cmp,0,,,,,
player,201009190den,sea,JoneJu01,pass_att,0,,,,,
player,201009190den,sea,JoneJu01,pass_yds,0,,,,,
player,201009190den,sea,JoneJu01,pass_td,0,,,,,
player,201009190den,sea,JoneJu01,pass_int,0,,,,,
player,201009190den,sea,JoneJu01,pass_sacked,,,,,,
player,201009190den,sea,JoneJu01,pass_sacked_yds,,,,,,
player,201009190den,sea,JoneJu01,pass_long,0,,,,,
player,201009190den,sea,JoneJu01,pass_rating,,,,,,
