game,2010,4,20101003,201010030buf,nyj,"New York Jets",38,buf,"Buffalo Bills",14
player,201010030buf,nyj,TomlLa00,rec_long,10,,,,,
player,201010030buf,nyj,TomlLa00,fumbles,0,,,,,
player,201010030buf,nyj,TomlLa00,fumbles_lost,,,,,,
player,201010030buf,nyj,GreeSh00,pass_cmp,0,,,,,
player,201010030buf,nyj,GreeSh00,pass_att,0,,,,,
player,201010030buf,nyj,GreeSh00,pass_yds,0,,,,,
player,201010030buf,nyj,GreeSh00,pass_td,0,,,,,
player,201010030buf,nyj,GreeSh00,pass_int,0,,,,,
player,201010030buf,nyj,GreeSh00,pass_sacked,,,,,,
player,201010030buf,nyj,GreeSh00,pass_sacked_yds,,,,,,
player,201010030buf,nyj,GreeSh00,pass_long,0,,,,,
player,201010030buf,nyj,GreeSh00,pass_rating,,,,,,
player,201010030buf,nyj,GreeSh00,rush_att,22,,,,,
player,201010030buf,nyj,GreeSh00,rush_yds,117,,,,,
player,201010030buf,nyj,GreeSh00,rush_td,0,,,,,
player,201010030buf,nyj,GreeSh00,rush_long,17,,,,,
player,201010030buf,nyj,GreeSh00,targets,0,,,,,
player,201010030buf,nyj,GreeSh00,rec,0,,,,,
player,201010030buf,nyj,GreeSh00,rec_yds,0,,,,,
player,201010030buf,nyj,GreeSh00,rec_td,0,,,,,
player,201010030buf,nyj,GreeSh00,rec_long,0,,,,,
player,201010030buf,nyj,GreeSh00,fumbles,0,,,,,
player,201010030buf,nyj,GreeSh00,fumbles_lost,,,,,,
player,201010030buf,nyj,McKnJo00,pass_cmp,0,,,,,
player,201010030buf,nyj,McKnJo00,pass_att,0,,,,,
player,201010030buf,nyj,McKnJo00,pass_yds,0,,,,,
player,201010030buf,nyj,McKnJo00,pass_td,0,,,,,
player,201010030buf,nyj,McKnJo00,pass_int,0,,,,,
player,201010030buf,nyj,McKnJo00,pass_sacked,,,,,,
player,201010030buf,nyj,McKnJo00,pass_sacked_yds,,,,,,
player,201010030buf,nyj,McKnJo00,pass_long,0,,,,,
player,201010030buf,nyj,McKnJo00,pass_rating,,,,,,
player,201010030buf,nyj,McKnJo00,rush_att,4,,,,,
player,201010030buf,nyj,McKnJo00,rush_yds,12,,,,,
player,201010030buf,nyj,McKnJo00,rush_td,0,,,,,
player,201010030buf,nyj,McKnJo00,rush_long,6,,,,,
player,201010030buf,nyj,McKnJo00,targets,0,,,,,
player,201010030buf,nyj,McKnJo00,rec,0,,,,,
player,201010030buf,nyj,McKnJo00,rec_yds,0,,,,,
player,201010030buf,nyj,McKnJo00,rec_td,0,,,,,
player,201010030buf,nyj,McKnJo00,rec_long,0,,,,,
player,201010030buf,nyj,McKnJo00,fumbles,0,,,,,
player,201010030buf,nyj,McKnJo00,fumbles_lost,,,,,,
player,201010030buf,nyj,EdwaBr00,pass_cmp,0,,,,,
player,201010030buf,nyj,EdwaBr00,pass_att,0,,,,,
player,201010030buf,nyj,EdwaBr00,pass_yds,0,,,,,
player,201010030buf,nyj,EdwaBr00,pass_td,0,,,,,
player,201010030buf,nyj,EdwaBr00,pass_int,0,,,,,
player,201010030buf,nyj,EdwaBr00,pass_sacked,,,,,,
player,201010030buf,nyj,EdwaBr00,pass_sacked_yds,,,,,,
player,201010030buf,nyj,EdwaBr00,pass_long,0,,,,,
player,201010030buf,nyj,EdwaBr00,pass_rating,,,,,,
player,201010030buf,nyj,EdwaBr00,rush_att,0,,,,,
player,201010030buf,nyj,EdwaBr00,rush_yds,0,,,,,
player,201010030buf,nyj,EdwaBr00,rush_td,0,,,,,
player,201010030buf,nyj,EdwaBr00,rush_long,0,,,,,
player,201010030buf,nyj,EdwaBr00,targets,7,,,,,
player,201010030buf,nyj,EdwaBr00,rec,4,,,,,
player,201010030buf,nyj,EdwaBr00,rec_yds,86,,,,,
player,201010030buf,nyj,EdwaBr00,rec_td,1,,,,,
player,201010030buf,nyj,EdwaBr00,rec_long,41,,,,,
player,201010030buf,nyj,EdwaBr00,fumbles,0,,,,,
player,201010030buf,nyj,EdwaBr00,fumbles_lost,,,,,,
player,201010030buf,nyj,KellDu00,pass_cmp,0,,,,,
player,201010030buf,nyj,KellDu00,pass_att,0,,,,,
player,201010030buf,nyj,KellDu00,pass_yds,0,,,,,
player,201010030buf,nyj,KellDu00,pass_td,0,,,,,
player,201010030buf,nyj,KellDu00,pass_int,0,,,,,
player,201010030buf,nyj,KellDu00,pass_sacked,,,,,,
player,201010030buf,nyj,KellDu00,pass_sacked_yds,,,,,,
player,201010030buf,nyj,KellDu00,pass_long,0,,,,,
player,201010030buf,nyj,KellDu00,pass_rating,,,,,,
player,201010030buf,nyj,KellDu00,rush_att,0,,,,,
player,201010030buf,nyj,KellDu00,rush_yds,0,,,,,
player,201010030buf,nyj,KellDu00,rush_td,0,,,,,
player,201010030buf,nyj,KellDu00,rush_long,0,,,,,
player,201010030buf,nyj,KellDu00,targets,6,,,,,
player,201010030buf,nyj,KellDu00,rec,4,,,,,
player,201010030buf,nyj,KellDu00,rec_yds,28,,,,,
player,201010030buf,nyj,KellDu00,rec_td,2,,,,,
player,201010030buf,nyj,KellDu00,rec_long,15,,,,,
player,201010030buf,nyj,KellDu00,fumbles,0,,,,,
player,201010030buf,nyj,KellDu00,fumbles_lost,,,,,,
player,201010030buf,nyj,CotcJe00,pass_cmp,0,,,,,
player,201010030buf,nyj,CotcJe00,pass_att,0,,,,,
player,201010030buf,nyj,CotcJe00,pass_yds,0,,,,,
player,201010030buf,nyj,CotcJe00,pass_td,0,,,,,
player,201010030buf,nyj,CotcJe00,pass_int,0,,,,,
player,201010030buf,nyj,CotcJe00,pass_sacked,,,,,,
player,201010030buf,nyj,CotcJe00,pass_sacked_yds,,,,,,
player,201010030buf,nyj,CotcJe00,pass_long,0,,,,,
player,201010030buf,nyj,CotcJe00,pass_rating,,,,,,
player,201010030buf,nyj,CotcJe00,rush_att,0,,,,,
player,201010030buf,nyj,CotcJe00,rush_yds,0,,,,,
player,201010030buf,nyj,CotcJe00,rush_td,0,,,,,
player,201010030buf,nyj,CotcJe00,rush_long,0,,,,,
player,201010030buf,nyj,CotcJe00,targets,5,,,,,
player,201010030buf,nyj,CotcJe00,rec,3,,,,,
player,201010030buf,nyj,CotcJe00,rec_yds,26,,,,,
player,201010030buf,nyj,CotcJe00,rec_td,0,,,,,
player,201010030buf,nyj,CotcJe00,rec_long,14,,,,,
player,201010030buf,nyj,CotcJe00,fumbles,0,,,,,
player,201010030buf,nyj,CotcJe00,fumbles_lost,,,,,,
player,201010030buf,nyj,HartBe00,pass_cmp,0,,,,,
player,201010030buf,nyj,HartBe00,pass_att,0,,,,,
player,201010030buf,nyj,HartBe00,pass_yds,0,,,,,
player,201010030buf,nyj,HartBe00,pass_td,0,,,,,
player,201010030buf,nyj,HartBe00,pass_int,0,,,,,
player,201010030buf,nyj,HartBe00,pass_sacked,,,,,,
player,201010030buf,nyj,HartBe00,pass_sacked_yds,,,,,,
player,201010030buf,nyj,HartBe00,pass_long,0,,,,,
player,201010030buf,nyj,HartBe00,pass_rating,,,,,,
player,201010030buf,nyj,HartBe00,rush_att,0,,,,,
player,201010030buf,nyj,HartBe00,rush_yds,0,,,,,
player,201010030buf,nyj,HartBe00,rush_td,0,,,,,
player,201010030buf,nyj,HartBe00,rush_long,0,,,,,
player,201010030buf,nyj,HartBe00,targets,2,,,,,
player,201010030buf,nyj,HartBe00,rec,1,,,,,
player,201010030buf,nyj,HartBe00,rec_yds,7,,,,,
player,201010030buf,nyj,HartBe00,rec_td,0,,,,,
player,201010030buf,nyj,HartBe00,rec_long,7,,,,,
