game,2010,5,20101010,201010100det,ram,"St. Louis Rams",6,det,"Detroit Lions",44
team,201010100det,ram,First Downs,23,,,,,,
team,201010100det,det,First Downs,20,,,,,,
team,201010100det,ram,Rush-Yds-TDs,28-128-0,,,,,,
team,201010100det,det,Rush-Yds-TDs,26-89-0,,,,,,
team,201010100det,ram,Cmp-Att-Yd-TD-INT,23-45-215-0-2,,,,,,
team,201010100det,det,Cmp-Att-Yd-TD-INT,22-34-238-3-0,,,,,,
team,201010100det,ram,Sacked-Yards,1-2,,,,,,
team,201010100det,det,Sacked-Yards,1-5,,,,,,
team,201010100det,ram,Net Pass Yards,213,,,,,,
team,201010100det,det,Net Pass Yards,233,,,,,,
team,201010100det,ram,Total Yards,341,,,,,,
team,201010100det,det,Total Yards,322,,,,,,
team,201010100det,ram,Fumbles-Lost,1-1,,,,,,
team,201010100det,det,Fumbles-Lost,1-0,,,,,,
team,201010100det,ram,Turnovers,3,,,,,,
team,201010100det,det,Turnovers,0,,,,,,
team,201010100det,ram,Penalties-Yards,7-40,,,,,,
team,201010100det,det,Penalties-Yards,11-78,,,,,,
team,201010100det,ram,Third Down Conv.,6-14,,,,,,
team,201010100det,det,Third Down Conv.,6-13,,,,,,
team,201010100det,ram,Fourth Down Conv.,0-2,,,,,,
team,201010100det,det,Fourth Down Conv.,0-0,,,,,,
team,201010100det,ram,Time of Possession,33:16,,,,,,
team,201010100det,det,Time of Possession,26:44,,,,,,
player,201010100det,ram,BradSa00,pass_cmp,23,,,,,
player,201010100det,ram,BradSa00,pass_att,45,,,,,
player,201010100det,ram,BradSa00,pass_yds,215,,,,,
player,201010100det,ram,BradSa00,pass_td,0,,,,,
player,201010100det,ram,BradSa00,pass_int,2,,,,,
player,201010100det,ram,BradSa00,pass_sacked,1,,,,,
player,201010100det,ram,BradSa00,pass_sacked_yds,2,,,,,
player,201010100det,ram,BradSa00,pass_long,30,,,,,
player,201010100det,ram,BradSa00,pass_rating,46.1,,,,,
player,201010100det,ram,BradSa00,rush_att,0,,,,,
player,201010100det,ram,BradSa00,rush_yds,0,,,,,
player,201010100det,ram,BradSa00,rush_td,0,,,,,
player,201010100det,ram,BradSa00,rush_long,0,,,,,
player,201010100det,ram,BradSa00,targets,0,,,,,
player,201010100det,ram,BradSa00,rec,0,,,,,
player,201010100det,ram,BradSa00,rec_yds,0,,,,,
player,201010100det,ram,BradSa00,rec_td,0,,,,,
player,201010100det,ram,BradSa00,rec_long,0,,,,,
player,201010100det,ram,BradSa00,fumbles,0,,,,,
player,201010100det,ram,BradSa00,fumbles_lost,,,,,,
player,201010100det,ram,JackSt00,pass_cmp,0,,,,,
player,201010100det,ram,JackSt00,pass_att,0,,,,,
player,201010100det,ram,JackSt00,pass_yds,0,,,,,
player,201010100det,ram,JackSt00,pass_td,0,,,,,
player,201010100det,ram,JackSt00,pass_int,0,,,,,
player,201010100det,ram,JackSt00,pass_sacked,,,,,,
player,201010100det,ram,JackSt00,pass_sacked_yds,,,,,,
player,201010100det,ram,JackSt00,pass_long,0,,,,,
player,201010100det,ram,JackSt00,pass_rating,,,,,,
player,201010100det,ram,JackSt00,rush_att,25,,,,,
player,201010100det,ram,JackSt00,rush_yds,114,,,,,
player,201010100det,ram,JackSt00,rush_td,0,,,,,
player,201010100det,ram,JackSt00,rush_long,17,,,,,
player,201010100det,ram,JackSt00,targets,3,,,,,
player,201010100det,ram,JackSt00,rec,1,,,,,
player,201010100det,ram,JackSt00,rec_yds,12,,,,,
player,201010100det,ram,JackSt00,rec_td,0,,,,,
player,201010100det,ram,JackSt00,rec_long,12,,,,,
player,201010100det,ram,JackSt00,fumbles,0,,,,,
player,201010100det,ram,JackSt00,fumbles_lost,,,,,,
player,201010100det,ram,DarbKe00,pass_cmp,0,,,,,
player,201010100det,ram,DarbKe00,pass_att,0,,,,,
player,201010100det,ram,DarbKe00,pass_yds,0,,,,,
player,201010100det,ram,DarbKe00,pass_td,0,,,,,
player,201010100det,ram,DarbKe00,pass_int,0,,,,,
player,201010100det,ram,DarbKe00,pass_sacked,,,,,,
player,201010100det,ram,DarbKe00,pass_sacked_yds,,,,,,
player,201010100det,ram,DarbKe00,pass_long,0,,,,,
player,201010100det,ram,DarbKe00,pass_rating,,,,,,
player,201010100det,ram,DarbKe00,rush_att,3,,,,,
player,201010100det,ram,DarbKe00,rush_yds,14,,,,,
player,201010100det,ram,DarbKe00,rush_td,0,,,,,
player,201010100det,ram,DarbKe00,rush_long,9,,,,,
player,201010100det,ram,DarbKe00,targets,1,,,,,
player,201010100det,ram,DarbKe00,rec,1,,,,,
player,201010100det,ram,DarbKe00,rec_yds,3,,,,,
player,201010100det,ram,DarbKe00,rec_td,0,,,,,
player,201010100det,ram,DarbKe00,rec_long,3,,,,,
player,201010100det,ram,DarbKe00,fumbles,0,,,,,
player,201010100det,ram,DarbKe00,fumbles_lost,,,,,,
player,201010100det,ram,AmenDa00,pass_cmp,0,,,,,
player,201010100det,ram,AmenDa00,pass_att,0,,,,,
player,201010100det,ram,AmenDa00,pass_yds,0,,,,,
player,201010100det,ram,AmenDa00,pass_td,0,,,,,
player,201010100det,ram,AmenDa00,pass_int,0,,,,,
player,201010100det,ram,AmenDa00,pass_sacked,,,,,,
player,201010100det,ram,AmenDa00,pass_sacked_yds,,,,,,
player,201010100det,ram,AmenDa00,pass_long,0,,,,,
player,201010100det,ram,AmenDa00,pass_rating,,,,,,
player,201010100det,ram,AmenDa00,rush_att,0,,,,,
player,201010100det,ram,AmenDa00,rush_yds,0,,,,,
player,201010100det,ram,AmenDa00,rush_td,0,,,,,
player,201010100det,ram,AmenDa00,rush_long,0,,,,,
player,201010100det,ram,AmenDa00,targets,19,,,,,
player,201010100det,ram,AmenDa00,rec,12,,,,,
player,201010100det,ram,AmenDa00,rec_yds,95,,,,,
player,201010100det,ram,AmenDa00,rec_td,0,,,,,
player,201010100det,ram,AmenDa00,rec_long,18,,,,,
player,201010100det,ram,AmenDa00,fumbles,1,,,,,
player,201010100det,ram,AmenDa00,fumbles_lost,,,,,,
player,201010100det,ram,GibsBr00,pass_cmp,0,,,,,
player,201010100det,ram,GibsBr00,pass_att,0,,,,,
player,201010100det,ram,GibsBr00,pass_yds,0,,,,,
player,201010100det,ram,GibsBr00,pass_td,0,,,,,
player,201010100det,ram,GibsBr00,pass_int,0,,,,,
player,201010100det,ram,GibsBr00,pass_sacked,,,,,,
player,201010100det,ram,GibsBr00,pass_sacked_yds,,,,,,
player,201010100det,ram,GibsBr00,pass_long,0,,,,,
player,201010100det,ram,GibsBr00,pass_rating,,,,,,
player,201010100det,ram,GibsBr00,rush_att,0,,,,,
player,201010100det,ram,GibsBr00,rush_yds,0,,,,,
player,201010100det,ram,GibsBr00,rush_td,0,,,,,
player,201010100det,ram,GibsBr00,rush_long,0,,,,,
player,201010100det,ram,GibsBr00,targets,6,,,,,
player,201010100det,ram,GibsBr00,rec,2,,,,,
player,201010100det,ram,GibsBr00,rec_yds,34,,,,,
player,201010100det,ram,GibsBr00,rec_td,0,,,,,
player,201010100det,ram,GibsBr00,rec_long,30,,,,,
player,201010100det,ram,GibsBr00,fumbles,0,,,,,
player,201010100det,ram,GibsBr00,fumbles_lost,,,,,,
player,201010100det,ram,FellDa00,pass_cmp,0,,,,,
player,201010100det,ram,FellDa00,pass_att,0,,,,,
player,201010100det,ram,FellDa00,pass_yds,0,,,,,
player,201010100det,ram,FellDa00,pass_td,0,,,,,
player,201010100det,ram,FellDa00,pass_int,0,,,,,
player,201010100det,ram,FellDa00,pass_sacked,,,,,,
player,201010100det,ram,FellDa00,pass_sacked_yds,,,,,,
player,201010100det,ram,FellDa00,pass_long,0,,,,,
player,201010100det,ram,FellDa00,pass_rating,,,,,,
player,201010100det,ram,FellDa00,rush_att,0,,,,,
player,201010100det,ram,FellDa00,rush_yds,0,,,,,
player,201010100det,ram,FellDa00,rush_td,0,,,,,
player,201010100det,ram,FellDa00,rush_long,0,,,,,
player,201010100det,ram,FellDa00,targets,6,,,,,
player,201010100det,ram,FellDa00,rec,3,,,,,
player,201010100det,ram,FellDa00,rec_yds,32,,,,,
player,201010100det,ram,FellDa00,rec_td,0,,,,,
player,201010100det,ram,FellDa00,rec_long,27,,,,,
player,201010100det,ram,FellDa00,fumbles,0,,,,,
player,201010100det,ram,FellDa00,fumbles_lost,,,,,,
player,201010100det,ram,GilyMa00,pass_cmp,0,,,,,
player,201010100det,ram,GilyMa00,pass_att,0,,,,,
player,201010100det,ram,GilyMa00,pass_yds,0,,,,,
player,201010100det,ram,GilyMa00,pass_td,0,,,,,
player,201010100det,ram,GilyMa00,pass_int,0,,,,,
player,201010100det,ram,GilyMa00,pass_sacked,,,,,,
player,201010100det,ram,GilyMa00,pass_sacked_yds,,,,,,
player,201010100det,ram,GilyMa00,pass_long,0,,,,,
player,201010100det,ram,GilyMa00,pass_rating,,,,,,
player,201010100det,ram,GilyMa00,rush_att,0,,,,,
player,201010100det,ram,GilyMa00,rush_yds,0,,,,,
player,201010100det,ram,GilyMa00,rush_td,0,,,,,
player,201010100det,ram,GilyMa00,rush_long,0,,,,,
player,201010100det,ram,GilyMa00,targets,6,,,,,
player,201010100det,ram,GilyMa00,rec,2,,,,,
player,201010100det,ram,GilyMa00,rec_yds,22,,,,,
player,201010100det,ram,GilyMa00,rec_td,0,,,,,
player,201010100det,ram,GilyMa00,rec_long,17,,,,,
player,201010100det,ram,GilyMa00,fumbles,0,,,,,
player,201010100det,ram,GilyMa00,fumbles_lost,,,,,,
player,201010100det,ram,RobiLa01,pass_cmp,0,,,,,
player,201010100det,ram,RobiLa01,pass_att,0,,,,,
player,201010100det,ram,RobiLa01,pass_yds,0,,,,,
player,201010100det,ram,RobiLa01,pass_td,0,,,,,
player,201010100det,ram,RobiLa01,pass_int,0,,,,,
player,201010100det,ram,RobiLa01,pass_sacked,,,,,,
player,201010100det,ram,RobiLa01,pass_sacked_yds,,,,,,
player,201010100det,ram,RobiLa01,pass_long,0,,,,,
player,201010100det,ram,RobiLa01,pass_rating,,,,,,
player,201010100det,ram,RobiLa01,rush_att,0,,,,,
player,201010100det,ram,RobiLa01,rush_yds,0,,,,,
player,201010100det,ram,RobiLa01,rush_td,0,,,,,
player,201010100det,ram,RobiLa01,rush_long,0,,,,,
player,201010100det,ram,RobiLa01,targets,2,,,,,
player,201010100det,ram,RobiLa01,rec,1,,,,,
player,201010100det,ram,RobiLa01,rec_yds,11,,,,,
player,201010100det,ram,RobiLa01,rec_td,0,,,,,
player,201010100det,ram,RobiLa01,rec_long,11,,,,,
player,201010100det,ram,RobiLa01,fumbles,0,,,,,
player,201010100det,ram,RobiLa01,fumbles_lost,,,,,,
player,201010100det,ram,ClayMa01,pass_cmp,0,,,,,
player,201010100det,ram,ClayMa01,pass_att,0,,,,,
player,201010100det,ram,ClayMa01,pass_yds,0,,,,,
player,201010100det,ram,ClayMa01,pass_td,0,,,,,
player,201010100det,ram,ClayMa01,pass_int,0,,,,,
player,201010100det,ram,ClayMa01,pass_sacked,,,,,,
