game,2010,15,20101219,201012190car,crd,"Arizona Cardinals",12,car,"Carolina Panthers",19
team,201012190car,crd,First Downs,11,,,,,,
team,201012190car,car,First Downs,16,,,,,,
team,201012190car,crd,Rush-Yds-TDs,17-43-0,,,,,,
team,201012190car,car,Rush-Yds-TDs,45-177-0,,,,,,
team,201012190car,crd,Cmp-Att-Yd-TD-INT,17-33-196-0-1,,,,,,
team,201012190car,car,Cmp-Att-Yd-TD-INT,13-19-141-1-0,,,,,,
team,201012190car,crd,Sacked-Yards,3-21,,,,,,
team,201012190car,car,Sacked-Yards,2-15,,,,,,
team,201012190car,crd,Net Pass Yards,175,,,,,,
team,201012190car,car,Net Pass Yards,126,,,,,,
team,201012190car,crd,Total Yards,218,,,,,,
team,201012190car,car,Total Yards,303,,,,,,
team,201012190car,crd,Fumbles-Lost,2-1,,,,,,
team,201012190car,car,Fumbles-Lost,1-1,,,,,,
team,201012190car,crd,Turnovers,2,,,,,,
team,201012190car,car,Turnovers,1,,,,,,
team,201012190car,crd,Penalties-Yards,4-39,,,,,,
team,201012190car,car,Penalties-Yards,6-58,,,,,,
team,201012190car,crd,Third Down Conv.,4-15,,,,,,
team,201012190car,car,Third Down Conv.,4-15,,,,,,
team,201012190car,crd,Fourth Down Conv.,1-1,,,,,,
team,201012190car,car,Fourth Down Conv.,2-3,,,,,,
team,201012190car,crd,Time of Possession,23:04,,,,,,
team,201012190car,car,Time of Possession,36:56,,,,,,
player,201012190car,crd,SkelJo00,pass_cmp,17,,,,,
player,201012190car,crd,SkelJo00,pass_att,33,,,,,
player,201012190car,crd,SkelJo00,pass_yds,196,,,,,
player,201012190car,crd,SkelJo00,pass_td,0,,,,,
player,201012190car,crd,SkelJo00,pass_int,1,,,,,
player,201012190car,crd,SkelJo00,pass_sacked,3,,,,,
player,201012190car,crd,SkelJo00,pass_sacked_yds,21,,,,,
player,201012190car,crd,SkelJo00,pass_long,41,,,,,
player,201012190car,crd,SkelJo00,pass_rating,57.1,,,,,
player,201012190car,crd,SkelJo00,rush_att,2,,,,,
player,201012190car,crd,SkelJo00,rush_yds,10,,,,,
player,201012190car,crd,SkelJo00,rush_td,0,,,,,
player,201012190car,crd,SkelJo00,rush_long,6,,,,,
player,201012190car,crd,SkelJo00,targets,0,,,,,
