game,2010,11,20101121,201011210nwe,clt,"Indianapolis Colts",28,nwe,"New England Patriots",31
team,201011210nwe,clt,First Downs,28,,,,,,
team,201011210nwe,nwe,First Downs,22,,,,,,
team,201011210nwe,clt,Rush-Yds-TDs,20-71-0,,,,,,
team,201011210nwe,nwe,Rush-Yds-TDs,34-168-2,,,,,,
team,201011210nwe,clt,Cmp-Att-Yd-TD-INT,38-52-396-4-3,,,,,,
team,201011210nwe,nwe,Cmp-Att-Yd-TD-INT,19-25-186-2-0,,,,,,
team,201011210nwe,clt,Sacked-Yards,0-0,,,,,,
team,201011210nwe,nwe,Sacked-Yards,1-8,,,,,,
team,201011210nwe,clt,Net Pass Yards,396,,,,,,
team,201011210nwe,nwe,Net Pass Yards,178,,,,,,
team,201011210nwe,clt,Total Yards,467,,,,,,
team,201011210nwe,nwe,Total Yards,346,,,,,,
team,201011210nwe,clt,Fumbles-Lost,0-0,,,,,,
team,201011210nwe,nwe,Fumbles-Lost,1-0,,,,,,
team,201011210nwe,clt,Turnovers,3,,,,,,
team,201011210nwe,nwe,Turnovers,0,,,,,,
team,201011210nwe,clt,Penalties-Yards,6-48,,,,,,
team,201011210nwe,nwe,Penalties-Yards,1-15,,,,,,
team,201011210nwe,clt,Third Down Conv.,11-14,,,,,,
team,201011210nwe,nwe,Third Down Conv.,7-11,,,,,,
team,201011210nwe,clt,Fourth Down Conv.,0-0,,,,,,
team,201011210nwe,nwe,Fourth Down Conv.,0-0,,,,,,
team,201011210nwe,clt,Time of Possession,29:21,,,,,,
team,201011210nwe,nwe,Time of Possession,30:39,,,,,,
player,201011210nwe,clt,MannPe00,pass_cmp,38,,,,,
player,201011210nwe,clt,MannPe00,pass_att,52,,,,,
player,201011210nwe,clt,MannPe00,pass_yds,396,,,,,
player,201011210nwe,clt,MannPe00,pass_td,4,,,,,
player,201011210nwe,clt,MannPe00,pass_int,3,,,,,
player,201011210nwe,clt,MannPe00,pass_sacked,0,,,,,
player,201011210nwe,clt,MannPe00,pass_sacked_yds,0,,,,,
player,201011210nwe,clt,MannPe00,pass_long,28,,,,,
player,201011210nwe,clt,MannPe00,pass_rating,96.3,,,,,
player,201011210nwe,clt,MannPe00,rush_att,0,,,,,
player,201011210nwe,clt,MannPe00,rush_yds,0,,,,,
player,201011210nwe,clt,MannPe00,rush_td,0,,,,,
player,201011210nwe,clt,MannPe00,rush_long,0,,,,,
player,201011210nwe,clt,MannPe00,targets,0,,,,,
player,201011210nwe,clt,MannPe00,rec,0,,,,,
player,201011210nwe,clt,MannPe00,rec_yds,0,,,,,
player,201011210nwe,clt,MannPe00,rec_td,0,,,,,
player,201011210nwe,clt,MannPe00,rec_long,0,,,,,
player,201011210nwe,clt,MannPe00,fumbles,0,,,,,
player,201011210nwe,clt,MannPe00,fumbles_lost,,,,,,
player,201011210nwe,clt,BrowDo00,pass_cmp,0,,,,,
player,201011210nwe,clt,BrowDo00,pass_att,0,,,,,
player,201011210nwe,clt,BrowDo00,pass_yds,0,,,,,
player,201011210nwe,clt,BrowDo00,pass_td,0,,,,,
player,201011210nwe,clt,BrowDo00,pass_int,0,,,,,
player,201011210nwe,clt,BrowDo00,pass_sacked,,,,,,
player,201011210nwe,clt,BrowDo00,pass_sacked_yds,,,,,,
player,201011210nwe,clt,BrowDo00,pass_long,0,,,,,
player,201011210nwe,clt,BrowDo00,pass_rating,,,,,,
player,201011210nwe,clt,BrowDo00,rush_att,17,,,,,
