game,2010,6,20101017,201010170pit,cle,"Cleveland Browns",10,pit,"Pittsburgh Steelers",28
team,201010170pit,cle,First Downs,17,,,,,,
team,201010170pit,pit,First Downs,22,,,,,,
team,201010170pit,cle,Rush-Yds-TDs,21-69-0,,,,,,
team,201010170pit,pit,Rush-Yds-TDs,35-121-1,,,,,,
team,201010170pit,cle,Cmp-Att-Yd-TD-INT,23-33-281-1-2,,,,,,
team,201010170pit,pit,Cmp-Att-Yd-TD-INT,16-27-257-3-1,,,,,,
team,201010170pit,cle,Sacked-Yards,6-23,,,,,,
team,201010170pit,pit,Sacked-Yards,0-0,,,,,,
team,201010170pit,cle,Net Pass Yards,258,,,,,,
team,201010170pit,pit,Net Pass Yards,257,,,,,,
team,201010170pit,cle,Total Yards,327,,,,,,
team,201010170pit,pit,Total Yards,378,,,,,,
team,201010170pit,cle,Fumbles-Lost,2-1,,,,,,
team,201010170pit,pit,Fumbles-Lost,1-0,,,,,,
team,201010170pit,cle,Turnovers,3,,,,,,
team,201010170pit,pit,Turnovers,1,,,,,,
team,201010170pit,cle,Penalties-Yards,3-41,,,,,,
team,201010170pit,pit,Penalties-Yards,4-25,,,,,,
team,201010170pit,cle,Third Down Conv.,6-13,,,,,,
team,201010170pit,pit,Third Down Conv.,7-14,,,,,,
team,201010170pit,cle,Fourth Down Conv.,0-0,,,,,,
team,201010170pit,pit,Fourth Down Conv.,0-0,,,,,,
team,201010170pit,cle,Time of Possession,28:04,,,,,,
team,201010170pit,pit,Time of Possession,31:56,,,,,,
player,201010170pit,cle,McCoCo00,pass_cmp,23,,,,,
player,201010170pit,cle,McCoCo00,pass_att,33,,,,,
player,201010170pit,cle,McCoCo00,pass_yds,281,,,,,
player,201010170pit,cle,McCoCo00,pass_td,1,,,,,
player,201010170pit,cle,McCoCo00,pass_int,2,,,,,
player,201010170pit,cle,McCoCo00,pass_sacked,5,,,,,
player,201010170pit,cle,McCoCo00,pass_sacked_yds,23,,,,,
player,201010170pit,cle,McCoCo00,pass_long,34,,,,,
player,201010170pit,cle,McCoCo00,pass_rating,80.5,,,,,
player,201010170pit,cle,McCoCo00,rush_att,4,,,,,
player,201010170pit,cle,McCoCo00,rush_yds,22,,,,,
player,201010170pit,cle,McCoCo00,rush_td,0,,,,,
player,201010170pit,cle,McCoCo00,rush_long,9,,,,,
player,201010170pit,cle,McCoCo00,targets,0,,,,,
player,201010170pit,cle,McCoCo00,rec,0,,,,,
player,201010170pit,cle,McCoCo00,rec_yds,0,,,,,
player,201010170pit,cle,McCoCo00,rec_td,0,,,,,
player,201010170pit,cle,McCoCo00,rec_long,0,,,,,
player,201010170pit,cle,McCoCo00,fumbles,0,,,,,
player,201010170pit,cle,McCoCo00,fumbles_lost,,,,,,
player,201010170pit,cle,HillPe00,pass_cmp,0,,,,,
player,201010170pit,cle,HillPe00,pass_att,0,,,,,
player,201010170pit,cle,HillPe00,pass_yds,0,,,,,
player,201010170pit,cle,HillPe00,pass_td,0,,,,,
player,201010170pit,cle,HillPe00,pass_int,0,,,,,
player,201010170pit,cle,HillPe00,pass_sacked,0,,,,,
player,201010170pit,cle,HillPe00,pass_sacked_yds,,,,,,
player,201010170pit,cle,HillPe00,pass_long,0,,,,,
player,201010170pit,cle,HillPe00,pass_rating,,,,,,
player,201010170pit,cle,HillPe00,rush_att,12,,,,,
player,201010170pit,cle,HillPe00,rush_yds,41,,,,,
player,201010170pit,cle,HillPe00,rush_td,0,,,,,
player,201010170pit,cle,HillPe00,rush_long,14,,,,,
player,201010170pit,cle,HillPe00,targets,7,,,,,
player,201010170pit,cle,HillPe00,rec,6,,,,,
player,201010170pit,cle,HillPe00,rec_yds,49,,,,,
player,201010170pit,cle,HillPe00,rec_td,0,,,,,
player,201010170pit,cle,HillPe00,rec_long,23,,,,,
player,201010170pit,cle,HillPe00,fumbles,0,,,,,
player,201010170pit,cle,HillPe00,fumbles_lost,,,,,,
player,201010170pit,cle,BellMi00,pass_cmp,0,,,,,
player,201010170pit,cle,BellMi00,pass_att,0,,,,,
player,201010170pit,cle,BellMi00,pass_yds,0,,,,,
player,201010170pit,cle,BellMi00,pass_td,0,,,,,
player,201010170pit,cle,BellMi00,pass_int,0,,,,,
player,201010170pit,cle,BellMi00,pass_sacked,,,,,,
player,201010170pit,cle,BellMi00,pass_sacked_yds,,,,,,
player,201010170pit,cle,BellMi00,pass_long,0,,,,,
