game,2010,7,20101024,201010240kan,jax,"Jacksonville Jaguars",20,kan,"Kansas City Chiefs",42
team,201010240kan,jax,First Downs,19,,,,,,
team,201010240kan,kan,First Downs,25,,,,,,
team,201010240kan,jax,Rush-Yds-TDs,23-84-0,,,,,,
team,201010240kan,kan,Rush-Yds-TDs,42-236-3,,,,,,
team,201010240kan,jax,Cmp-Att-Yd-TD-INT,18-34-222-2-2,,,,,,
team,201010240kan,kan,Cmp-Att-Yd-TD-INT,13-18-193-2-0,,,,,,
team,201010240kan,jax,Sacked-Yards,1-6,,,,,,
team,201010240kan,kan,Sacked-Yards,1-3,,,,,,
team,201010240kan,jax,Net Pass Yards,216,,,,,,
team,201010240kan,kan,Net Pass Yards,190,,,,,,
team,201010240kan,jax,Total Yards,300,,,,,,
team,201010240kan,kan,Total Yards,426,,,,,,
team,201010240kan,jax,Fumbles-Lost,2-1,,,,,,
team,201010240kan,kan,Fumbles-Lost,0-0,,,,,,
team,201010240kan,jax,Turnovers,3,,,,,,
team,201010240kan,kan,Turnovers,0,,,,,,
team,201010240kan,jax,Penalties-Yards,6-43,,,,,,
team,201010240kan,kan,Penalties-Yards,7-92,,,,,,
team,201010240kan,jax,Third Down Conv.,3-10,,,,,,
team,201010240kan,kan,Third Down Conv.,6-11,,,,,,
team,201010240kan,jax,Fourth Down Conv.,1-1,,,,,,
team,201010240kan,kan,Fourth Down Conv.,1-2,,,,,,
team,201010240kan,jax,Time of Possession,26:00,,,,,,
team,201010240kan,kan,Time of Possession,34:00,,,,,,
player,201010240kan,jax,BoumTo00,pass_cmp,18,,,,,
player,201010240kan,jax,BoumTo00,pass_att,34,,,,,
player,201010240kan,jax,BoumTo00,pass_yds,222,,,,,
player,201010240kan,jax,BoumTo00,pass_td,2,,,,,
player,201010240kan,jax,BoumTo00,pass_int,2,,,,,
player,201010240kan,jax,BoumTo00,pass_sacked,1,,,,,
player,201010240kan,jax,BoumTo00,pass_sacked_yds,6,,,,,
player,201010240kan,jax,BoumTo00,pass_long,29,,,,,
player,201010240kan,jax,BoumTo00,pass_rating,68.5,,,,,
player,201010240kan,jax,BoumTo00,rush_att,2,,,,,
player,201010240kan,jax,BoumTo00,rush_yds,8,,,,,
player,201010240kan,jax,BoumTo00,rush_td,0,,,,,
player,201010240kan,jax,BoumTo00,rush_long,6,,,,,
player,201010240kan,jax,BoumTo00,targets,0,,,,,
player,201010240kan,jax,BoumTo00,rec,0,,,,,
player,201010240kan,jax,BoumTo00,rec_yds,0,,,,,
player,201010240kan,jax,BoumTo00,rec_td,0,,,,,
player,201010240kan,jax,BoumTo00,rec_long,0,,,,,
player,201010240kan,jax,BoumTo00,fumbles,0,,,,,
player,201010240kan,jax,BoumTo00,fumbles_lost,,,,,,
player,201010240kan,jax,DrewMa00,pass_cmp,0,,,,,
player,201010240kan,jax,DrewMa00,pass_att,0,,,,,
player,201010240kan,jax,DrewMa00,pass_yds,0,,,,,
