game,2010,1,20100912,201009120nwe,cin,"Cincinnati Bengals",24,nwe,"New England Patriots",38
team,201009120nwe,cin,First Downs,26,,,,,,
team,201009120nwe,nwe,First Downs,20,,,,,,
team,201009120nwe,cin,Rush-Yds-TDs,25-87-1,,,,,,
team,201009120nwe,nwe,Rush-Yds-TDs,23-118-0,,,,,,
team,201009120nwe,cin,Cmp-Att-Yd-TD-INT,34-50-345-2-1,,,,,,
team,201009120nwe,nwe,Cmp-Att-Yd-TD-INT,25-35-258-3-0,,,,,,
team,201009120nwe,cin,Sacked-Yards,1-4,,,,,,
team,201009120nwe,nwe,Sacked-Yards,0-0,,,,,,
team,201009120nwe,cin,Net Pass Yards,341,,,,,,
team,201009120nwe,nwe,Net Pass Yards,258,,,,,,
team,201009120nwe,cin,Total Yards,428,,,,,,
team,201009120nwe,nwe,Total Yards,376,,,,,,
team,201009120nwe,cin,Fumbles-Lost,2-1,,,,,,
team,201009120nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201009120nwe,cin,Turnovers,2,,,,,,
team,201009120nwe,nwe,Turnovers,0,,,,,,
team,201009120nwe,cin,Penalties-Yards,2-5,,,,,,
team,201009120nwe,nwe,Penalties-Yards,6-30,,,,,,
team,201009120nwe,cin,Third Down Conv.,8-15,,,,,,
team,201009120nwe,nwe,Third Down Conv.,9-13,,,,,,
team,201009120nwe,cin,Fourth Down Conv.,3-3,,,,,,
team,201009120nwe,nwe,Fourth Down Conv.,0-1,,,,,,
team,201009120nwe,cin,Time of Possession,31:50,,,,,,
team,201009120nwe,nwe,Time of Possession,28:10,,,,,,
player,201009120nwe,cin,PalmCa00,pass_cmp,34,,,,,
player,201009120nwe,cin,PalmCa00,pass_att,50,,,,,
player,201009120nwe,cin,PalmCa00,pass_yds,345,,,,,
player,201009120nwe,cin,PalmCa00,pass_td,2,,,,,
player,201009120nwe,cin,PalmCa00,pass_int,1,,,,,
player,201009120nwe,cin,PalmCa00,pass_sacked,1,,,,,
player,201009120nwe,cin,PalmCa00,pass_sacked_yds,4,,,,,
player,201009120nwe,cin,PalmCa00,pass_long,51,,,,,
player,201009120nwe,cin,PalmCa00,pass_rating,92.5,,,,,
player,201009120nwe,cin,PalmCa00,rush_att,4,,,,,
player,201009120nwe,cin,PalmCa00,rush_yds,9,,,,,
player,201009120nwe,cin,PalmCa00,rush_td,0,,,,,
player,201009120nwe,cin,PalmCa00,rush_long,7,,,,,
player,201009120nwe,cin,PalmCa00,targets,0,,,,,
player,201009120nwe,cin,PalmCa00,rec,0,,,,,
player,201009120nwe,cin,PalmCa00,rec_yds,0,,,,,
player,201009120nwe,cin,PalmCa00,rec_td,0,,,,,
player,201009120nwe,cin,PalmCa00,rec_long,0,,,,,
player,201009120nwe,cin,PalmCa00,fumbles,1,,,,,
player,201009120nwe,cin,PalmCa00,fumbles_lost,0,,,,,
player,201009120nwe,cin,BensCe00,pass_cmp,0,,,,,
player,201009120nwe,cin,BensCe00,pass_att,0,,,,,
player,201009120nwe,cin,BensCe00,pass_yds,0,,,,,
player,201009120nwe,cin,BensCe00,pass_td,0,,,,,
player,201009120nwe,cin,BensCe00,pass_int,0,,,,,
player,201009120nwe,cin,BensCe00,pass_sacked,,,,,,
player,201009120nwe,cin,BensCe00,pass_sacked_yds,,,,,,
player,201009120nwe,cin,BensCe00,pass_long,0,,,,,
