game,2010,1,20100912,201009120oti,rai,"Oakland Raiders",13,oti,"Tennessee Titans",38
player,201009120oti,rai,MurpLo00,pass_att,0,,,,,
player,201009120oti,rai,MurpLo00,pass_yds,0,,,,,
player,201009120oti,rai,MurpLo00,pass_td,0,,,,,
player,201009120oti,rai,MurpLo00,pass_int,0,,,,,
player,201009120oti,rai,MurpLo00,pass_sacked,,,,,,
player,201009120oti,rai,MurpLo00,pass_sacked_yds,,,,,,
player,201009120oti,rai,MurpLo00,pass_long,0,,,,,
player,201009120oti,rai,MurpLo00,pass_rating,,,,,,
player,201009120oti,rai,MurpLo00,rush_att,0,,,,,
player,201009120oti,rai,MurpLo00,rush_yds,0,,,,,
player,201009120oti,rai,MurpLo00,rush_td,0,,,,,
player,201009120oti,rai,MurpLo00,rush_long,0,,,,,
player,201009120oti,rai,MurpLo00,targets,7,,,,,
player,201009120oti,rai,MurpLo00,rec,4,,,,,
player,201009120oti,rai,MurpLo00,rec_yds,28,,,,,
player,201009120oti,rai,MurpLo00,rec_td,0,,,,,
player,201009120oti,rai,MurpLo00,rec_long,16,,,,,
player,201009120oti,rai,MurpLo00,fumbles,0,,,,,
player,201009120oti,rai,MurpLo00,fumbles_lost,,,,,,
player,201009120oti,rai,FiguYa00,pass_cmp,0,,,,,
player,201009120oti,rai,FiguYa00,pass_att,0,,,,,
player,201009120oti,rai,FiguYa00,pass_yds,0,,,,,
player,201009120oti,rai,FiguYa00,pass_td,0,,,,,
player,201009120oti,rai,FiguYa00,pass_int,0,,,,,
player,201009120oti,rai,FiguYa00,pass_sacked,,,,,,
player,201009120oti,rai,FiguYa00,pass_sacked_yds,,,,,,
player,201009120oti,rai,FiguYa00,pass_long,0,,,,,
player,201009120oti,rai,FiguYa00,pass_rating,,,,,,
player,201009120oti,rai,FiguYa00,rush_att,0,,,,,
player,201009120oti,rai,FiguYa00,rush_yds,0,,,,,
player,201009120oti,rai,FiguYa00,rush_td,0,,,,,
player,201009120oti,rai,FiguYa00,rush_long,0,,,,,
player,201009120oti,rai,FiguYa00,targets,2,,,,,
player,201009120oti,rai,FiguYa00,rec,2,,,,,
player,201009120oti,rai,FiguYa00,rec_yds,17,,,,,
player,201009120oti,rai,FiguYa00,rec_td,0,,,,,
player,201009120oti,rai,FiguYa00,rec_long,11,,,,,
player,201009120oti,rai,FiguYa00,fumbles,1,,,,,
player,201009120oti,rai,FiguYa00,fumbles_lost,0,,,,,
player,201009120oti,rai,HeywDa00,pass_cmp,0,,,,,
player,201009120oti,rai,HeywDa00,pass_att,0,,,,,
player,201009120oti,rai,HeywDa00,pass_yds,0,,,,,
player,201009120oti,rai,HeywDa00,pass_td,0,,,,,
player,201009120oti,rai,HeywDa00,pass_int,0,,,,,
player,201009120oti,rai,HeywDa00,pass_sacked,,,,,,
player,201009120oti,rai,HeywDa00,pass_sacked_yds,,,,,,
player,201009120oti,rai,HeywDa00,pass_long,0,,,,,
player,201009120oti,rai,HeywDa00,pass_rating,,,,,,
player,201009120oti,rai,HeywDa00,rush_att,0,,,,,
player,201009120oti,rai,HeywDa00,rush_yds,0,,,,,
player,201009120oti,rai,HeywDa00,rush_td,0,,,,,
player,201009120oti,rai,HeywDa00,rush_long,0,,,,,
player,201009120oti,rai,HeywDa00,targets,2,,,,,
player,201009120oti,rai,HeywDa00,rec,1,,,,,
player,201009120oti,rai,HeywDa00,rec_yds,11,,,,,
player,201009120oti,rai,HeywDa00,rec_td,0,,,,,
player,201009120oti,rai,HeywDa00,rec_long,11,,,,,
player,201009120oti,rai,HeywDa00,fumbles,0,,,,,
player,201009120oti,rai,HeywDa00,fumbles_lost,,,,,,
player,201009120oti,rai,CartRo01,pass_cmp,0,,,,,
player,201009120oti,rai,CartRo01,pass_att,0,,,,,
player,201009120oti,rai,CartRo01,pass_yds,0,,,,,
player,201009120oti,rai,CartRo01,pass_td,0,,,,,
player,201009120oti,rai,CartRo01,pass_int,0,,,,,
player,201009120oti,rai,CartRo01,pass_sacked,,,,,,
player,201009120oti,rai,CartRo01,pass_sacked_yds,,,,,,
player,201009120oti,rai,CartRo01,pass_long,0,,,,,
player,201009120oti,rai,CartRo01,pass_rating,,,,,,
player,201009120oti,rai,CartRo01,rush_att,0,,,,,
player,201009120oti,rai,CartRo01,rush_yds,0,,,,,
player,201009120oti,rai,CartRo01,rush_td,0,,,,,
player,201009120oti,rai,CartRo01,rush_long,0,,,,,
player,201009120oti,rai,CartRo01,targets,2,,,,,
player,201009120oti,rai,CartRo01,rec,1,,,,,
player,201009120oti,rai,CartRo01,rec_yds,10,,,,,
player,201009120oti,rai,CartRo01,rec_td,0,,,,,
player,201009120oti,rai,CartRo01,rec_long,10,,,,,
player,201009120oti,rai,CartRo01,fumbles,0,,,,,
player,201009120oti,rai,CartRo01,fumbles_lost,,,,,,
player,201009120oti,rai,MyerBr00,pass_cmp,0,,,,,
player,201009120oti,rai,MyerBr00,pass_att,0,,,,,
player,201009120oti,rai,MyerBr00,pass_yds,0,,,,,
player,201009120oti,rai,MyerBr00,pass_td,0,,,,,
player,201009120oti,rai,MyerBr00,pass_int,0,,,,,
player,201009120oti,rai,MyerBr00,pass_sacked,,,,,,
player,201009120oti,rai,MyerBr00,pass_sacked_yds,,,,,,
player,201009120oti,rai,MyerBr00,pass_long,0,,,,,
player,201009120oti,rai,MyerBr00,pass_rating,,,,,,
player,201009120oti,rai,MyerBr00,rush_att,0,,,,,
player,201009120oti,rai,MyerBr00,rush_yds,0,,,,,
player,201009120oti,rai,MyerBr00,rush_td,0,,,,,
player,201009120oti,rai,MyerBr00,rush_long,0,,,,,
player,201009120oti,rai,MyerBr00,targets,1,,,,,
player,201009120oti,rai,MyerBr00,rec,1,,,,,
player,201009120oti,rai,MyerBr00,rec_yds,5,,,,,
player,201009120oti,rai,MyerBr00,rec_td,0,,,,,
player,201009120oti,rai,MyerBr00,rec_long,5,,,,,
