game,2010,2,20100919,201009190cle,kan,"Kansas City Chiefs",16,cle,"Cleveland Browns",14
team,201009190cle,kan,First Downs,16,,,,,,
team,201009190cle,cle,First Downs,13,,,,,,
team,201009190cle,kan,Rush-Yds-TDs,39-140-0,,,,,,
team,201009190cle,cle,Rush-Yds-TDs,26-73-1,,,,,,
team,201009190cle,kan,Cmp-Att-Yd-TD-INT,16-28-176-0-2,,,,,,
team,201009190cle,cle,Cmp-Att-Yd-TD-INT,16-31-229-1-1,,,,,,
team,201009190cle,kan,Sacked-Yards,1-4,,,,,,
team,201009190cle,cle,Sacked-Yards,1-3,,,,,,
team,201009190cle,kan,Net Pass Yards,172,,,,,,
team,201009190cle,cle,Net Pass Yards,226,,,,,,
team,201009190cle,kan,Total Yards,312,,,,,,
team,201009190cle,cle,Total Yards,299,,,,,,
team,201009190cle,kan,Fumbles-Lost,0-0,,,,,,
team,201009190cle,cle,Fumbles-Lost,1-1,,,,,,
team,201009190cle,kan,Turnovers,2,,,,,,
team,201009190cle,cle,Turnovers,2,,,,,,
team,201009190cle,kan,Penalties-Yards,4-30,,,,,,
team,201009190cle,cle,Penalties-Yards,9-78,,,,,,
team,201009190cle,kan,Third Down Conv.,5-15,,,,,,
team,201009190cle,cle,Third Down Conv.,4-13,,,,,,
team,201009190cle,kan,Fourth Down Conv.,1-1,,,,,,
team,201009190cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201009190cle,kan,Time of Possession,33:13,,,,,,
team,201009190cle,cle,Time of Possession,26:47,,,,,,
player,201009190cle,kan,CassMa00,pass_cmp,16,,,,,
player,201009190cle,kan,CassMa00,pass_att,28,,,,,
player,201009190cle,kan,CassMa00,pass_yds,176,,,,,
player,201009190cle,kan,CassMa00,pass_td,0,,,,,
player,201009190cle,kan,CassMa00,pass_int,2,,,,,
player,201009190cle,kan,CassMa00,pass_sacked,1,,,,,
player,201009190cle,kan,CassMa00,pass_sacked_yds,4,,,,,
player,201009190cle,kan,CassMa00,pass_long,27,,,,,
player,201009190cle,kan,CassMa00,pass_rating,46.1,,,,,
player,201009190cle,kan,CassMa00,rush_att,4,,,,,
player,201009190cle,kan,CassMa00,rush_yds,5,,,,,
player,201009190cle,kan,CassMa00,rush_td,0,,,,,
player,201009190cle,kan,CassMa00,rush_long,6,,,,,
player,201009190cle,kan,CassMa00,targets,0,,,,,
player,201009190cle,kan,CassMa00,rec,0,,,,,
player,201009190cle,kan,CassMa00,rec_yds,0,,,,,
player,201009190cle,kan,CassMa00,rec_td,0,,,,,
player,201009190cle,kan,CassMa00,rec_long,0,,,,,
player,201009190cle,kan,CassMa00,fumbles,0,,,,,
player,201009190cle,kan,CassMa00,fumbles_lost,,,,,,
player,201009190cle,kan,JoneTh00,pass_cmp,0,,,,,
player,201009190cle,kan,JoneTh00,pass_att,0,,,,,
player,201009190cle,kan,JoneTh00,pass_yds,0,,,,,
player,201009190cle,kan,JoneTh00,pass_td,0,,,,,
player,201009190cle,kan,JoneTh00,pass_int,0,,,,,
player,201009190cle,kan,JoneTh00,pass_sacked,,,,,,
player,201009190cle,kan,JoneTh00,pass_sacked_yds,,,,,,
player,201009190cle,kan,JoneTh00,pass_long,0,,,,,
player,201009190cle,kan,JoneTh00,pass_rating,,,,,,
player,201009190cle,kan,JoneTh00,rush_att,22,,,,,
player,201009190cle,kan,JoneTh00,rush_yds,83,,,,,
player,201009190cle,kan,JoneTh00,rush_td,0,,,,,
player,201009190cle,kan,JoneTh00,rush_long,11,,,,,
player,201009190cle,kan,JoneTh00,targets,1,,,,,
player,201009190cle,kan,JoneTh00,rec,1,,,,,
player,201009190cle,kan,JoneTh00,rec_yds,5,,,,,
player,201009190cle,kan,JoneTh00,rec_td,0,,,,,
player,201009190cle,kan,JoneTh00,rec_long,5,,,,,
player,201009190cle,kan,JoneTh00,fumbles,0,,,,,
player,201009190cle,kan,JoneTh00,fumbles_lost,,,,,,
player,201009190cle,kan,CharJa00,pass_cmp,0,,,,,
player,201009190cle,kan,CharJa00,pass_att,0,,,,,
player,201009190cle,kan,CharJa00,pass_yds,0,,,,,
