game,2010,7,20101024,201010240tam,ram,"St. Louis Rams",17,tam,"Tampa Bay Buccaneers",18
team,201010240tam,ram,First Downs,19,,,,,,
team,201010240tam,tam,First Downs,17,,,,,,
team,201010240tam,ram,Rush-Yds-TDs,32-161-0,,,,,,
team,201010240tam,tam,Rush-Yds-TDs,21-124-0,,,,,,
team,201010240tam,ram,Cmp-Att-Yd-TD-INT,13-26-126-2-0,,,,,,
team,201010240tam,tam,Cmp-Att-Yd-TD-INT,23-40-212-1-0,,,,,,
team,201010240tam,ram,Sacked-Yards,1-2,,,,,,
team,201010240tam,tam,Sacked-Yards,3-23,,,,,,
team,201010240tam,ram,Net Pass Yards,124,,,,,,
team,201010240tam,tam,Net Pass Yards,189,,,,,,
team,201010240tam,ram,Total Yards,285,,,,,,
team,201010240tam,tam,Total Yards,313,,,,,,
team,201010240tam,ram,Fumbles-Lost,1-1,,,,,,
team,201010240tam,tam,Fumbles-Lost,2-0,,,,,,
team,201010240tam,ram,Turnovers,1,,,,,,
team,201010240tam,tam,Turnovers,0,,,,,,
team,201010240tam,ram,Penalties-Yards,6-45,,,,,,
team,201010240tam,tam,Penalties-Yards,12-92,,,,,,
team,201010240tam,ram,Third Down Conv.,7-14,,,,,,
team,201010240tam,tam,Third Down Conv.,5-15,,,,,,
team,201010240tam,ram,Fourth Down Conv.,0-0,,,,,,
team,201010240tam,tam,Fourth Down Conv.,2-2,,,,,,
team,201010240tam,ram,Time of Possession,28:41,,,,,,
team,201010240tam,tam,Time of Possession,31:19,,,,,,
player,201010240tam,ram,BradSa00,pass_cmp,13,,,,,
player,201010240tam,ram,BradSa00,pass_att,26,,,,,
player,201010240tam,ram,BradSa00,pass_yds,126,,,,,
player,201010240tam,ram,BradSa00,pass_td,2,,,,,
player,201010240tam,ram,BradSa00,pass_int,0,,,,,
player,201010240tam,ram,BradSa00,pass_sacked,1,,,,,
player,201010240tam,ram,BradSa00,pass_sacked_yds,2,,,,,
player,201010240tam,ram,BradSa00,pass_long,19,,,,,
player,201010240tam,ram,BradSa00,pass_rating,89.6,,,,,
player,201010240tam,ram,BradSa00,rush_att,2,,,,,
player,201010240tam,ram,BradSa00,rush_yds,2,,,,,
player,201010240tam,ram,BradSa00,rush_td,0,,,,,
player,201010240tam,ram,BradSa00,rush_long,3,,,,,
player,201010240tam,ram,BradSa00,targets,0,,,,,
player,201010240tam,ram,BradSa00,rec,0,,,,,
player,201010240tam,ram,BradSa00,rec_yds,0,,,,,
player,201010240tam,ram,BradSa00,rec_td,0,,,,,
player,201010240tam,ram,BradSa00,rec_long,0,,,,,
player,201010240tam,ram,BradSa00,fumbles,1,,,,,
player,201010240tam,ram,BradSa00,fumbles_lost,1,,,,,
player,201010240tam,ram,JackSt00,pass_cmp,0,,,,,
