game,2010,12,20101129,201011290crd,sfo,"San Francisco 49ers",27,crd,"Arizona Cardinals",6
team,201011290crd,sfo,First Downs,26,,,,,,
team,201011290crd,crd,First Downs,8,,,,,,
team,201011290crd,sfo,Rush-Yds-TDs,47-261-2,,,,,,
team,201011290crd,crd,Rush-Yds-TDs,11-13-0,,,,,,
team,201011290crd,sfo,Cmp-Att-Yd-TD-INT,11-23-129-1-1,,,,,,
team,201011290crd,crd,Cmp-Att-Yd-TD-INT,16-35-196-0-1,,,,,,
team,201011290crd,sfo,Sacked-Yards,1-4,,,,,,
team,201011290crd,crd,Sacked-Yards,1-6,,,,,,
team,201011290crd,sfo,Net Pass Yards,125,,,,,,
team,201011290crd,crd,Net Pass Yards,190,,,,,,
team,201011290crd,sfo,Total Yards,386,,,,,,
team,201011290crd,crd,Total Yards,203,,,,,,
team,201011290crd,sfo,Fumbles-Lost,1-0,,,,,,
team,201011290crd,crd,Fumbles-Lost,1-1,,,,,,
team,201011290crd,sfo,Turnovers,1,,,,,,
team,201011290crd,crd,Turnovers,2,,,,,,
team,201011290crd,sfo,Penalties-Yards,6-40,,,,,,
team,201011290crd,crd,Penalties-Yards,6-61,,,,,,
team,201011290crd,sfo,Third Down Conv.,7-13,,,,,,
team,201011290crd,crd,Third Down Conv.,2-11,,,,,,
team,201011290crd,sfo,Fourth Down Conv.,0-0,,,,,,
team,201011290crd,crd,Fourth Down Conv.,0-1,,,,,,
team,201011290crd,sfo,Time of Possession,39:01,,,,,,
team,201011290crd,crd,Time of Possession,20:59,,,,,,
player,201011290crd,sfo,SmitTr02,pass_cmp,11,,,,,
player,201011290crd,sfo,SmitTr02,pass_att,23,,,,,
player,201011290crd,sfo,SmitTr02,pass_yds,129,,,,,
player,201011290crd,sfo,SmitTr02,pass_td,1,,,,,
player,201011290crd,sfo,SmitTr02,pass_int,1,,,,,
player,201011290crd,sfo,SmitTr02,pass_sacked,1,,,,,
player,201011290crd,sfo,SmitTr02,pass_sacked_yds,4,,,,,
player,201011290crd,sfo,SmitTr02,pass_long,38,,,,,
player,201011290crd,sfo,SmitTr02,pass_rating,61.7,,,,,
player,201011290crd,sfo,SmitTr02,rush_att,3,,,,,
player,201011290crd,sfo,SmitTr02,rush_yds,6,,,,,
player,201011290crd,sfo,SmitTr02,rush_td,0,,,,,
player,201011290crd,sfo,SmitTr02,rush_long,7,,,,,
player,201011290crd,sfo,SmitTr02,targets,0,,,,,
player,201011290crd,sfo,SmitTr02,rec,0,,,,,
player,201011290crd,sfo,SmitTr02,rec_yds,0,,,,,
player,201011290crd,sfo,SmitTr02,rec_td,0,,,,,
player,201011290crd,sfo,SmitTr02,rec_long,0,,,,,
player,201011290crd,sfo,SmitTr02,fumbles,1,,,,,
player,201011290crd,sfo,SmitTr02,fumbles_lost,0,,,,,
player,201011290crd,sfo,WestBr00,pass_cmp,0,,,,,
player,201011290crd,sfo,WestBr00,pass_att,0,,,,,
player,201011290crd,sfo,WestBr00,pass_yds,0,,,,,
player,201011290crd,sfo,WestBr00,pass_td,0,,,,,
player,201011290crd,sfo,WestBr00,pass_int,0,,,,,
player,201011290crd,sfo,WestBr00,pass_sacked,,,,,,
player,201011290crd,sfo,WestBr00,pass_sacked_yds,,,,,,
player,201011290crd,sfo,WestBr00,pass_long,0,,,,,
player,201011290crd,sfo,WestBr00,pass_rating,,,,,,
player,201011290crd,sfo,WestBr00,rush_att,23,,,,,
player,201011290crd,sfo,WestBr00,rush_yds,136,,,,,
player,201011290crd,sfo,WestBr00,rush_td,1,,,,,
player,201011290crd,sfo,WestBr00,rush_long,19,,,,,
player,201011290crd,sfo,WestBr00,targets,0,,,,,
player,201011290crd,sfo,WestBr00,rec,0,,,,,
player,201011290crd,sfo,WestBr00,rec_yds,0,,,,,
