game,2010,7,20101024,201010240chi,was,"Washington Redskins",17,chi,"Chicago Bears",14
team,201010240chi,was,First Downs,13,,,,,,
team,201010240chi,chi,First Downs,19,,,,,,
team,201010240chi,was,Rush-Yds-TDs,28-121-0,,,,,,
team,201010240chi,chi,Rush-Yds-TDs,16-66-0,,,,,,
team,201010240chi,was,Cmp-Att-Yd-TD-INT,17-32-200-1-2,,,,,,
team,201010240chi,chi,Cmp-Att-Yd-TD-INT,26-40-281-1-4,,,,,,
team,201010240chi,was,Sacked-Yards,2-13,,,,,,
team,201010240chi,chi,Sacked-Yards,4-25,,,,,,
team,201010240chi,was,Net Pass Yards,187,,,,,,
team,201010240chi,chi,Net Pass Yards,256,,,,,,
team,201010240chi,was,Total Yards,308,,,,,,
team,201010240chi,chi,Total Yards,322,,,,,,
team,201010240chi,was,Fumbles-Lost,6-1,,,,,,
team,201010240chi,chi,Fumbles-Lost,2-2,,,,,,
team,201010240chi,was,Turnovers,3,,,,,,
team,201010240chi,chi,Turnovers,6,,,,,,
team,201010240chi,was,Penalties-Yards,7-48,,,,,,
team,201010240chi,chi,Penalties-Yards,6-51,,,,,,
team,201010240chi,was,Third Down Conv.,2-13,,,,,,
team,201010240chi,chi,Third Down Conv.,2-10,,,,,,
team,201010240chi,was,Fourth Down Conv.,0-0,,,,,,
team,201010240chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201010240chi,was,Time of Possession,29:12,,,,,,
team,201010240chi,chi,Time of Possession,30:48,,,,,,
player,201010240chi,was,McNaDo00,pass_cmp,17,,,,,
player,201010240chi,was,McNaDo00,pass_att,32,,,,,
player,201010240chi,was,McNaDo00,pass_yds,200,,,,,
player,201010240chi,was,McNaDo00,pass_td,1,,,,,
player,201010240chi,was,McNaDo00,pass_int,2,,,,,
player,201010240chi,was,McNaDo00,pass_sacked,2,,,,,
player,201010240chi,was,McNaDo00,pass_sacked_yds,13,,,,,
player,201010240chi,was,McNaDo00,pass_long,24,,,,,
player,201010240chi,was,McNaDo00,pass_rating,56.8,,,,,
player,201010240chi,was,McNaDo00,rush_att,5,,,,,
player,201010240chi,was,McNaDo00,rush_yds,-2,,,,,
player,201010240chi,was,McNaDo00,rush_td,0,,,,,
player,201010240chi,was,McNaDo00,rush_long,2,,,,,
player,201010240chi,was,McNaDo00,targets,0,,,,,
player,201010240chi,was,McNaDo00,rec,0,,,,,
player,201010240chi,was,McNaDo00,rec_yds,0,,,,,
player,201010240chi,was,McNaDo00,rec_td,0,,,,,
player,201010240chi,was,McNaDo00,rec_long,0,,,,,
player,201010240chi,was,McNaDo00,fumbles,2,,,,,
player,201010240chi,was,McNaDo00,fumbles_lost,0,,,,,
player,201010240chi,was,ToraRy00,pass_cmp,0,,,,,
player,201010240chi,was,ToraRy00,pass_att,0,,,,,
player,201010240chi,was,ToraRy00,pass_yds,0,,,,,
player,201010240chi,was,ToraRy00,pass_td,0,,,,,
player,201010240chi,was,ToraRy00,pass_int,0,,,,,
player,201010240chi,was,ToraRy00,pass_sacked,,,,,,
player,201010240chi,was,ToraRy00,pass_sacked_yds,,,,,,
player,201010240chi,was,ToraRy00,pass_long,0,,,,,
player,201010240chi,was,ToraRy00,pass_rating,,,,,,
player,201010240chi,was,ToraRy00,rush_att,21,,,,,
player,201010240chi,was,ToraRy00,rush_yds,125,,,,,
player,201010240chi,was,ToraRy00,rush_td,0,,,,,
player,201010240chi,was,ToraRy00,rush_long,27,,,,,
