game,2010,14,20101212,201012120chi,nwe,"New England Patriots",36,chi,"Chicago Bears",7
team,201012120chi,nwe,First Downs,27,,,,,,
team,201012120chi,chi,First Downs,12,,,,,,
team,201012120chi,nwe,Rush-Yds-TDs,35-124-1,,,,,,
team,201012120chi,chi,Rush-Yds-TDs,14-47-1,,,,,,
team,201012120chi,nwe,Cmp-Att-Yd-TD-INT,27-40-369-2-0,,,,,,
team,201012120chi,chi,Cmp-Att-Yd-TD-INT,12-26-152-0-2,,,,,,
team,201012120chi,nwe,Sacked-Yards,3-18,,,,,,
team,201012120chi,chi,Sacked-Yards,2-14,,,,,,
team,201012120chi,nwe,Net Pass Yards,351,,,,,,
team,201012120chi,chi,Net Pass Yards,138,,,,,,
team,201012120chi,nwe,Total Yards,475,,,,,,
team,201012120chi,chi,Total Yards,185,,,,,,
team,201012120chi,nwe,Fumbles-Lost,0-0,,,,,,
team,201012120chi,chi,Fumbles-Lost,4-2,,,,,,
team,201012120chi,nwe,Turnovers,0,,,,,,
team,201012120chi,chi,Turnovers,4,,,,,,
team,201012120chi,nwe,Penalties-Yards,4-43,,,,,,
team,201012120chi,chi,Penalties-Yards,4-30,,,,,,
team,201012120chi,nwe,Third Down Conv.,12-19,,,,,,
team,201012120chi,chi,Third Down Conv.,3-8,,,,,,
team,201012120chi,nwe,Fourth Down Conv.,0-1,,,,,,
team,201012120chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201012120chi,nwe,Time of Possession,39:41,,,,,,
team,201012120chi,chi,Time of Possession,20:19,,,,,,
player,201012120chi,nwe,BradTo00,pass_cmp,27,,,,,
player,201012120chi,nwe,BradTo00,pass_att,40,,,,,
player,201012120chi,nwe,BradTo00,pass_yds,369,,,,,
player,201012120chi,nwe,BradTo00,pass_td,2,,,,,
player,201012120chi,nwe,BradTo00,pass_int,0,,,,,
player,201012120chi,nwe,BradTo00,pass_sacked,3,,,,,
player,201012120chi,nwe,BradTo00,pass_sacked_yds,18,,,,,
player,201012120chi,nwe,BradTo00,pass_long,59,,,,,
player,201012120chi,nwe,BradTo00,pass_rating,113.4,,,,,
player,201012120chi,nwe,BradTo00,rush_att,0,,,,,
player,201012120chi,nwe,BradTo00,rush_yds,0,,,,,
player,201012120chi,nwe,BradTo00,rush_td,0,,,,,
player,201012120chi,nwe,BradTo00,rush_long,0,,,,,
player,201012120chi,nwe,BradTo00,targets,0,,,,,
player,201012120chi,nwe,BradTo00,rec,0,,,,,
player,201012120chi,nwe,BradTo00,rec_yds,0,,,,,
player,201012120chi,nwe,BradTo00,rec_td,0,,,,,
player,201012120chi,nwe,BradTo00,rec_long,0,,,,,
player,201012120chi,nwe,BradTo00,fumbles,0,,,,,
player,201012120chi,nwe,BradTo00,fumbles_lost,,,,,,
