game,2010,15,20101216,201012160sdg,sfo,"San Francisco 49ers",7,sdg,"San Diego Chargers",34
team,201012160sdg,sfo,First Downs,11,,,,,,
team,201012160sdg,sdg,First Downs,24,,,,,,
team,201012160sdg,sfo,Rush-Yds-TDs,15-61-1,,,,,,
team,201012160sdg,sdg,Rush-Yds-TDs,41-108-1,,,,,,
team,201012160sdg,sfo,Cmp-Att-Yd-TD-INT,19-29-165-0-1,,,,,,
team,201012160sdg,sdg,Cmp-Att-Yd-TD-INT,19-25-273-3-0,,,,,,
team,201012160sdg,sfo,Sacked-Yards,6-34,,,,,,
team,201012160sdg,sdg,Sacked-Yards,1-7,,,,,,
team,201012160sdg,sfo,Net Pass Yards,131,,,,,,
team,201012160sdg,sdg,Net Pass Yards,266,,,,,,
team,201012160sdg,sfo,Total Yards,192,,,,,,
team,201012160sdg,sdg,Total Yards,374,,,,,,
team,201012160sdg,sfo,Fumbles-Lost,0-0,,,,,,
team,201012160sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201012160sdg,sfo,Turnovers,1,,,,,,
team,201012160sdg,sdg,Turnovers,0,,,,,,
team,201012160sdg,sfo,Penalties-Yards,5-60,,,,,,
team,201012160sdg,sdg,Penalties-Yards,4-35,,,,,,
team,201012160sdg,sfo,Third Down Conv.,2-12,,,,,,
team,201012160sdg,sdg,Third Down Conv.,7-14,,,,,,
team,201012160sdg,sfo,Fourth Down Conv.,0-3,,,,,,
team,201012160sdg,sdg,Fourth Down Conv.,1-1,,,,,,
team,201012160sdg,sfo,Time of Possession,22:49,,,,,,
team,201012160sdg,sdg,Time of Possession,37:11,,,,,,
player,201012160sdg,sfo,SmitAl03,pass_cmp,19,,,,,
player,201012160sdg,sfo,SmitAl03,pass_att,29,,,,,
player,201012160sdg,sfo,SmitAl03,pass_yds,165,,,,,
player,201012160sdg,sfo,SmitAl03,pass_td,0,,,,,
player,201012160sdg,sfo,SmitAl03,pass_int,1,,,,,
player,201012160sdg,sfo,SmitAl03,pass_sacked,6,,,,,
player,201012160sdg,sfo,SmitAl03,pass_sacked_yds,34,,,,,
