game,2010,5,20101010,201010100htx,nyg,"New York Giants",34,htx,"Houston Texans",10
team,201010100htx,nyg,First Downs,26,,,,,,
team,201010100htx,htx,First Downs,11,,,,,,
team,201010100htx,nyg,Rush-Yds-TDs,32-117-1,,,,,,
team,201010100htx,htx,Rush-Yds-TDs,15-24-1,,,,,,
team,201010100htx,nyg,Cmp-Att-Yd-TD-INT,27-42-297-3-2,,,,,,
team,201010100htx,htx,Cmp-Att-Yd-TD-INT,16-34-196-0-1,,,,,,
team,201010100htx,nyg,Sacked-Yards,0-0,,,,,,
team,201010100htx,htx,Sacked-Yards,3-25,,,,,,
team,201010100htx,nyg,Net Pass Yards,297,,,,,,
team,201010100htx,htx,Net Pass Yards,171,,,,,,
team,201010100htx,nyg,Total Yards,414,,,,,,
team,201010100htx,htx,Total Yards,195,,,,,,
team,201010100htx,nyg,Fumbles-Lost,2-0,,,,,,
team,201010100htx,htx,Fumbles-Lost,2-1,,,,,,
team,201010100htx,nyg,Turnovers,2,,,,,,
team,201010100htx,htx,Turnovers,2,,,,,,
team,201010100htx,nyg,Penalties-Yards,9-84,,,,,,
team,201010100htx,htx,Penalties-Yards,8-67,,,,,,
team,201010100htx,nyg,Third Down Conv.,5-14,,,,,,
team,201010100htx,htx,Third Down Conv.,2-11,,,,,,
team,201010100htx,nyg,Fourth Down Conv.,0-0,,,,,,
team,201010100htx,htx,Fourth Down Conv.,0-1,,,,,,
team,201010100htx,nyg,Time of Possession,38:51,,,,,,
team,201010100htx,htx,Time of Possession,21:09,,,,,,
player,201010100htx,nyg,MannEl00,pass_cmp,27,,,,,
player,201010100htx,nyg,MannEl00,pass_att,42,,,,,
player,201010100htx,nyg,MannEl00,pass_yds,297,,,,,
player,201010100htx,nyg,MannEl00,pass_td,3,,,,,
player,201010100htx,nyg,MannEl00,pass_int,2,,,,,
player,201010100htx,nyg,MannEl00,pass_sacked,0,,,,,
player,201010100htx,nyg,MannEl00,pass_sacked_yds,0,,,,,
player,201010100htx,nyg,MannEl00,pass_long,45,,,,,
player,201010100htx,nyg,MannEl00,pass_rating,89.1,,,,,
player,201010100htx,nyg,MannEl00,rush_att,6,,,,,
player,201010100htx,nyg,MannEl00,rush_yds,9,,,,,
player,201010100htx,nyg,MannEl00,rush_td,0,,,,,
player,201010100htx,nyg,MannEl00,rush_long,8,,,,,
player,201010100htx,nyg,MannEl00,targets,0,,,,,
player,201010100htx,nyg,MannEl00,rec,0,,,,,
player,201010100htx,nyg,MannEl00,rec_yds,0,,,,,
player,201010100htx,nyg,MannEl00,rec_td,0,,,,,
player,201010100htx,nyg,MannEl00,rec_long,0,,,,,
player,201010100htx,nyg,MannEl00,fumbles,0,,,,,
player,201010100htx,nyg,MannEl00,fumbles_lost,0,,,,,
player,201010100htx,nyg,BradAh00,pass_cmp,0,,,,,
player,201010100htx,nyg,BradAh00,pass_att,0,,,,,
player,201010100htx,nyg,BradAh00,pass_yds,0,,,,,
player,201010100htx,nyg,BradAh00,pass_td,0,,,,,
player,201010100htx,nyg,BradAh00,pass_int,0,,,,,
player,201010100htx,nyg,BradAh00,pass_sacked,,,,,,
player,201010100htx,nyg,BradAh00,pass_sacked_yds,,,,,,
player,201010100htx,nyg,BradAh00,pass_long,0,,,,,
player,201010100htx,nyg,BradAh00,pass_rating,,,,,,
player,201010100htx,nyg,BradAh00,rush_att,16,,,,,
player,201010100htx,nyg,BradAh00,rush_yds,67,,,,,
player,201010100htx,nyg,BradAh00,rush_td,0,,,,,
player,201010100htx,nyg,BradAh00,rush_long,23,,,,,
player,201010100htx,nyg,BradAh00,targets,4,,,,,
player,201010100htx,nyg,BradAh00,rec,3,,,,,
player,201010100htx,nyg,BradAh00,rec_yds,22,,,,,
player,201010100htx,nyg,BradAh00,rec_td,0,,,,,
player,201010100htx,nyg,BradAh00,rec_long,9,,,,,
player,201010100htx,nyg,BradAh00,fumbles,0,,,,,
player,201010100htx,nyg,BradAh00,fumbles_lost,,,,,,
player,201010100htx,nyg,JacoBr00,pass_cmp,0,,,,,
player,201010100htx,nyg,JacoBr00,pass_att,0,,,,,
player,201010100htx,nyg,JacoBr00,pass_yds,0,,,,,
player,201010100htx,nyg,JacoBr00,pass_td,0,,,,,
player,201010100htx,nyg,JacoBr00,pass_int,0,,,,,
player,201010100htx,nyg,JacoBr00,pass_sacked,,,,,,
player,201010100htx,nyg,JacoBr00,pass_sacked_yds,,,,,,
player,201010100htx,nyg,JacoBr00,pass_long,0,,,,,
player,201010100htx,nyg,JacoBr00,pass_rating,,,,,,
player,201010100htx,nyg,JacoBr00,rush_att,10,,,,,
player,201010100htx,nyg,JacoBr00,rush_yds,41,,,,,
player,201010100htx,nyg,JacoBr00,rush_td,1,,,,,
