game,2010,16,20101226,201012260cin,sdg,"San Diego Chargers",20,cin,"Cincinnati Bengals",34
team,201012260cin,sdg,First Downs,23,,,,,,
team,201012260cin,cin,First Downs,18,,,,,,
team,201012260cin,sdg,Rush-Yds-TDs,22-64-1,,,,,,
team,201012260cin,cin,Rush-Yds-TDs,38-102-1,,,,,,
team,201012260cin,sdg,Cmp-Att-Yd-TD-INT,27-40-256-1-1,,,,,,
team,201012260cin,cin,Cmp-Att-Yd-TD-INT,16-21-269-4-0,,,,,,
team,201012260cin,sdg,Sacked-Yards,1-7,,,,,,
team,201012260cin,cin,Sacked-Yards,0-0,,,,,,
team,201012260cin,sdg,Net Pass Yards,249,,,,,,
team,201012260cin,cin,Net Pass Yards,269,,,,,,
team,201012260cin,sdg,Total Yards,313,,,,,,
team,201012260cin,cin,Total Yards,371,,,,,,
team,201012260cin,sdg,Fumbles-Lost,2-1,,,,,,
team,201012260cin,cin,Fumbles-Lost,1-1,,,,,,
team,201012260cin,sdg,Turnovers,2,,,,,,
team,201012260cin,cin,Turnovers,1,,,,,,
team,201012260cin,sdg,Penalties-Yards,1-5,,,,,,
team,201012260cin,cin,Penalties-Yards,6-57,,,,,,
team,201012260cin,sdg,Third Down Conv.,6-13,,,,,,
team,201012260cin,cin,Third Down Conv.,8-14,,,,,,
team,201012260cin,sdg,Fourth Down Conv.,0-1,,,,,,
team,201012260cin,cin,Fourth Down Conv.,1-2,,,,,,
team,201012260cin,sdg,Time of Possession,29:51,,,,,,
team,201012260cin,cin,Time of Possession,30:09,,,,,,
player,201012260cin,sdg,RivePh00,pass_cmp,27,,,,,
player,201012260cin,sdg,RivePh00,pass_att,40,,,,,
player,201012260cin,sdg,RivePh00,pass_yds,256,,,,,
player,201012260cin,sdg,RivePh00,pass_td,1,,,,,
player,201012260cin,sdg,RivePh00,pass_int,1,,,,,
player,201012260cin,sdg,RivePh00,pass_sacked,1,,,,,
player,201012260cin,sdg,RivePh00,pass_sacked_yds,7,,,,,
player,201012260cin,sdg,RivePh00,pass_long,19,,,,,
player,201012260cin,sdg,RivePh00,pass_rating,82.9,,,,,
player,201012260cin,sdg,RivePh00,rush_att,1,,,,,
player,201012260cin,sdg,RivePh00,rush_yds,2,,,,,
player,201012260cin,sdg,RivePh00,rush_td,0,,,,,
player,201012260cin,sdg,RivePh00,rush_long,2,,,,,
player,201012260cin,sdg,RivePh00,targets,0,,,,,
player,201012260cin,sdg,RivePh00,rec,0,,,,,
player,201012260cin,sdg,RivePh00,rec_yds,0,,,,,
player,201012260cin,sdg,RivePh00,rec_td,0,,,,,
player,201012260cin,sdg,RivePh00,rec_long,0,,,,,
player,201012260cin,sdg,RivePh00,fumbles,0,,,,,
player,201012260cin,sdg,RivePh00,fumbles_lost,,,,,,
player,201012260cin,sdg,MathRy00,pass_cmp,0,,,,,
player,201012260cin,sdg,MathRy00,pass_att,0,,,,,
player,201012260cin,sdg,MathRy00,pass_yds,0,,,,,
