game,2010,14,20101209,201012090oti,clt,"Indianapolis Colts",30,oti,"Tennessee Titans",28
team,201012090oti,clt,First Downs,21,,,,,,
team,201012090oti,oti,First Downs,22,,,,,,
team,201012090oti,clt,Rush-Yds-TDs,32-87-1,,,,,,
team,201012090oti,oti,Rush-Yds-TDs,25-121-1,,,,,,
team,201012090oti,clt,Cmp-Att-Yd-TD-INT,25-35-319-2-0,,,,,,
team,201012090oti,oti,Cmp-Att-Yd-TD-INT,28-39-244-3-0,,,,,,
team,201012090oti,clt,Sacked-Yards,1-7,,,,,,
team,201012090oti,oti,Sacked-Yards,0-0,,,,,,
team,201012090oti,clt,Net Pass Yards,312,,,,,,
team,201012090oti,oti,Net Pass Yards,244,,,,,,
team,201012090oti,clt,Total Yards,399,,,,,,
team,201012090oti,oti,Total Yards,365,,,,,,
team,201012090oti,clt,Fumbles-Lost,1-0,,,,,,
team,201012090oti,oti,Fumbles-Lost,3-2,,,,,,
team,201012090oti,clt,Turnovers,0,,,,,,
team,201012090oti,oti,Turnovers,2,,,,,,
team,201012090oti,clt,Penalties-Yards,7-60,,,,,,
team,201012090oti,oti,Penalties-Yards,5-29,,,,,,
team,201012090oti,clt,Third Down Conv.,8-15,,,,,,
team,201012090oti,oti,Third Down Conv.,5-11,,,,,,
team,201012090oti,clt,Fourth Down Conv.,1-1,,,,,,
team,201012090oti,oti,Fourth Down Conv.,1-2,,,,,,
team,201012090oti,clt,Time of Possession,32:31,,,,,,
team,201012090oti,oti,Time of Possession,27:29,,,,,,
player,201012090oti,clt,MannPe00,pass_cmp,25,,,,,
player,201012090oti,clt,MannPe00,pass_att,35,,,,,
player,201012090oti,clt,MannPe00,pass_yds,319,,,,,
player,201012090oti,clt,MannPe00,pass_td,2,,,,,
player,201012090oti,clt,MannPe00,pass_int,0,,,,,
player,201012090oti,clt,MannPe00,pass_sacked,1,,,,,
player,201012090oti,clt,MannPe00,pass_sacked_yds,7,,,,,
player,201012090oti,clt,MannPe00,pass_long,50,,,,,
player,201012090oti,clt,MannPe00,pass_rating,118.6,,,,,
player,201012090oti,clt,MannPe00,rush_att,0,,,,,
player,201012090oti,clt,MannPe00,rush_yds,0,,,,,
player,201012090oti,clt,MannPe00,rush_td,0,,,,,
player,201012090oti,clt,MannPe00,rush_long,0,,,,,
player,201012090oti,clt,MannPe00,targets,0,,,,,
player,201012090oti,clt,MannPe00,rec,0,,,,,
player,201012090oti,clt,MannPe00,rec_yds,0,,,,,
player,201012090oti,clt,MannPe00,rec_td,0,,,,,
player,201012090oti,clt,MannPe00,rec_long,0,,,,,
player,201012090oti,clt,MannPe00,fumbles,0,,,,,
player,201012090oti,clt,MannPe00,fumbles_lost,,,,,,
player,201012090oti,clt,JameJa00,pass_cmp,0,,,,,
player,201012090oti,clt,JameJa00,pass_att,0,,,,,
player,201012090oti,clt,JameJa00,pass_yds,0,,,,,
player,201012090oti,clt,JameJa00,pass_td,0,,,,,
player,201012090oti,clt,JameJa00,pass_int,0,,,,,
player,201012090oti,clt,JameJa00,pass_sacked,,,,,,
player,201012090oti,clt,JameJa00,pass_sacked_yds,,,,,,
player,201012090oti,clt,JameJa00,pass_long,0,,,,,
player,201012090oti,clt,JameJa00,pass_rating,,,,,,
player,201012090oti,clt,JameJa00,rush_att,17,,,,,
player,201012090oti,clt,JameJa00,rush_yds,49,,,,,
player,201012090oti,clt,JameJa00,rush_td,1,,,,,
