game,2010,12,20101125,201011250det,nwe,"New England Patriots",45,det,"Detroit Lions",24
team,201011250det,nwe,First Downs,20,,,,,,
team,201011250det,det,First Downs,25,,,,,,
team,201011250det,nwe,Rush-Yds-TDs,25-109-2,,,,,,
team,201011250det,det,Rush-Yds-TDs,27-129-2,,,,,,
team,201011250det,nwe,Cmp-Att-Yd-TD-INT,21-27-341-4-0,,,,,,
team,201011250det,det,Cmp-Att-Yd-TD-INT,27-46-285-1-2,,,,,,
team,201011250det,nwe,Sacked-Yards,1-3,,,,,,
team,201011250det,det,Sacked-Yards,2-8,,,,,,
team,201011250det,nwe,Net Pass Yards,338,,,,,,
team,201011250det,det,Net Pass Yards,277,,,,,,
team,201011250det,nwe,Total Yards,447,,,,,,
team,201011250det,det,Total Yards,406,,,,,,
team,201011250det,nwe,Fumbles-Lost,0-0,,,,,,
team,201011250det,det,Fumbles-Lost,0-0,,,,,,
team,201011250det,nwe,Turnovers,0,,,,,,
team,201011250det,det,Turnovers,2,,,,,,
team,201011250det,nwe,Penalties-Yards,5-50,,,,,,
team,201011250det,det,Penalties-Yards,8-66,,,,,,
team,201011250det,nwe,Third Down Conv.,4-8,,,,,,
team,201011250det,det,Third Down Conv.,7-14,,,,,,
team,201011250det,nwe,Fourth Down Conv.,0-0,,,,,,
team,201011250det,det,Fourth Down Conv.,2-3,,,,,,
team,201011250det,nwe,Time of Possession,28:55,,,,,,
team,201011250det,det,Time of Possession,31:05,,,,,,
player,201011250det,nwe,BradTo00,pass_cmp,21,,,,,
player,201011250det,nwe,BradTo00,pass_att,27,,,,,
player,201011250det,nwe,BradTo00,pass_yds,341,,,,,
player,201011250det,nwe,BradTo00,pass_td,4,,,,,
player,201011250det,nwe,BradTo00,pass_int,0,,,,,
player,201011250det,nwe,BradTo00,pass_sacked,1,,,,,
player,201011250det,nwe,BradTo00,pass_sacked_yds,3,,,,,
player,201011250det,nwe,BradTo00,pass_long,79,,,,,
player,201011250det,nwe,BradTo00,pass_rating,158.3,,,,,
player,201011250det,nwe,BradTo00,rush_att,4,,,,,
player,201011250det,nwe,BradTo00,rush_yds,1,,,,,
player,201011250det,nwe,BradTo00,rush_td,0,,,,,
player,201011250det,nwe,BradTo00,rush_long,3,,,,,
player,201011250det,nwe,BradTo00,targets,0,,,,,
player,201011250det,nwe,BradTo00,rec,0,,,,,
player,201011250det,nwe,BradTo00,rec_yds,0,,,,,
player,201011250det,nwe,BradTo00,rec_td,0,,,,,
player,201011250det,nwe,BradTo00,rec_long,0,,,,,
player,201011250det,nwe,BradTo00,fumbles,0,,,,,
player,201011250det,nwe,BradTo00,fumbles_lost,,,,,,
player,201011250det,nwe,GreeBe00,pass_cmp,0,,,,,
player,201011250det,nwe,GreeBe00,pass_att,0,,,,,
player,201011250det,nwe,GreeBe00,pass_yds,0,,,,,
player,201011250det,nwe,GreeBe00,pass_td,0,,,,,
player,201011250det,nwe,GreeBe00,pass_int,0,,,,,
player,201011250det,nwe,GreeBe00,pass_sacked,,,,,,
player,201011250det,nwe,GreeBe00,pass_sacked_yds,,,,,,
player,201011250det,nwe,GreeBe00,pass_long,0,,,,,
player,201011250det,nwe,GreeBe00,pass_rating,,,,,,
player,201011250det,nwe,GreeBe00,rush_att,12,,,,,
player,201011250det,nwe,GreeBe00,rush_yds,59,,,,,
player,201011250det,nwe,GreeBe00,rush_td,2,,,,,
player,201011250det,nwe,GreeBe00,rush_long,15,,,,,
player,201011250det,nwe,GreeBe00,targets,0,,,,,
player,201011250det,nwe,GreeBe00,rec,0,,,,,
player,201011250det,nwe,GreeBe00,rec_yds,0,,,,,
