game,2010,12,20101128,201011280rai,mia,"Miami Dolphins",33,rai,"Oakland Raiders",17
team,201011280rai,mia,First Downs,24,,,,,,
team,201011280rai,rai,First Downs,11,,,,,,
team,201011280rai,mia,Rush-Yds-TDs,49-186-1,,,,,,
team,201011280rai,rai,Rush-Yds-TDs,12-16-0,,,,,,
team,201011280rai,mia,Cmp-Att-Yd-TD-INT,17-30-307-2-1,,,,,,
team,201011280rai,rai,Cmp-Att-Yd-TD-INT,17-32-252-1-2,,,,,,
team,201011280rai,mia,Sacked-Yards,3-22,,,,,,
team,201011280rai,rai,Sacked-Yards,1-5,,,,,,
team,201011280rai,mia,Net Pass Yards,285,,,,,,
team,201011280rai,rai,Net Pass Yards,247,,,,,,
team,201011280rai,mia,Total Yards,471,,,,,,
team,201011280rai,rai,Total Yards,263,,,,,,
team,201011280rai,mia,Fumbles-Lost,1-0,,,,,,
team,201011280rai,rai,Fumbles-Lost,2-1,,,,,,
team,201011280rai,mia,Turnovers,1,,,,,,
team,201011280rai,rai,Turnovers,3,,,,,,
team,201011280rai,mia,Penalties-Yards,5-35,,,,,,
team,201011280rai,rai,Penalties-Yards,4-20,,,,,,
team,201011280rai,mia,Third Down Conv.,9-19,,,,,,
team,201011280rai,rai,Third Down Conv.,2-9,,,,,,
team,201011280rai,mia,Fourth Down Conv.,1-1,,,,,,
team,201011280rai,rai,Fourth Down Conv.,0-2,,,,,,
team,201011280rai,mia,Time of Possession,41:38,,,,,,
team,201011280rai,rai,Time of Possession,18:22,,,,,,
player,201011280rai,mia,HennCh01,pass_cmp,17,,,,,
player,201011280rai,mia,HennCh01,pass_att,30,,,,,
player,201011280rai,mia,HennCh01,pass_yds,307,,,,,
player,201011280rai,mia,HennCh01,pass_td,2,,,,,
player,201011280rai,mia,HennCh01,pass_int,1,,,,,
player,201011280rai,mia,HennCh01,pass_sacked,3,,,,,
player,201011280rai,mia,HennCh01,pass_sacked_yds,22,,,,,
player,201011280rai,mia,HennCh01,pass_long,57,,,,,
player,201011280rai,mia,HennCh01,pass_rating,100.3,,,,,
player,201011280rai,mia,HennCh01,rush_att,3,,,,,
player,201011280rai,mia,HennCh01,rush_yds,-4,,,,,
player,201011280rai,mia,HennCh01,rush_td,0,,,,,
player,201011280rai,mia,HennCh01,rush_long,-1,,,,,
player,201011280rai,mia,HennCh01,targets,0,,,,,
player,201011280rai,mia,HennCh01,rec,0,,,,,
player,201011280rai,mia,HennCh01,rec_yds,0,,,,,
player,201011280rai,mia,HennCh01,rec_td,0,,,,,
player,201011280rai,mia,HennCh01,rec_long,0,,,,,
player,201011280rai,mia,HennCh01,fumbles,0,,,,,
player,201011280rai,mia,HennCh01,fumbles_lost,,,,,,
player,201011280rai,mia,WillRi00,pass_cmp,0,,,,,
player,201011280rai,mia,WillRi00,pass_att,0,,,,,
player,201011280rai,mia,WillRi00,pass_yds,0,,,,,
player,201011280rai,mia,WillRi00,pass_td,0,,,,,
player,201011280rai,mia,WillRi00,pass_int,0,,,,,
player,201011280rai,mia,WillRi00,pass_sacked,,,,,,
player,201011280rai,mia,WillRi00,pass_sacked_yds,,,,,,
player,201011280rai,mia,WillRi00,pass_long,0,,,,,
player,201011280rai,mia,WillRi00,pass_rating,,,,,,
player,201011280rai,mia,WillRi00,rush_att,20,,,,,
player,201011280rai,mia,WillRi00,rush_yds,95,,,,,
player,201011280rai,mia,WillRi00,rush_td,1,,,,,
player,201011280rai,mia,WillRi00,rush_long,45,,,,,
player,201011280rai,mia,WillRi00,targets,2,,,,,
player,201011280rai,mia,WillRi00,rec,1,,,,,
player,201011280rai,mia,WillRi00,rec_yds,3,,,,,
player,201011280rai,mia,WillRi00,rec_td,0,,,,,
player,201011280rai,mia,WillRi00,rec_long,3,,,,,
player,201011280rai,mia,WillRi00,fumbles,0,,,,,
player,201011280rai,mia,WillRi00,fumbles_lost,,,,,,
player,201011280rai,mia,BrowRo05,pass_cmp,0,,,,,
player,201011280rai,mia,BrowRo05,pass_att,0,,,,,
player,201011280rai,mia,BrowRo05,pass_yds,0,,,,,
player,201011280rai,mia,BrowRo05,pass_td,0,,,,,
player,201011280rai,mia,BrowRo05,pass_int,0,,,,,
player,201011280rai,mia,BrowRo05,pass_sacked,0,,,,,
player,201011280rai,mia,BrowRo05,pass_sacked_yds,,,,,,
player,201011280rai,mia,BrowRo05,pass_long,0,,,,,
player,201011280rai,mia,BrowRo05,pass_rating,,,,,,
player,201011280rai,mia,BrowRo05,rush_att,24,,,,,
player,201011280rai,mia,BrowRo05,rush_yds,85,,,,,
player,201011280rai,mia,BrowRo05,rush_td,0,,,,,
player,201011280rai,mia,BrowRo05,rush_long,8,,,,,
player,201011280rai,mia,BrowRo05,targets,0,,,,,
player,201011280rai,mia,BrowRo05,rec,0,,,,,
player,201011280rai,mia,BrowRo05,rec_yds,0,,,,,
player,201011280rai,mia,BrowRo05,rec_td,0,,,,,
player,201011280rai,mia,BrowRo05,rec_long,0,,,,,
player,201011280rai,mia,BrowRo05,fumbles,1,,,,,
player,201011280rai,mia,BrowRo05,fumbles_lost,0,,,,,
player,201011280rai,mia,ThigTy00,pass_cmp,0,,,,,
player,201011280rai,mia,ThigTy00,pass_att,0,,,,,
player,201011280rai,mia,ThigTy00,pass_yds,0,,,,,
player,201011280rai,mia,ThigTy00,pass_td,0,,,,,
player,201011280rai,mia,ThigTy00,pass_int,0,,,,,
player,201011280rai,mia,ThigTy00,pass_sacked,0,,,,,
player,201011280rai,mia,ThigTy00,pass_sacked_yds,,,,,,
player,201011280rai,mia,ThigTy00,pass_long,0,,,,,
player,201011280rai,mia,ThigTy00,pass_rating,,,,,,
player,201011280rai,mia,ThigTy00,rush_att,1,,,,,
player,201011280rai,mia,ThigTy00,rush_yds,8,,,,,
player,201011280rai,mia,ThigTy00,rush_td,0,,,,,
player,201011280rai,mia,ThigTy00,rush_long,8,,,,,
player,201011280rai,mia,ThigTy00,targets,0,,,,,
player,201011280rai,mia,ThigTy00,rec,0,,,,,
player,201011280rai,mia,ThigTy00,rec_yds,0,,,,,
player,201011280rai,mia,ThigTy00,rec_td,0,,,,,
player,201011280rai,mia,ThigTy00,rec_long,0,,,,,
player,201011280rai,mia,ThigTy00,fumbles,0,,,,,
player,201011280rai,mia,ThigTy00,fumbles_lost,,,,,,
player,201011280rai,mia,PoliLo00,pass_cmp,0,,,,,
player,201011280rai,mia,PoliLo00,pass_att,0,,,,,
player,201011280rai,mia,PoliLo00,pass_yds,0,,,,,
player,201011280rai,mia,PoliLo00,pass_td,0,,,,,
player,201011280rai,mia,PoliLo00,pass_int,0,,,,,
player,201011280rai,mia,PoliLo00,pass_sacked,,,,,,
player,201011280rai,mia,PoliLo00,pass_sacked_yds,,,,,,
player,201011280rai,mia,PoliLo00,pass_long,0,,,,,
player,201011280rai,mia,PoliLo00,pass_rating,,,,,,
player,201011280rai,mia,PoliLo00,rush_att,1,,,,,
player,201011280rai,mia,PoliLo00,rush_yds,2,,,,,
player,201011280rai,mia,PoliLo00,rush_td,0,,,,,
player,201011280rai,mia,PoliLo00,rush_long,2,,,,,
player,201011280rai,mia,PoliLo00,targets,0,,,,,
player,201011280rai,mia,PoliLo00,rec,0,,,,,
player,201011280rai,mia,PoliLo00,rec_yds,0,,,,,
player,201011280rai,mia,PoliLo00,rec_td,0,,,,,
player,201011280rai,mia,PoliLo00,rec_long,0,,,,,
player,201011280rai,mia,PoliLo00,fumbles,0,,,,,
player,201011280rai,mia,PoliLo00,fumbles_lost,,,,,,
player,201011280rai,mia,BessDa00,pass_cmp,0,,,,,
player,201011280rai,mia,BessDa00,pass_att,0,,,,,
player,201011280rai,mia,BessDa00,pass_yds,0,,,,,
player,201011280rai,mia,BessDa00,pass_td,0,,,,,
player,201011280rai,mia,BessDa00,pass_int,0,,,,,
player,201011280rai,mia,BessDa00,pass_sacked,,,,,,
player,201011280rai,mia,BessDa00,pass_sacked_yds,,,,,,
player,201011280rai,mia,BessDa00,pass_long,0,,,,,
player,201011280rai,mia,BessDa00,pass_rating,,,,,,
player,201011280rai,mia,BessDa00,rush_att,0,,,,,
player,201011280rai,mia,BessDa00,rush_yds,0,,,,,
player,201011280rai,mia,BessDa00,rush_td,0,,,,,
player,201011280rai,mia,BessDa00,rush_long,0,,,,,
player,201011280rai,mia,BessDa00,targets,9,,,,,
player,201011280rai,mia,BessDa00,rec,6,,,,,
player,201011280rai,mia,BessDa00,rec_yds,111,,,,,
player,201011280rai,mia,BessDa00,rec_td,0,,,,,
player,201011280rai,mia,BessDa00,rec_long,29,,,,,
player,201011280rai,mia,BessDa00,fumbles,0,,,,,
player,201011280rai,mia,BessDa00,fumbles_lost,,,,,,
player,201011280rai,mia,HartBr00,pass_cmp,0,,,,,
player,201011280rai,mia,HartBr00,pass_att,0,,,,,
player,201011280rai,mia,HartBr00,pass_yds,0,,,,,
player,201011280rai,mia,HartBr00,pass_td,0,,,,,
player,201011280rai,mia,HartBr00,pass_int,0,,,,,
player,201011280rai,mia,HartBr00,pass_sacked,,,,,,
player,201011280rai,mia,HartBr00,pass_sacked_yds,,,,,,
player,201011280rai,mia,HartBr00,pass_long,0,,,,,
player,201011280rai,mia,HartBr00,pass_rating,,,,,,
player,201011280rai,mia,HartBr00,rush_att,0,,,,,
player,201011280rai,mia,HartBr00,rush_yds,0,,,,,
player,201011280rai,mia,HartBr00,rush_td,0,,,,,
player,201011280rai,mia,HartBr00,rush_long,0,,,,,
player,201011280rai,mia,HartBr00,targets,7,,,,,
player,201011280rai,mia,HartBr00,rec,4,,,,,
player,201011280rai,mia,HartBr00,rec_yds,75,,,,,
player,201011280rai,mia,HartBr00,rec_td,0,,,,,
player,201011280rai,mia,HartBr00,rec_long,26,,,,,
player,201011280rai,mia,HartBr00,fumbles,0,,,,,
player,201011280rai,mia,HartBr00,fumbles_lost,,,,,,
player,201011280rai,mia,MoorMa02,pass_cmp,0,,,,,
player,201011280rai,mia,MoorMa02,pass_att,0,,,,,
player,201011280rai,mia,MoorMa02,pass_yds,0,,,,,
player,201011280rai,mia,MoorMa02,pass_td,0,,,,,
player,201011280rai,mia,MoorMa02,pass_int,0,,,,,
player,201011280rai,mia,MoorMa02,pass_sacked,,,,,,
player,201011280rai,mia,MoorMa02,pass_sacked_yds,,,,,,
player,201011280rai,mia,MoorMa02,pass_long,0,,,,,
player,201011280rai,mia,MoorMa02,pass_rating,,,,,,
player,201011280rai,mia,MoorMa02,rush_att,0,,,,,
player,201011280rai,mia,MoorMa02,rush_yds,0,,,,,
player,201011280rai,mia,MoorMa02,rush_td,0,,,,,
player,201011280rai,mia,MoorMa02,rush_long,0,,,,,
player,201011280rai,mia,MoorMa02,targets,4,,,,,
player,201011280rai,mia,MoorMa02,rec,1,,,,,
player,201011280rai,mia,MoorMa02,rec_yds,57,,,,,
player,201011280rai,mia,MoorMa02,rec_td,1,,,,,
player,201011280rai,mia,MoorMa02,rec_long,57,,,,,
player,201011280rai,mia,MoorMa02,fumbles,0,,,,,
